wfoid,Id,speciesplus_url
wfo-0000396772,28405,https://speciesplus.net/species#/taxon_concepts/28405/legal
wfo-0000631499,27663,https://speciesplus.net/species#/taxon_concepts/27663/legal
wfo-0000960633,19248,https://speciesplus.net/species#/taxon_concepts/19248/legal
wfo-0000961116,14735,https://speciesplus.net/species#/taxon_concepts/14735/legal
wfo-0000961211,22857,https://speciesplus.net/species#/taxon_concepts/22857/legal
wfo-0000961544,28895,https://speciesplus.net/species#/taxon_concepts/28895/legal
wfo-0000961546,29642,https://speciesplus.net/species#/taxon_concepts/29642/legal
wfo-0000961620,23193,https://speciesplus.net/species#/taxon_concepts/23193/legal
wfo-0000961660,25352,https://speciesplus.net/species#/taxon_concepts/25352/legal
wfo-0001388495,29657,https://speciesplus.net/species#/taxon_concepts/29657/legal
wfo-0001388496,29656,https://speciesplus.net/species#/taxon_concepts/29656/legal
wfo-0001389150,29654,https://speciesplus.net/species#/taxon_concepts/29654/legal
wfo-0000962162,19831,https://speciesplus.net/species#/taxon_concepts/19831/legal
wfo-0000963433,27263,https://speciesplus.net/species#/taxon_concepts/27263/legal
wfo-0001388497,29643,https://speciesplus.net/species#/taxon_concepts/29643/legal
wfo-0001388498,29659,https://speciesplus.net/species#/taxon_concepts/29659/legal
wfo-0001389841,29653,https://speciesplus.net/species#/taxon_concepts/29653/legal
wfo-0000963842,29181,https://speciesplus.net/species#/taxon_concepts/29181/legal
wfo-0000964324,19109,https://speciesplus.net/species#/taxon_concepts/19109/legal
wfo-0000965208,24431,https://speciesplus.net/species#/taxon_concepts/24431/legal
wfo-0000691665,23450,https://speciesplus.net/species#/taxon_concepts/23450/legal
wfo-0000170463,24815,https://speciesplus.net/species#/taxon_concepts/24815/legal
wfo-0000757819,26370,https://speciesplus.net/species#/taxon_concepts/26370/legal
wfo-0000757821,27959,https://speciesplus.net/species#/taxon_concepts/27959/legal
wfo-0000757827,18433,https://speciesplus.net/species#/taxon_concepts/18433/legal
wfo-0000757898,17547,https://speciesplus.net/species#/taxon_concepts/17547/legal
wfo-0000757918,19310,https://speciesplus.net/species#/taxon_concepts/19310/legal
wfo-0000757975,19134,https://speciesplus.net/species#/taxon_concepts/19134/legal
wfo-0000758046,24707,https://speciesplus.net/species#/taxon_concepts/24707/legal
wfo-0000758097,14136,https://speciesplus.net/species#/taxon_concepts/14136/legal
wfo-0000758112,21376,https://speciesplus.net/species#/taxon_concepts/21376/legal
wfo-0000758211,21791,https://speciesplus.net/species#/taxon_concepts/21791/legal
wfo-0000758273,19507,https://speciesplus.net/species#/taxon_concepts/19507/legal
wfo-0000758277,15573,https://speciesplus.net/species#/taxon_concepts/15573/legal
wfo-0000758362,19801,https://speciesplus.net/species#/taxon_concepts/19801/legal
wfo-0000758608,16430,https://speciesplus.net/species#/taxon_concepts/16430/legal
wfo-0000758618,22225,https://speciesplus.net/species#/taxon_concepts/22225/legal
wfo-0000758735,17663,https://speciesplus.net/species#/taxon_concepts/17663/legal
wfo-0000916933,105421,https://speciesplus.net/species#/taxon_concepts/105421/legal
wfo-0000758989,22489,https://speciesplus.net/species#/taxon_concepts/22489/legal
wfo-0000759005,18553,https://speciesplus.net/species#/taxon_concepts/18553/legal
wfo-1000020400,101259,https://speciesplus.net/species#/taxon_concepts/101259/legal
wfo-0001335022,94514,https://speciesplus.net/species#/taxon_concepts/94514/legal
wfo-0000382019,21851,https://speciesplus.net/species#/taxon_concepts/21851/legal
wfo-0000381453,26024,https://speciesplus.net/species#/taxon_concepts/26024/legal
wfo-0000840364,28489,https://speciesplus.net/species#/taxon_concepts/28489/legal
wfo-0000837277,56608,https://speciesplus.net/species#/taxon_concepts/56608/legal
wfo-0000822372,52536,https://speciesplus.net/species#/taxon_concepts/52536/legal
wfo-0000938893,23775,https://speciesplus.net/species#/taxon_concepts/23775/legal
wfo-0000242674,44303,https://speciesplus.net/species#/taxon_concepts/44303/legal
wfo-0000263884,16845,https://speciesplus.net/species#/taxon_concepts/16845/legal
wfo-0000263885,25109,https://speciesplus.net/species#/taxon_concepts/25109/legal
wfo-0000263887,52169,https://speciesplus.net/species#/taxon_concepts/52169/legal
wfo-0001330752,98385,https://speciesplus.net/species#/taxon_concepts/98385/legal
wfo-0001330804,98386,https://speciesplus.net/species#/taxon_concepts/98386/legal
wfo-0000263894,14513,https://speciesplus.net/species#/taxon_concepts/14513/legal
wfo-0000263899,61603,https://speciesplus.net/species#/taxon_concepts/61603/legal
wfo-0000263900,20615,https://speciesplus.net/species#/taxon_concepts/20615/legal
wfo-0000263903,25339,https://speciesplus.net/species#/taxon_concepts/25339/legal
wfo-0000489071,98404,https://speciesplus.net/species#/taxon_concepts/98404/legal
wfo-0000263908,14172,https://speciesplus.net/species#/taxon_concepts/14172/legal
wfo-0000263915,23616,https://speciesplus.net/species#/taxon_concepts/23616/legal
wfo-0000263918,26937,https://speciesplus.net/species#/taxon_concepts/26937/legal
wfo-0000263928,65114,https://speciesplus.net/species#/taxon_concepts/65114/legal
wfo-0000263929,19834,https://speciesplus.net/species#/taxon_concepts/19834/legal
wfo-1000053070,98413,https://speciesplus.net/species#/taxon_concepts/98413/legal
wfo-0000263935,13824,https://speciesplus.net/species#/taxon_concepts/13824/legal
wfo-0000920474,98412,https://speciesplus.net/species#/taxon_concepts/98412/legal
wfo-0000263957,14166,https://speciesplus.net/species#/taxon_concepts/14166/legal
wfo-0000263961,26342,https://speciesplus.net/species#/taxon_concepts/26342/legal
wfo-0000263963,61609,https://speciesplus.net/species#/taxon_concepts/61609/legal
wfo-0000922298,98411,https://speciesplus.net/species#/taxon_concepts/98411/legal
wfo-0000809533,98408,https://speciesplus.net/species#/taxon_concepts/98408/legal
wfo-0001424164,98382,https://speciesplus.net/species#/taxon_concepts/98382/legal
wfo-0000263978,98401,https://speciesplus.net/species#/taxon_concepts/98401/legal
wfo-0000263981,24069,https://speciesplus.net/species#/taxon_concepts/24069/legal
wfo-0000263984,28526,https://speciesplus.net/species#/taxon_concepts/28526/legal
wfo-0000263987,98388,https://speciesplus.net/species#/taxon_concepts/98388/legal
wfo-1000053232,98356,https://speciesplus.net/species#/taxon_concepts/98356/legal
wfo-0000263989,25877,https://speciesplus.net/species#/taxon_concepts/25877/legal
wfo-0000263992,28817,https://speciesplus.net/species#/taxon_concepts/28817/legal
wfo-0000263997,98358,https://speciesplus.net/species#/taxon_concepts/98358/legal
wfo-0000263999,24165,https://speciesplus.net/species#/taxon_concepts/24165/legal
wfo-0000264000,21264,https://speciesplus.net/species#/taxon_concepts/21264/legal
wfo-0000264005,98403,https://speciesplus.net/species#/taxon_concepts/98403/legal
wfo-0000264006,18515,https://speciesplus.net/species#/taxon_concepts/18515/legal
wfo-0000264011,98380,https://speciesplus.net/species#/taxon_concepts/98380/legal
wfo-0000264013,61617,https://speciesplus.net/species#/taxon_concepts/61617/legal
wfo-0000264014,24892,https://speciesplus.net/species#/taxon_concepts/24892/legal
wfo-0000809534,98398,https://speciesplus.net/species#/taxon_concepts/98398/legal
wfo-0000264020,17452,https://speciesplus.net/species#/taxon_concepts/17452/legal
wfo-0000264024,25902,https://speciesplus.net/species#/taxon_concepts/25902/legal
