taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000289406,Asperla da Turin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000289552,Asperla tenschidra,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373976,Schervetta brina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000932960,Rieua cruschada cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000527292,Schervetta da riva,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001019409,Belladonna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000693355,Fimarella ufficinala,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000693435,Fimarella da Schleicher,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000332792,Semperverd pitschen,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000693480,Fimarella da Vaillant,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000104449,Astra da muntogna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000933181,Bigiola melna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000723743,Spina da grava,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000723768,Scuetta cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000453440,"Palìdin simpel, Cobresia simpla",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374553,Meringia da mistgel,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000002697,Chondrilla alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374592,Meringia a trais nervs,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374615,Minuarta tempriva,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374651,Meringia tschegliada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374728,Minuarta aquatica,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000414886,Minalva stretga,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374773,Minuarta cun feglia da laresch,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374843,Minuarta da grip,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374858,Minuarta gizza,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374867,Minuarta pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000453930,Ruta pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415025,Minalva lada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000003146,Chaminella,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000374916,Minuarta storta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415114,Minalva da Scheuchzer,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415166,Minalva vaginada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861178,"Cinodon, Dent-chaun",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454083,Ruta spizzalenta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454093,Ruta simpla,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000724345,Groffel ad umbrella,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000597858,Tschairina glischa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001019982,Peperun ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000003482,Arnica ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000694229,Mustgella blau clera,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000528404,Schervetta da Tabernaemontanus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000663145,Raspacot,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001095872,Fusti odorus alpin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861316,Cresta da prà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454527,Ruta aquilegia,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000375572,Minuarta biflora,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000933858,Bigiola genevrina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861498,Bardigl,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000564027,Vinatscha,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415721,Uderetta dal sid,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454649,Trientala europeica,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000106204,Flur-groma da prà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001297552,Saida scrocca europeica,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001096101,Avaina cun flom,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454748,Glin fauss cumin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454820,Glin fauss bavarais,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000999867,Filipendula cun sis petals,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000004660,Centaura nervada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000455040,Glin fauss a pichel,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000455065,Glin fauss pirenaic,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000564515,Berteroa cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861886,Trianza,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000529216,Alissa cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001096277,Avaina sgiagliada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000631845,Ciclama europeica,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-1000080745,Channatscha pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000598753,Glinera pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000455242,Targnols,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000455274,Glin fauss alpin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000005084,Punschun varià,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000376441,Pirola d'ina flur,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000598944,Tscherfegl d'aur,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000416616,Urticla gronda,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000292459,Ruver tardiv,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000416717,Ulm da muntogna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000107409,Chardunet d'argient,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000599113,Tscherfegl narcotisant,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000292685,Ruver pailus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000564998,"Rava da pavlar, Runcla",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000005645,Maimora carpatica,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000335449,Badugn pendus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000416948,Urticla pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000292858,Ruver cumin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000493624,Fendacrap puschlà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000632510,Cimbalaria,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000862467,Chantina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000725866,Virtit,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000417377,Uderetta pitschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000335985,Badugn pailus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000456250,Ruta alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000058083,Cuderitscha alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000493868,Fendacrap semperviv,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000493870,Fendacrap ascendent,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000493879,Fendacrap androsa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000493889,Fendacrap senza feglia,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000783371,Iris germanica ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000934953,Bigiola piramida,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000530447,Amarant cumin,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000530477,Schervetta cotschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000058396,Cuderitscha verda,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494126,Fendacrap midà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494178,Fendacrap asper,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000565759,"Biscutella, Egliers",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000935107,Bigiola ruschnanta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494197,Fendacrap biflor,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000006828,Stailalva ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001000827,Ampuauna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000006870,Punschun d'er,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494315,Fendacrap sultgà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000755470,Erva da rauna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000935209,Pantofla da Nossadunna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494433,Fendacrap da Haller,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000979730,"Edra, Fegliadella",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000007129,Sanetsch da Fuchs,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494437,Fendacrap mistgel,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494450,Fendacrap cun feglia a cugn,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000783754,Iris melna ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000058965,Rigera polimorfa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000456948,Tigl da stad,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000059034,Fieutrina curta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494585,Fendacrap a trais dets,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696474,Narcissa melna ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000007413,Assens mastgel,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000457026,Tigl d'argient,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000783854,Iris sibirica ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494650,Fendacrap da mistgel,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494655,Fendacrap blau,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000007455,Calendula d'iert ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494745,Fendacrap da Seguier,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000109405,Iva femma,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494784,Fendacrap stailà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494871,Fendacrap cun feglia radunda,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000494897,Fendacrap pendus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000205013,Esparsetta cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000755899,Agl carenà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000755919,Tschagula,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000250588,Gnieuera,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000600655,Latg mellen,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696760,Giansauna da Koch,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000457451,Tigl d'enviern,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696843,Giansauna amara,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000059787,Lantschetta cotschnenta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000008104,Lantschetta niva,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696896,Giansauna da las Dolomitas,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000250846,Menta-giat,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001001369,Potentilla da grip,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696956,Giansauna da palì,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000696964,Giansauna aspra,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000531591,Schervetta stgira,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000600897,Farinent alv,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001021850,Flur da santeri,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697018,Giansauna bavaraisa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000566891,Farinent a spia,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000634022,Spargia cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000205514,"Curunella d'arveglia, Chaglia d'arveglia",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000008431,Dent-liun da muntogna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697068,Giansauna curta,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000566931,Farinent feglius,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419130,Mulaina cun flurs pitschnas ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000634152,Lieunga-chaun,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601122,Farinent d'Andri,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419193,Mulaina barbusa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697224,Giansauna tschegliada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697241,Giansauna da Clusius,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601268,Farinent cun feglia da figher,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601315,Farinent blauent,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697326,Giansauna cruschada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419437,Veronica giamandra,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000008997,Centaura da graun,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601402,Farinent ibrid,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000756611,Agl linear,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000060775,Saldagen canadais,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697451,Giansauna engiadinaisa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000756644,Agl da muntogna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419633,Veronica d'aua,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419637,Veronica alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419649,Veronica da Dillenius,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000727565,Erva son Gion ibrida,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000864055,Panitscha satiglia,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419706,Veronica d'er,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697571,Giansauna tudestga,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419753,Veronica champestra,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419766,Veronica bella,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000251924,Negretta cotschna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001001857,Potentilla d'aur,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000697659,Narcissa selvadia ,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601652,Farinent polisperm,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419789,Veronica d'aual,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000419829,Veronica senza feglia,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000601735,Farinent cotschen,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000756866,Agl selvadi,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000727753,Erva son Gion bassa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000812271,Chastagner cultivà,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000496178,Scrofulera cun alas,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000496317,Scrofulera cun nufs,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
