Identifier	bibliographicCitation	DOI
388940	Shrestha, Krishna K. 1992. A new species of Cyananthus (Campanulaceae) from Nepal. Brittonia. 44: 253-255.	https://doi.org/10.2307/2806842
388908	Clemants, Steven E. 1991. Two new species of Bejaria (Ericaceae) from South America. Brittonia. 43: 171-177.	https://doi.org/10.2307/2807051
20155	Salazar Chávez, Gerardo A. 1997. A new species of Malaxis (Orchidaceae) from Morelos, Mexico. Brittonia. 49: 449-451.	https://doi.org/10.2307/2807732
327980	Pfeifer, Howard W. 1976. Aristolochia translucida, a new species from Costa Rica. Brittonia. 28: 348-351.	https://doi.org/10.2307/2805798
199305	Cornejo, Xavier & Kallunki, Jacquelyn A. 2009. Amyris amazonica (Rutaceae), a new species from Ecuador. Brittonia. 61 (2): 116-118.	https://doi.org/10.1007/s12228-008-9064-6
334873	Mitchell, J. I. 1992. Additions to Anacardium (Anacardiaceae). Anacardium amapaense, a new species from French Guiana and eastern Amazonian Brazil. Brittonia. 44: 331-338.	https://doi.org/10.2307/2806935
194386	Villarreal-Quintanilla, José Á. & Estrada C., A. Eduardo. 2008. A new species of Dalea sect. Parosela (Leguminosae: Papilionoideae: Amorpheae) from Durango, Mexico. Brittonia. 60 (4): 332-335.	https://doi.org/10.1007/s12228-008-9039-7
190138	Meier, Winfried & Berry, Paul E. 2008. Ampelozizyphus guaquirensis (Rhamnaceae), a new tree species endemic to the Venezuelan Coastal Cordillera. Brittonia. 60 (2): 131-135.	https://doi.org/10.1007/s12228-008-9011-6
177373	Dorado, Óscar & Arias, Dulce M. 2006. Brongniartia papyracea (Fabaceae: Faboideae): A new species from the tropical deciduous forest of southern Jalisco and southwestern Michoacán, Mexico. Brittonia. 58 (4): 357-361.	https://doi.org/10.1663/0007-196x(2006)58[357:bpffan]2.0.co;2
190151	Yesilyurt, Jovita C. 2008. A new species of Doryopteris (Pteridaceae) from Suriname. Brittonia. 60 (2): 63-68.	https://doi.org/10.1007/s12228-008-9001-8
65090	Daniel, Thomas F. 1995. Justicia masiaca (Acanthaceae), a new species from northwestern Mexico. Brittonia. 47: 408-413.	https://doi.org/10.2307/2807570
402178	Areces-Mallea, Alberto E. 1992. Leptocereus santamarinae (Cactaceae), a new species from Cuba. Brittonia. 44: 45-49.	https://doi.org/10.2307/2807439
108406	Liede, S. & Meve, Ulrich. 1996. The circumscription of Karimbolea Descoings (Asclepiadaceae). Brittonia. 48: 501-507.	https://doi.org/10.2307/2807866
309304	Smith, Albert C. 1975. Studies of Pacific Island plants XXX. Notes on Fijian Apocynaceae and Asclepiadaceae. Brittonia. 27: 151-164.	https://doi.org/10.2307/2805476
479471	Norman, Calvin. 1937. Botanical Results of the Archbold Expedition No. 10: New Papuan Asclepiadaceae. Brittonia. 10: 328.	https://doi.org/10.2307/2804758
115863	Acevedo-Rodríguez, Pedro. 1999. West Indian novelties I: A new species of Marsdenia (Asclepiadaceae) from Puerto Rico and a new name for a Jamaican species of Calyptranthes (Myrtaceae). Brittonia. 51: 166-169.	https://doi.org/10.2307/2666625
71625	Morillo, Gilberto N. 1998. Matelea gracieae Morillo, a new species from French Guiana, and Cynanchum gortsianum Morillo, a new record for Suriname. Brittonia. 50: 296-300.	https://doi.org/10.2307/2807771
298667	Welsh, Stanley L. & Anderson, Dennis E. 1962. Metaplexis japonica: An oriental milkweed from on Iowa cornfield. Brittonia. 14: 186-188.	https://doi.org/10.2307/2805224
19979	Nee, Michael H. 2001. A new species of Banara (Flacourtiaceae) from Bolivia. Brittonia. 53: 472-475.	https://doi.org/10.1007/bf02809803
175076	Alford, Mac H. 2006. A new species of Hasseltia (Salicaceae) from Costa Rica and Panama. Brittonia. 58 (3): 277-284.	https://doi.org/10.1663/0007-196x(2006)58[277:ansohs]2.0.co;2
328679	Cochrane, Theodore S. 1978. Podandrogyne formosa (Capparidaceae), a new species from Central America. Brittonia. 30: 405-410.	https://doi.org/10.2307/2806343
23920	Berg, Cornelius C. & Dahlberg, S. V. 2001. A revision of Celtis subg. Mertensia (Ulmaceae). Brittonia. 53: 66-79.	https://doi.org/10.1007/bf02805398
264561	Berg, Cornelius C. 1990. New species of Coussapoa and Pourouma (Cecropiaceae). Brittonia. 42: 59-65.	https://doi.org/10.2307/2807030
299836	Berg, C. C. & Kooy, F. 1982. Three new species of Pourouma (Cecropiaceae) of the Guiana region. Brittonia. 34: 36-41.	https://doi.org/10.2307/2806398
123979	Berg, Cornelius C. 2004. Two new species of Pourouma (Cercropiaceae) from South America. Brittonia. 56 (3): 255-259.	https://doi.org/10.1663/0007-196x(2004)056[0255:tnsopc]2.0.co;2
479673	Bayer, R. J. 1989. A Taxonomic Revision of the Antennaria Rosea (Asteraceae: Inuleae: Gnaphaliinae) Polyploid Complex. Brittonia. 41 (1): 53-60.	https://doi.org/10.2307/2807591
268326	Schilling, Edward E. & Panero, José L. 2010. Transfers to Simsia and description of Davilanthus, a new genus of Asteraceae (Heliantheae). Brittonia. 62 (4): 309-320.	https://doi.org/10.1007/s12228-010-9129-1
301721	Engel, John J. & Schuster, R. M. 1988. Studies of New Zealand Hepaticae. 1-6. Brittonia. 40: 200-207.	https://doi.org/10.2307/2807005
319687	Moldenke, Harold N. 1932. Some new species of Aegiphila from Central and South America. Brittonia. 1: 185-194.	https://doi.org/10.2307/2804766
190139	Hoffmann, P. 2008. Revision of Heterosavia stat. nov., with notes on Gonatogyne and Savia (Phyllanthaceae). Brittonia. 60 (2): 136-166.	https://doi.org/10.1007/s12228-008-9012-5
479476	Degener, Otto. 1937. A New Hawaiian Species of Rutaceae. Brittonia. 4: 362.	https://doi.org/10.2307/2804760
196803	Pérez de la Rosa, J. A. 2009. Pinus georginae (Pinaceae), a new species from western Jalisco, Mexico. Brittonia. 61 (1): 56-61.	https://doi.org/10.1007/s12228-008-9061-9
75389	Funk, Victoria A. 1997. Misbrookea, a new monotypic genus removed from Werneria s.l. (Compositae: Senecioneae). Brittonia. 49: 110-117.	https://doi.org/10.2307/2807702
190143	Atha, Daniel E. 2008. A new species of Acalypha (Euphorbiaceae: Acalyphoideae: Acalypheae) from Belize and adjacent Mexico and Guatemala. Brittonia. 60 (2): 185-189.	https://doi.org/10.1007/s12228-008-9031-2
398237	Grimes, James & Barneby, Rupert C. 1985. A new Acacia (Mimosaceae) from tropical southeast Brazil. Brittonia. 37: 186-189.	https://doi.org/10.2307/2806102
nan	nan	https://doi.org/10.63917/mem.2008.437
