Identifier,bibliographicCitation
263270,"Alverson, William S. 1991. A synopsis of Phragmotheca (Bombacaceae), with two new species and a new sub-species. Brittonia. 43: 73-87."
108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269."
479707,"Bennett, David E. & Christenson, Eric A. 1994. New Species and New Combinations in Peruvian Orchidaceae. Brittonia. 46 (1): 24-53."
307194,"Forero, Enrique. 1972. Studies in Stryphnodendron (Leguminosae: Mimosoideae) including two new taxa. Brittonia. 24: 143-147."
307242,"Freeman, J. D. 1975. Revision of Trillium subgenus Phyllantherum (Liliaceae). Brittonia. 27: 1-62."
335759,"Szlachetko, Dariusz L. 1995. Two new species of Sauroglossum (Orchidaceae) from Peru and Brazil. Brittonia. 47: 143-146."
479709,"Christenson, Eric A. 1994. A New Orchid from Saul, French Guiana: Epidendrum oldemanii. Brittonia. 46 (1): 54-56."
310003,"Webster, Grady L. 1970. A revision of Phyllanthus (Euphorbiaceae) in the continental United States. Brittonia. 22: 44-76."
31329,"Kuijt, Job. 1994. A Second Brazilian Species of Ixocactus (Loranthaceae). Brittonia. 46: 72-74."
203564,"Whiffin, Trevor. 1971. Studies in the genus Maieta (Melastomataceae). Brittonia. 23 (3): 325-329."
310079,"Wilken, Dieter H. 1975. A systematic study of the genus Hulsea (Asteraceae). Brittonia. 27: 228-244."
307284,"Galloway, Leo A. 1976. Systematics of the North American desert species of Abronia and Tripterocalyx (Nyctaginaceae). Brittonia. 27: 328-347."
268329,"Moran, Robbin C., et al. 2010. Synopsis of Mickelia, a newly recognized genus of bolbitidoid ferns (Dryopteridaceae). Brittonia. 62 (4): 337-356."
264201,"Barkley, F. A. 1944. Schinus L. Brittonia. 5: 160-198. f. 1-22."
324632,"Smith, Albert C. 1933. The genera Sphyrospermum and Disterigma. Brittonia. 1: 203-232."
396572,"Smith, Albert C. & Koch, M. A. 1935. The genus Espeletia: a study in phylogenetic taxonomy. Brittonia. 1: 479-530. pl. 1, 2 + f. 1-5."
372348,"Manning, Wayne E. 1960. The genus Juglans in South America and the West Indies. Brittonia. 12: 1-26."
433523,"Smith, Albert C. & Wodehouse, R. P. 1938. The American species of Myristicaceae. Brittonia. 2: 393-527. f. 1-9."
312946,"Cowan, Richard S. 1957. New species and new records of plants in Guiana. Brittonia. 8: 231-245."
361643,"Cronquist, Arthur J. 1944. Studies in the Simaroubaceae--IV. Resumé of the American genera. Brittonia. 5: 128-147."
377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164."
479690,"Barneby, Rupert C. 1992. A Sciadotenia (Menispermaceae) from the Brazilian Planalto. Brittonia. 44 (2): 264-265."
321032,"Pennell, Francis W. 1936. New and noteworthy Papuan Scrophulariaceae. Brittonia. 2: 177-188."
479472,"Blake, Sidney F. 1937. New Asteraceae from Guatemala and Costa Rica Collected by A. F. Skutch. Brittonia. 2 (4): 329 -361."
316050,"Hitchcock, Albert S. 1936. Papuan grasses collected by L. J. Brass. Brittonia. 2: 107-130."
312787,"Core, Earl L. 1936. The American species of Scleria. Brittonia. 2: 1-105. pl. 1-3."
322822,"Rydberg, Per A. 1934. Taxonomic notes on the flora of the prairies and plains of central North America. Brittonia. 1: 79-104."
395387,"Epling, Carl C. & Játiva, Carlos D. 1964. Revisión del género Satureja on América del Sur. Brittonia. 16: 393-416."
431874,"Acuña Gale, Julián B. & Reig, J. T. 1962. Psychotriae cubensee novae (Rubiaceae). Brittonia. 14: 224-229."
314761,"Gilly, Charles L. 1943. An Afro-South-American Cyperaceous complex. Brittonia. 5: 1-20. f. 1."
328041,"Luteyn, James L. 1977. Notes on neotropical Vaccinieae (Ericaceae). III. New and noteworthy species from Mexico. Brittonia. 28: 400-406."
203896,"Gleason, Henry A. 1932. A Synopsis of the Melastomataceae of British Guiana. Brittonia. 1 (3): 127-184."
329156,"Forero, Enrique. 1980. New species and varieties of Connarus (Connaraceae) from Brazil, Venezuela, and adjacent countries. Brittonia. 32: 33-42."
333888,"Barneby, Rupert C. 1989. A review of Lecointea (Fabaceae: Swartzieae) in South America. Brittonia. 41: 351-355."
383871,"Barneby, Rupert C. 1992. Centennial beans: A miscellany of American Fabales. Brittonia. 44: 224-239."
204517,"Vasco,  Alejandra, et al. 2009. Monograph of the Elaphoglossum ciliatum group (Dryopteridaceae). Brittonia. 61 (3): 241-272."
310066,"Wilbur, Robert L. 1972. A new Costa Rica species of Centropogon: C. irazuensis (Campanulaceae: Lobelioideae). Brittonia. 24: 420-424."
479665,"Soltis, Douglas E. 1991. A Revision of Sullivantia (Saxifragaceae). Brittonia. 43 (1): 27-53."
194388,"Fortunato, Renée H., et al. 2008. Galactia dimorphophylla (Leguminosae: Phaseoleae), a new species from southeastern South America. Brittonia. 60 (4): 349-354."
194389,"Fraga, Cláudio N. 2008. Three new species of Davilla (Dilleniaceae) from Bahia, Brazil. Brittonia. 60 (4): 355-361."
479628,"Skean, James D., Jr. & Judd, Walter S. 1988. A New Salvia (Labiatae) from Hispaniola. Brittonia. 40 (1): 16-21."
479631,"Fosberg. 1988. New and Noteworthy Plants from Great Barrier Reef Sand Cays, Australia. Brittonia. 40 (1): 52-65."
79051,"Robinson, H. 1997. New species of Aphanactis in Ecuador and Bolivia and new combinations in Selloa (Heliantheae: Asteraceae). Brittonia. 49: 71-78."
328017,"Broome, Carmen R. 1977. The Central American species of Centaurium (Gentianaceae). Brittonia. 28: 413-426."
328234,"Watson, Thomas J., Jr. 1977. The taxonomy of Xylorhiza (Asteraceae-Astereae). Brittonia. 29: 199-216."
384366,"Holmgren, Arthur H., et al. 1976. Sphaeromeria, a genus closer to Artemisia than to Tanacetum (Asteraceae: Anthemideae). Brittonia. 28: 255-262."
