taxonID,Identifier,bibliographicCitation,url
wfo-0000230832,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0000230800,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0000230797,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0000230534,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220815,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220763,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220756,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220752,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220751,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220750,435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259.",https://doi.org/10.2307/2807239
wfo-0000220156,309503,"Steyermark, Julian A. 1975. Rivision of the genus Joosia (Rubiaceae). Brittonia. 27: 251-262.",https://doi.org/10.2307/2805896
wfo-0000270675,310003,"Webster, Grady L. 1970. A revision of Phyllanthus (Euphorbiaceae) in the continental United States. Brittonia. 22: 44-76.",https://doi.org/10.2307/2805721
wfo-0000219178,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0000190061,356764,"Barneby, Rupert C. 1974. Draguna Hipponmanicum I. Brittonia. 26: 109-114.",https://doi.org/10.2307/2805878
wfo-0000187511,334843,"Grimes, J. E. 1992. Description of Acacia tenuifolia var. producta (Leguminosae, Mimosoideae), a new variety from the Guianas, and discussion of the typification of the species. Brittonia. 44: 266-269.",https://doi.org/10.2307/2806845
wfo-4000024788,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000180447,397133,"Irwin, Howard S. & Barneby, Rupert C. 1977. Monographic studies in Cassia (Leguminosae: Caesalpinioideae). IV. Supplementary notes on section Apoucouita Bentham. Brittonia. 29: 277-290.",https://doi.org/10.2307/2806200
wfo-0000174851,328321,"Barneby, Rupert C. 1977. Dragma Hippomanicum III: Novitates Californicae. Brittonia. 29: 376-381.",https://doi.org/10.2307/2806478
wfo-0000038009,328234,"Watson, Thomas J., Jr. 1977. The taxonomy of Xylorhiza (Asteraceae-Astereae). Brittonia. 29: 199-216.",https://doi.org/10.2307/2805854
wfo-0000173835,262226,"Grimes, J. 1992. Metamerism, heterochrony, and inflorescence morphology of the Pithecellobium-complex (Leguminosae: Mimosoideae: Ingeae). Brittonia. 44: 140-159.",https://doi.org/10.2307/2806829
wfo-4000014790,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000164280,380071,"Barneby, Rupert C. 1976. Dragma Hippomanicum II: Astragali Novi Peninsulares Moraniani. Brittonia. 28: 273-280.",https://doi.org/10.2307/2805788
wfo-0000164273,380071,"Barneby, Rupert C. 1976. Dragma Hippomanicum II: Astragali Novi Peninsulares Moraniani. Brittonia. 28: 273-280.",https://doi.org/10.2307/2805788
wfo-0000158901,318792,"Markgraf, Friedrich. 1936. New Papuan Melastomataceae. Brittonia. 2: 141-144.",https://doi.org/10.2307/2804681
wfo-0000158901,318792,"Markgraf, Friedrich. 1936. New Papuan Melastomataceae. Brittonia. 2: 141-144.",https://doi.org/10.2307/2804681
wfo-0000150478,361460,"Copeland, Edwin B. 1931. Sarawak ferns collected by J. and M. S. Clemens. Brittonia. 1: 71-78. pl. 1-3.",https://doi.org/10.2307/2804785
wfo-0000147369,479445,"Christensen, Carl F. A. 1937. Botanical Results of the Archbold Expedition No. 8: New and Noteworthy Papuan Ferns. Brittonia. 2 (4): 265-317.",https://doi.org/10.2307/2804755
wfo-0000145931,361460,"Copeland, Edwin B. 1931. Sarawak ferns collected by J. and M. S. Clemens. Brittonia. 1: 71-78. pl. 1-3.",https://doi.org/10.2307/2804785
wfo-0000145840,479445,"Christensen, Carl F. A. 1937. Botanical Results of the Archbold Expedition No. 8: New and Noteworthy Papuan Ferns. Brittonia. 2 (4): 265-317.",https://doi.org/10.2307/2804755
wfo-0000145835,479445,"Christensen, Carl F. A. 1937. Botanical Results of the Archbold Expedition No. 8: New and Noteworthy Papuan Ferns. Brittonia. 2 (4): 265-317.",https://doi.org/10.2307/2804755
wfo-0000130895,310079,"Wilken, Dieter H. 1975. A systematic study of the genus Hulsea (Asteraceae). Brittonia. 27: 228-244.",https://doi.org/10.2307/2805894
wfo-0000133922,82387,"Panero, José L. & Villaseñor, José L. 1996. Novelties in Asteraceae from southern Mexico. Brittonia. 48: 79-90.",https://doi.org/10.2307/2807667
wfo-0000130760,306709,"Bierner, Mark W. 1972. Taxonomy of Helenium sect. Tetrodus and a conspectus of North American Helenium (Compositae). Brittonia. 24: 331-355.",https://doi.org/10.2307/2805497
wfo-0000130064,79051,"Robinson, H. 1997. New species of Aphanactis in Ecuador and Bolivia and new combinations in Selloa (Heliantheae: Asteraceae). Brittonia. 49: 71-78.",https://doi.org/10.2307/2807697
wfo-0000122378,79051,"Robinson, H. 1997. New species of Aphanactis in Ecuador and Bolivia and new combinations in Selloa (Heliantheae: Asteraceae). Brittonia. 49: 71-78.",https://doi.org/10.2307/2807697
wfo-0000117156,396572,"Smith, Albert C. & Koch, M. A. 1935. The genus Espeletia: a study in phylogenetic taxonomy. Brittonia. 1: 479-530. pl. 1, 2 + f. 1-5.",https://doi.org/10.2307/2804673
wfo-4000018305,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000019011,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000019881,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000113964,328234,"Watson, Thomas J., Jr. 1977. The taxonomy of Xylorhiza (Asteraceae-Astereae). Brittonia. 29: 199-216.",https://doi.org/10.2307/2805854
wfo-0000105928,265327,"Croat, Thomas B. 1972. Solidago canadensis complex of the Great Plains. Brittonia. 24: 317-326.",https://doi.org/10.2307/2805669
wfo-0000098726,265256,"Crawford, Daniel J. 1976. Taxonomy of Coreposis sect. Pseudo-Agarista (Compositae) in Mexico with additional comments on sectional relationships in Mexican Coreopsis. Brittonia. 28: 329-336.",https://doi.org/10.2307/2805795
wfo-0000096068,296570,"King, Bruce L. & Jones, S. B. 1975. The Vernonia lindheimeri complex (Compositae). Brittonia. 27: 74-86.",https://doi.org/10.2307/2805649
