Identifier,bibliographicCitation,DOI
263270,"Alverson, William S. 1991. A synopsis of Phragmotheca (Bombacaceae), with two new species and a new sub-species. Brittonia. 43: 73-87.",https://doi.org/10.2307/2807297
108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
479707,"Bennett, David E. & Christenson, Eric A. 1994. New Species and New Combinations in Peruvian Orchidaceae. Brittonia. 46 (1): 24-53.",https://doi.org/10.2307/2807455
307194,"Forero, Enrique. 1972. Studies in Stryphnodendron (Leguminosae: Mimosoideae) including two new taxa. Brittonia. 24: 143-147.",https://doi.org/10.2307/2805864
307242,"Freeman, J. D. 1975. Revision of Trillium subgenus Phyllantherum (Liliaceae). Brittonia. 27: 1-62.",https://doi.org/10.2307/2805646
335759,"Szlachetko, Dariusz L. 1995. Two new species of Sauroglossum (Orchidaceae) from Peru and Brazil. Brittonia. 47: 143-146.",https://doi.org/10.2307/2806953
479709,"Christenson, Eric A. 1994. A New Orchid from Saul, French Guiana: Epidendrum oldemanii. Brittonia. 46 (1): 54-56.",https://doi.org/10.2307/2807456
310003,"Webster, Grady L. 1970. A revision of Phyllanthus (Euphorbiaceae) in the continental United States. Brittonia. 22: 44-76.",https://doi.org/10.2307/2805721
31329,"Kuijt, Job. 1994. A Second Brazilian Species of Ixocactus (Loranthaceae). Brittonia. 46: 72-74.",https://doi.org/10.2307/2807462
203564,"Whiffin, Trevor. 1971. Studies in the genus Maieta (Melastomataceae). Brittonia. 23 (3): 325-329.",https://doi.org/10.2307/2805633
310079,"Wilken, Dieter H. 1975. A systematic study of the genus Hulsea (Asteraceae). Brittonia. 27: 228-244.",https://doi.org/10.2307/2805894
307284,"Galloway, Leo A. 1976. Systematics of the North American desert species of Abronia and Tripterocalyx (Nyctaginaceae). Brittonia. 27: 328-347.",https://doi.org/10.2307/2805512
268329,"Moran, Robbin C., et al. 2010. Synopsis of Mickelia, a newly recognized genus of bolbitidoid ferns (Dryopteridaceae). Brittonia. 62 (4): 337-356.",https://doi.org/10.1007/s12228-010-9158-9
