taxonID,description,type,bibliographicCitation,urls,rightsHolder,source,rights,license
wfo-0000652355,"Disterigma leucanthum is a rare species known from very few collections from Cordillera Cutucú and Cordillera del Cóndor, Prov. Morona-Santiago, in eastern Ecuador (Fig. 31). This species grows in premontane cloud forests at 1000–1800 m, apparently on sandy soils. Flowering in Sep, Nov, and Dec.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000652352,"Disterigma hammelii is endemic to the area around Cerro Pate Macho and Palo Alto, Prov. Chiriquí, Panama (Fig. 26). This species grows in cloud forests at 1800–2200 m, and has not been collected since 1988. Flowering in Feb, Mar, May, and Dec.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608855,E Ecuador and Peru (Fig. 37) in lowland and premontane forests usually in rather moist sites but not temporarily inundated soils to 1100 m. Flowering Mar-Jul; fruiting Dec-Sep.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749187,"Disterigma ollacheum is known from southern Peru, around Ollachea (Puno) and Tabina, a locality that probably belongs to the same province (Fig. 35). The species has a wide altitudinal range of (1800–)2100–3600 m, growing epilitic in puna and montane vegetation (Fig. 34A). Flowering in May, Jun and Aug; fruiting in May. The flowers are visited by bumblebees and hummingbirds (Boeke 2983). Additionally, an intricate ant nest (ant collection P. Pedraza 1534, undetermined) was found in the root system of this plant in the narrow layer between the rock and the humus.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000913220,"Jamaica, endemic and apparently rare; in mossy forest, woodlands, thickets and pastures, often on limestone, up to 1500 m alt.",distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001271623,"C and S Mexico to El Salvador and W Honduras (Fig. 64) from near sea level to 1200 (-1700) m in a wide range of dry formations, such as thorn scrub, deciduous and semi-deciduous forests, and coastal thickets, and sometimes in saline habitats, such as salt marshes and upper edges of mangroves. Flowering Mar-Nov; fruiting throughout year.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001249721,"Jamaica, known only from a few collections made prior to 1800 from unspecified localities, overlooked since then or possibly extinct.",distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001249718,SE Brazil; in forest.,distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001249717,"Brazil (Pernambuco, Bahia, Espirito Santo); in lowland forest.",distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001248553,"NE Panama and adjacent Colombia (Fig. 24) from sea level to 150 m. Flowering Jun, Aug, and Oct; fruiting Aug and Jan.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001247654,Apparently endemic to Massif de la Hotte in Haiti.,distribution,"Prance, Ghillean T. 1972. Dichapetalaceae. Fl. Neotrop. Monogr. 10: 1-84.",http://www.jstor.org/stable/4393684,The New York Botanical Garden,308872,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001247653,Confined to the arid scrublands of the Serpentine Barrens in Cuba. Collected in flower January to September.,distribution,"Prance, Ghillean T. 1972. Dichapetalaceae. Fl. Neotrop. Monogr. 10: 1-84.",http://www.jstor.org/stable/4393684,The New York Botanical Garden,308872,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001238238,"Rainforest, sea level to 1200 m alt, Bahia (?), Rio de Janeiro and Guanabara, Brazil.",distribution,"Smith, Lyman B. & Downs, Robert J. 1979. Bromelioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (3): 1493-2142.",http://www.jstor.org/stable/4393700,The New York Botanical Garden,397413,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001238234,Known only from cultivated material presumably descended from the type.,distribution,"Smith, Lyman B. & Downs, Robert J. 1979. Bromelioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (3): 1493-2142.",http://www.jstor.org/stable/4393700,The New York Botanical Garden,397413,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001237687,"Chile, e recentemente reportada para a Patagônia argentina (Cusato & Rossow, 1996), a altitudes de 5 a 800 m, em vegetação secundária e matas, cultivada nos Estados Unidos pelo menos na Califórnia. Coletada com flores de outubro a julho e com frutos de dezembro a abril.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001069569,"Known only from Peru, Loreto, basin of the Marañon and lower Rio Huallaga Rivers; in lowland forest, at altitudes up to 550 m.",distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001069565,Only known from the Rio de Janeiro/Guanabara area; in littoral and submontane forest.,distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001069561,"Brazil (Pará, Maranhão, Bahia, Minas Gerais, Rio de Janeiro/Guanabara); mainly in lowland forest, also in coastal forest (Bahia) and secondary forest, in thickets, on sandy plains (restinga), rarely up to 950 m alt.",distribution,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",http://www.jstor.org/stable/4393727,The New York Botanical Garden,353567,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001045756,"Forest of the Lesser Antilles from Guadeloupe to St. Lucia. Flowering mostly from November to April, but collected in flower throughout the year.",distribution,"Prance, Ghillean T. 1972. Dichapetalaceae. Fl. Neotrop. Monogr. 10: 1-84.",http://www.jstor.org/stable/4393684,The New York Botanical Garden,308872,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001045747,Known only from the type collection.,distribution,"Prance, Ghillean T. 1972. Dichapetalaceae. Fl. Neotrop. Monogr. 10: 1-84.",http://www.jstor.org/stable/4393684,The New York Botanical Garden,308872,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
