wfo_id,locality,tdwg_level3,wcvp_geo_note,ipni_id,powo_id,wcvp_family,wcvp_genus,wcvp_taxon_name
wfo-0000393918,"Costa Rica",COS,"S. Mexico to Trop. America",323921-2,323921-2,Dioscoreaceae,Dioscorea,"Dioscorea polygonoides"
wfo-0000390052,"Costa Rica",COS,"Mexico to C. America, Trinidad",317828-1,317828-1,Dioscoreaceae,Dioscorea,"Dioscorea convolvulacea"
wfo-4000011931,"Costa Rica",COS,"Trinidad to C. & S. Trop. America",13713-1,13713-1,Cyperaceae,Diplasia,Diplasia
wfo-0000390016,"Costa Rica",COS,"Mexico to C. America",317823-1,317823-1,Dioscoreaceae,Dioscorea,"Dioscorea composita"
wfo-0000395319,"Costa Rica",COS,"Brazil to N. Argentina",323924-2,323924-2,Dioscoreaceae,Dioscorea,"Dioscorea sinuata"
wfo-0000389411,"Costa Rica",COS,"Trop. & Subtrop. Old World",323908-2,323908-2,Dioscoreaceae,Dioscorea,"Dioscorea bulbifera"
wfo-0000396893,"Costa Rica",COS,"Trop. America, W. & WC. Trop. Africa",306570-1,306570-1,Cyperaceae,Diplacrum,"Diplacrum capitatum"
wfo-0000389728,"Costa Rica",COS,"W. & WC. Trop. Africa",77171971-1,77171971-1,Dioscoreaceae,Dioscorea,"Dioscorea cayenensis subsp. cayenensis"
wfo-0000391940,"Costa Rica",COS,"SE. Mexico to C. America",80895-2,80895-2,Dioscoreaceae,Dioscorea,"Dioscorea lepida"
wfo-0000392433,"Costa Rica",COS,"Mexico to N. Colombia",318262-1,318262-1,Dioscoreaceae,Dioscorea,"Dioscorea mexicana"
wfo-0000395488,"Costa Rica",COS,"Mexico to C. America",318613-1,318613-1,Dioscoreaceae,Dioscorea,"Dioscorea spiculiflora"
wfo-0000402534,"Costa Rica",COS,"Temp. Northern Hemisphere to W. South America",1169169-2,1169169-2,Cyperaceae,Eleocharis,"Eleocharis acicularis"
wfo-0000395551,"Costa Rica",COS,"C. America",81087-2,81087-2,Dioscoreaceae,Dioscorea,"Dioscorea standleyi"
wfo-0000390304,"Costa Rica",COS,"SE. Mexico to C. America",80777-2,80777-2,Dioscoreaceae,Dioscorea,"Dioscorea cyanisticta"
wfo-4000011916,"Costa Rica",COS,"Tropics & Subtropics",13709-1,13709-1,Cyperaceae,Diplacrum,Diplacrum
wfo-0000401375,"Costa Rica",COS,"Nicaragua to Venezuela and Ecuador",1177568-2,1177568-2,Orchidaceae,Echinosepala,"Echinosepala lappiformis"
wfo-4000013172,"Costa Rica",COS,Cosmopolitan,30003459-2,30003459-2,Cyperaceae,Eleocharis,Eleocharis
wfo-0000396429,"Costa Rica",COS,"S. Mexico to Venezuela",318761-1,318761-1,Dioscoreaceae,Dioscorea,"Dioscorea urophylla"
wfo-0000396105,"Costa Rica",COS,"Trop. America",323927-2,323927-2,Dioscoreaceae,Dioscorea,"Dioscorea trifida"
wfo-0000392772,"Costa Rica",COS,"Costa Rica to Panama",320890-2,320890-2,Dioscoreaceae,Dioscorea,"Dioscorea natalia"
wfo-0000389809,"Costa Rica",COS,"Costa Rica to Peru",80750-2,80750-2,Dioscoreaceae,Dioscorea,"Dioscorea chaponensis"
wfo-0000401366,"Costa Rica",COS,"Costa Rica to S. Trop. America",1194702-2,1194702-2,Orchidaceae,Echinosepala,"Echinosepala aspasicensis"
wfo-0000389816,"Costa Rica",COS,"Costa Rica to N. Colombia",77169374-1,77169374-1,Dioscoreaceae,Dioscorea,"Dioscorea chaponensis var. chaponensis"
wfo-0000356458,"Costa Rica",COS,"America, Azores, Temp. Eurasia, N. Africa, Australia to SW. Pacific",303489-1,303489-1,Cyperaceae,Cladium,"Cladium mariscus"
wfo-0000356485,"Costa Rica",COS,"Trop. & Subtrop. America",80337-3,80337-3,Cyperaceae,Cladium,"Cladium mariscus subsp. jamaicense"
