"taxonID","habitat"
"taxon-1-Microtea_debilis","Habitat: in the Guianas in disturbed habitats such as lawns, pastures and sandy roadsides"
"taxon-2-Microtea_maypurensis","Habitat: in the Guianas found along riverbanks or in disturbed sites"
"taxon-1-Petiveria_alliacea","Habitat: in the Guianas a weed in disturbed areas such as roadsides and flower beds"
"taxon-1-Phytolacca_rivinoides","Habitat: in the Guianas found along trails, roadsides, and altered ground such as airstrips and disturbed forests"
"taxon-2-Phytolacca_thyrsiflora","Habitat: savanna woodlands"
"taxon-Rivina_humilis","Habitat: weed in disturbed areas"
"taxon-5-SEGUIERIA","Habitat: secondary forests"
"taxon-1-Boerhavia_diffusa","Habitat: in the Guianas a weed, usually found in open, sandy or stony soil on roadsides"
"taxon-1-Guapira_cuspidata","Habitat: principally found at the edge of forests, in scrub savanna, or at the edges of white sand savanna ""islands"" along the Courantyne, Cuyuni, Berbice and Rupununi rivers and tributaries, in Suriname on sandy ridges with low forest, and in savanna woods bordering rock pavements"
"taxon-2-Guapira_eggersiana","Habitat: variously in coastal rocky ground, interior mountain escarpments, wallaba (Eperua falcata) forests, white sand savannas, and primary and secondary forests"
"taxon-3-Guapira_kanukuensis","Habitat: Endemic to forests of the Kanuku Mts. in Guyana, alt. 150-400 m"
"taxon-4-Guapira_salicifolia","Habitat: occurring in primary, hill, gallery and secondary forests, and margins of Pterocarpus-Euterpe swamps (Guyana) and Sesuvium-Avicennia swamps (Suriname)."
"taxon-1-Neea_constricta","Habitat: in secondary vegetation on white sand in wallaba (Eperua falcata) forest in Guyana, and lateritic, open creek forest of stream banks, or non-flooded moist forest in French Guiana"
"taxon-2-Neea_floribunda","Habitat: in upland rainforest and forest-margins"
"taxon-3-Neea_mollis","Habitat:"
"taxon-4-Neea_ovalifolia","Habitat: in rainforest and wallaba (Eperua falcata) forest in the Guianas, 300-700 m alt."
"taxon-5-Neea_spruceana","Habitat: in rainforest, restinga or varzea and in coastal as well as interior forest in Guyana and French Guiana, up to 600m alt."
"taxon-1-Pisonia_macranthocarpa","Habitat: occurring in thickets on wooded, elevated ""islands"" in savanna vegetation"
"taxon-1-Alternanthera_brasiliana","Habitat: in disturbed habitats, roadside weed, or at edges of forest as a vine"
"taxon-2-Alternanthera_ficoidea","Habitat: common as a ruderal in disturbed areas"
"taxon-3-Alternanthera_halimifolia","Habitat: coastal areas"
"taxon-4-Alternanthera_philoxeroides","Habitat: weed in aquatic habitats"
"taxon-5-Alternanthera_sessilis","Habitat: in disturbed areas"
"taxon-2-Amaranthus_blitum","Habitat: weed in disturbed areas"
"taxon-4-Amaranthus_dubius","Habitat: weed in disturbed areas, or rarely cultivated"
"taxon-5-Amaranthus_hybridus","Habitat: weed of disturbed lands"
"taxon-6-Amaranthus_spinosus","Habitat: often in disturbed lowland habitats"
"taxon-7-Amaranthus_viridis","Habitat: weed on disturbed land, occasionally cultivated as a leafy vegetable"
"taxon-4-BLUTAPARON","Habitat: in coastal habitats"
"taxon-1-Blutaparon_vermiculare","Habitat: along sandy coastal areas and mangrove habitats"
"taxon-1-Celosia_argentea","Habitat: naturalized as a weed in disturbed tropical and subtropical sites outside its natural range"
"taxon-6-CHAMISSOA","Habitat: mostly occurring in forests and along riverbanks"
"taxon-1-Cyathula_achyranthoides","Habitat: naturalized as a weed in disturbed areas"
"taxon-2-Cyathula_prostrata","Habitat: occurring in recently disturbed or secondary vegetation"
"taxon-Pfaffia_glomerata","Habitat: sometimes in disturbed areas of human habitation"
"taxon-1-PORTULACA","Habitat: often in dry areas"
"taxon-2-Portulaca_oleracea","Habitat: on disturbed ground"
"taxon-3-Portulaca_pilosa","Habitat: often as a weed in open places"
"taxon-5-Portulaca_sedifolia","Habitat: in saxicolous, dry, exposed habitats, often at the seashore or on granitic rocks"
"taxon-2-Talinum_paniculatum","Habitat: often on rocks near watercourses or the sea"
"taxon-36-MOLLUGINACEAE","Habitat: often weedy"
"taxon-1-GLINUS","Habitat: weedy"
"taxon-1-Glinus_radiatus","Habitat: in disturbed areas"
"taxon-2-MOLLUGO","Habitat: weedy"
"taxon-1-Drymaria_cordata","Habitat: disturbed areas"
"taxon-1-Polycarpaea_corymbosa","Habitat: weeds, often from sandy habitats"
"taxon-54-SARRACENIACEAE","Ecology: In wet, sandy or boggy places, deficient in nitrogenous nutrients ."
"taxon-1-HELIAMPHORA","Habitat: on higher altitudes in marshy or wet savanna-like places, on the so-called tepuis (abruptively arising high sandstone hills with rugged summits)"
"taxon-1-Heliamphora_nutans","Habitat: occasional to frequent in clumps among dense mats of low vegetation, open shrubs, low forest in marshy places on white sand and boulders, at 1600-2300 m alt."
"taxon-1-DROSERA","Ecology: Plants growing in wet sand savanna, bogs, scrub vegetation, sandy areas along streams and coastal vegetation; between 10-2700 m alt."
"taxon-1-Drosera_biflora","Habitat: wet and sandy savanna, shrub savanna, between 100-200 m alt."
"taxon-2-Drosera_capillaris","Habitat: wet savanna and bogs, between 10-2000 m alt."
"taxon-3-Drosera_cayennensis","Habitat: wet savanna and littoral bogs, common in the littoral area, 100-600 m alt."
"taxon-4-Drosera_esmeraldae","Habitat: wet savanna, between 10-400 m alt."
"taxon-5-Drosera_intermedia","Habitat: wet savanna, 400-1300 m alt."
"taxon-6-Drosera_kaieteurensis","Habitat: wet sandy savanna, bog, scrub vegetation and sandy areas by streams, 400-1900 m alt."
"taxon-7-Drosera_roraimae","Habitat: wet sand savanna, scrub vegetation and sandy areas by streams, 900-2700 m alt."
"taxon-8-Drosera_sessilifolia","Habitat: common in wet sand savanna, 50-150 m alt."
