"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Microtea_debilis","fat-of-the-earth","","Guyana",""
"taxon-1-Microtea_debilis","eiwitblad","","Suriname",""
"taxon-1-Microtea_debilis","eiwit-wiwiri","","Suriname",""
"taxon-1-Microtea_debilis","fladdiot","","Suriname",""
"taxon-1-Microtea_debilis","alentou case","Creole","French Guiana",""
"taxon-1-Microtea_debilis","l'en tout case","","French Guiana",""
"taxon-1-Microtea_debilis","eye bulu wiwiri","Boni","French Guiana",""
"taxon-1-Microtea_debilis","racine-pistache","","French Guiana",""
"taxon-1-Petiveria_alliacea","gully-root","","Guyana",""
"taxon-1-Petiveria_alliacea","mucuraka","","Guyana",""
"taxon-1-Petiveria_alliacea","dongo dongu","Taki-taki","French Guiana",""
"taxon-1-Petiveria_alliacea","douvadouva","Creole","French Guiana",""
"taxon-1-Petiveria_alliacea","douvan-douvan","","French Guiana",""
"taxon-1-Petiveria_alliacea","kananumna","Palikur","French Guiana",""
"taxon-1-Petiveria_alliacea","maipouri","Creole","French Guiana",""
"taxon-1-Petiveria_alliacea","ndongu-ndongu","Boni","French Guiana",""
"taxon-1-Phytolacca_rivinoides","buck bhajee","","Guyana",""
"taxon-1-Phytolacca_rivinoides","deer kalaloo","","Guyana",""
"taxon-1-Phytolacca_rivinoides","blaka-wiwiri","","Suriname",""
"taxon-1-Phytolacca_rivinoides","gogomago","","Suriname",""
"taxon-1-Phytolacca_rivinoides","makoko","","Suriname",""
"taxon-1-Phytolacca_rivinoides","bichouillac","","French Guiana",""
"taxon-1-Phytolacca_rivinoides","macoco","Taki-taki","French Guiana",""
"taxon-2-Phytolacca_thyrsiflora","deer kalaloo","","Guyana",""
"taxon-1-Seguieria_americana","boslemmetje","","Suriname",""
"taxon-1-Seguieria_americana","citron sauvage","","French Guiana",""
"taxon-1-Boerhavia_diffusa","ipecacuanha de Cayenne","","French Guiana",""
"taxon-1-Bougainvillea_glabra","bougainville","","Suriname",""
"taxon-2-Bougainvillea_spectabilis","bougainville","","Suriname",""
"taxon-2-Bougainvillea_spectabilis","bougainvillier","","French Guiana",""
"taxon-2-Bougainvillea_spectabilis","bougainville","","French Guiana",""
"taxon-1-Guapira_cuspidata","bakabakaru","Arawak","Guyana",""
"taxon-1-Guapira_cuspidata","mafo","","Guyana",""
"taxon-1-Guapira_cuspidata","mamudan","","Guyana",""
"taxon-2-Guapira_eggersiana","hebineroo","","Guyana",""
"taxon-2-Guapira_eggersiana","njamsi-oedoe","Sranan","Suriname",""
"taxon-2-Guapira_eggersiana","njamsihoedoe","","Suriname",""
"taxon-2-Guapira_eggersiana","jamsi-oedoe","","Suriname",""
"taxon-2-Guapira_eggersiana","prasara-oedoe","","Suriname",""
