"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-CARYOPHYLLALES","CARYOPHYLLALES","","","","","","","accepted"
"taxon-31-CACTACEAE","CACTACEAE","","family","CACTACEAE","","","","accepted"
"taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","family","PHYTOLACCACEAE","","","","accepted"
"taxon-1-MICROTEA","MICROTEA","Sw.","genus","","","MICROTEA","Prodr. 4 53 1788","accepted"
"taxon-1-Microtea_debilis","Microtea debilis","Sw.","species","","","Microtea","Prodr. 53 1788","accepted"
"taxon-2-Microtea_maypurensis","Microtea maypurensis","G. Don","species","","","Microtea","Loudon Hort. Brit. 98 n. 6423 1830","accepted"
"taxon-2-PETIVERIA","PETIVERIA","L.","genus","","","PETIVERIA","Sp. Pl. 342 1753","accepted"
"taxon-1-Petiveria_alliacea","Petiveria alliacea","L.","species","","","Petiveria","Sp. Pl. 342 1753","accepted"
"taxon-3-PHYTOLACCA","PHYTOLACCA","L.","genus","","","PHYTOLACCA","Sp. Pl. 441 1753","accepted"
"taxon-1-Phytolacca_rivinoides","Phytolacca rivinoides","Kunth & C.D. Bouché","species","","","Phytolacca","Link, Kunth & C.D. Bouché Ind. Sem. Hort. Bot. Berol. 1848 15 1849","accepted"
"taxon-2-Phytolacca_thyrsiflora","Phytolacca thyrsiflora","Fenzl ex J.A. Schmidt","species","","","Phytolacca","Mart. Fl. Bras. 14 2 343 1872","accepted"
"taxon-4-RIVINA","RIVINA","L.","genus","","","RIVINA","Sp. Pl. 121 1753","accepted"
"taxon-Rivina_humilis","Rivina humilis","L.","species","","","Rivina","Sp. Pl. 121 1753","accepted"
"taxon-5-SEGUIERIA","SEGUIERIA","Loefl.","genus","","","SEGUIERIA","Iter Hispan. 191 1758","accepted"
"taxon-1-Seguieria_americana","Seguieria americana","L.","species","","","Seguieria","Syst. Nat. ed. 10 1074 1759","accepted"
"taxon-2-Seguieria_macrophylla","Seguieria macrophylla","Benth.","species","","","Seguieria","Trans. Linn. Soc. London 18 235 1839","accepted"
"taxon-6-TRICHOSTIGMA","TRICHOSTIGMA","A. Rich.","genus","","","TRICHOSTIGMA","Sagra Hist. Fis. Pol. Nat. Cuba Pt. 2 Hist. Nat. 10 306 1845","accepted"
"taxon-1-Trichostigma_octandrum","Trichostigma octandrum","H. Walt.","species","","","Trichostigma","Engl. Pflanzenr. IV. 83 Heft 39 109 f. 31 1909","accepted"
"taxon-29-NYCTAGINACEAE","NYCTAGINACEAE","","family","NYCTAGINACEAE","","","","accepted"
"taxon-1-BOERHAVIA","BOERHAVIA","L.","genus","","","BOERHAVIA","Sp. Pl. 3 1753","accepted"
"taxon-1-Boerhavia_diffusa","Boerhavia diffusa","L.","species","","","Boerhavia","Sp. Pl. 3 1753 nom. cons. prop.","accepted"
"taxon-2-BOUGAINVILLEA","BOUGAINVILLEA","Comm. ex Juss.","genus","","","BOUGAINVILLEA","Gen. Pl. 91 1789 nom. et orth. cons.","accepted"
"taxon-1-Bougainvillea_glabra","Bougainvillea glabra","Choisy","species","","","Bougainvillea","DC. Prodr. 13 2 437 1849","accepted"
"taxon-2-Bougainvillea_spectabilis","Bougainvillea spectabilis","Willd.","species","","","Bougainvillea","Sp. Pl. 2 348 1789","accepted"
"taxon-3-GUAPIRA","GUAPIRA","Aubl.","genus","","","GUAPIRA","Hist. Pl. Guiane 1 308 3: t. 119 as 'Quapira' 1775","accepted"
"taxon-Guapira_marcano-bertii","Guapira marcano-bertii","","species","","","Guapira","","accepted"
"taxon-1-Guapira_cuspidata","Guapira cuspidata","Lundell","species","","","Guapira","Wrightia 4 80 1968","accepted"
"taxon-2-Guapira_eggersiana","Guapira eggersiana","Lundell","species","","","Guapira","Wrightia 4 80 1968","accepted"
"taxon-3-Guapira_kanukuensis","Guapira kanukuensis","Lundell","species","","","Guapira","Wrightia 4 81 1968","accepted"
"taxon-4-Guapira_salicifolia","Guapira salicifolia","Lundell","species","","","Guapira","Wrightia 4 83 1968","accepted"
"taxon-4-MIRABILIS","MIRABILIS","L.","genus","","","MIRABILIS","Sp. Pl. 177 1753","accepted"
"taxon-1-Mirabilis_jalapa","Mirabilis jalapa","L.","species","","","Mirabilis","Sp. Pl. 177 1753","accepted"
"taxon-5-NEEA","NEEA","Ruiz & Pav.","genus","","","NEEA","Fl. Peruv. Prodr. 52 1794","accepted"
"taxon-Neea_davidsei","Neea davidsei","","species","","","Neea","","accepted"
"taxon-1-Neea_constricta","Neea constricta","Spruce ex J.A. Schmidt","species","","","Neea","Mart. Fl. Bras. 14 2 368 1872","accepted"
"taxon-2-Neea_floribunda","Neea floribunda","Poepp. & Endl.","species","","","Neea","Nov. Gen. Sp. 2 46 1835","accepted"
"taxon-3-Neea_mollis","Neea mollis","Spruce ex J.A. Schmidt","species","","","Neea","Mart. Fl. Bras. 14 2 367 1872","accepted"
"taxon-4-Neea_ovalifolia","Neea ovalifolia","Spruce ex J.A. Schmidt","species","","","Neea","Mart. Fl. Bras. 14 2 368 1872","accepted"
"taxon-5-Neea_spruceana","Neea spruceana","Heimerl","species","","","Neea","Notizbl. Bot. Gart. Berlin-Dahlem 6 131 1914","accepted"
"taxon-6-PISONIA","PISONIA","L.","genus","","","PISONIA","Sp. Pl 1026 1753","accepted"
"taxon-1-Pisonia_macranthocarpa","Pisonia macranthocarpa","Donn. Sm.","species","","","Pisonia","Bot. Gaz. 20 293 1895","accepted"
"taxon-30-AIZOACEAE","AIZOACEAE","","family","AIZOACEAE","","","","accepted"
"taxon-1-SESUVIUM","SESUVIUM","L.","genus","","","SESUVIUM","Syst. Nat. ed. 10 1052 1759","accepted"
"taxon-1-Sesuvium_portulacastrum","Sesuvium portulacastrum","L.","species","","","Sesuvium","Syst. Nat. ed. 10 1058 1759","accepted"
"taxon-32-CHENOPODIACEAE","CHENOPODIACEAE","","family","CHENOPODIACEAE","","","","accepted"
"taxon-1-CHENOPODIUM","CHENOPODIUM","L.","genus","","","CHENOPODIUM","Sp. Pl. 218 1753","accepted"
"taxon-1-Chenopodium_ambrosioides","Chenopodium ambrosioides","L.","species","","","Chenopodium","Sp. Pl. 219 1753","accepted"
"taxon-33-AMARANTHACEAE","AMARANTHACEAE","","family","AMARANTHACEAE","","","","accepted"
"taxon-1-ACHYRANTHES","ACHYRANTHES","L.","genus","","","ACHYRANTHES","Sp. Pl. 204 1753","accepted"
"taxon-1-Achyranthes_aspera","Achyranthes aspera","L.","species","","","Achyranthes","Sp. Pl. 204 1753","accepted"
"taxon-Achyranthes_aspera","Achyranthes aspera","L.","species","","","Achyranthes","","accepted"
"taxon-2-ALTERNANTHERA","ALTERNANTHERA","Forssk.","genus","","","ALTERNANTHERA","Fl. Aegypt-Arab. 28 1775","accepted"
"taxon-1-Alternanthera_brasiliana","Alternanthera brasiliana","Kuntze","species","","","Alternanthera","Revis. Gen. Pl. 2 537 1891","accepted"
"taxon-2-Alternanthera_ficoidea","Alternanthera ficoidea","P. Beauv.","species","","","Alternanthera","Fl. Oware 2 66 1818 as ‘ficoides’","accepted"
"taxon-3-Alternanthera_halimifolia","Alternanthera halimifolia","Standl. ex Pittier","species","","","Alternanthera","Man. Pl. Usual. Venez. 145 1926","accepted"
"taxon-4-Alternanthera_philoxeroides","Alternanthera philoxeroides","Griseb.","species","","","Alternanthera","Abh. Königl. Ges. Wiss. Göttingen 24 36 1879","accepted"
"taxon-5-Alternanthera_sessilis","Alternanthera sessilis","DC.","species","","","Alternanthera","Cat. Pl. Hort. Monspel. 77 1813","accepted"
"taxon-3-AMARANTHUS","AMARANTHUS","L.","genus","","","AMARANTHUS","Sp. Pl. 989 1753","accepted"
"taxon-1-Amaranthus_australis","Amaranthus australis","J.D. Sauer","species","","","Amaranthus","Madroño 13 15 1955","accepted"
"taxon-2-Amaranthus_blitum","Amaranthus blitum","L.","species","","","Amaranthus","Sp. Pl. 990 1753","accepted"
"taxon-3-Amaranthus_caudatus","Amaranthus caudatus","L.","species","","","Amaranthus","Sp. Pl. 990 1753","accepted"
"taxon-4-Amaranthus_dubius","Amaranthus dubius","Mart. ex Thell.","species","","","Amaranthus","Mém. Soc. Sci. Nat. Cherbourg (Fl. Adv. Montpellier) 38 203 1912","accepted"
"taxon-5-Amaranthus_hybridus","Amaranthus hybridus","L.","species","","","Amaranthus","Sp. Pl. 990 1753","accepted"
"taxon-6-Amaranthus_spinosus","Amaranthus spinosus","L.","species","","","Amaranthus","Sp. Pl. 991 1753","accepted"
"taxon-7-Amaranthus_viridis","Amaranthus viridis","L.","species","","","Amaranthus","Sp. Pl. ed. 2 1405 1763","accepted"
"taxon-4-BLUTAPARON","BLUTAPARON","Raf.","genus","","","BLUTAPARON","New Fl. 4 45 1838","accepted"
"taxon-1-Blutapharon_vermiculare","Blutapharon vermiculare","Mears","species","","","Blutapharon","Taxon 31 113 1982","accepted"
"taxon-1-Blutaparon_vermiculare","Blutaparon vermiculare","Mears","species","","","Blutaparon","","accepted"
"taxon-5-CELOSIA","CELOSIA","L.","genus","","","CELOSIA","Sp. Pl. 205 1753","accepted"
"taxon-1-Celosia_argentea","Celosia argentea","L.","species","","","Celosia","Sp. Pl. 205 1753","accepted"
"taxon-6-CHAMISSOA","CHAMISSOA","Kunth","genus","","","CHAMISSOA","Humb., Bonpl. & Kunth Nov. Gen. Sp. ed. qu. 2 196 1818 nom. cons.","accepted"
"taxon-1-Chamissoa_acuminata","Chamissoa acuminata","Mart.","species","","","Chamissoa","Beitr. Kenntn. Amarantaceen 78 1825","accepted"
"taxon-1-Chamissoa_acuminata","Chamissoa acuminata","","species","","","Chamissoa","Bull. Torrey Bot. Club 104 124 1977","accepted"
"taxon-2-Chamissoa_altissima","Chamissoa altissima","Kunth","species","","","Chamissoa","Humb., Bonpl. & Kunth Nov. Gen. Sp. ed. qu. 2 197 t. 125 1818","accepted"
"taxon-2-Chamissoa_altissima","Chamissoa altissima","","species","","","Chamissoa","","accepted"
"taxon-7-CYATHULA","CYATHULA","Blume","genus","","","CYATHULA","Bijdr. 548 1826 nom. cons.","accepted"
"taxon-1-Cyathula_achyranthoides","Cyathula achyranthoides","Moq.","species","","","Cyathula","A. DC. Prodr. 13 2 326 1849","accepted"
"taxon-2-Cyathula_prostrata","Cyathula prostrata","Blume","species","","","Cyathula","Bijdr. 549 1825","accepted"
"taxon-8-GOMPHRENA","GOMPHRENA","L.","genus","","","GOMPHRENA","Sp. Pl. 224 1753","accepted"
"taxon-1-Gomphrena_globosa","Gomphrena globosa","L.","species","","","Gomphrena","Sp. Pl. 224 1753","accepted"
"taxon-9-IRESINE","IRESINE","P. Browne","genus","","","IRESINE","Civ. Nat. Hist. Jamaica 358 1756 nom. cons.","accepted"
"taxon-1-Iresine_diffusa","Iresine diffusa","Humb. & Bonpl. ex Willd.","species","","","Iresine","Sp. Pl. 4 765 1806","accepted"
