"taxonID","scientificName","namePublishedIn","taxonomicStatus"
"taxon-2-Microtea_maypurensis","Ancistrocarpus maypurensis","Humb., Bonpl. & Kunth Nov. Gen. Sp. ed. qu. 2 186 t. 122 1817","synonym"
"taxon-1-Seguieria_americana","Seguieria foliosa","Trans. Linn. Soc. London 18 236 1839","synonym"
"taxon-1-Trichostigma_octandrum","Rivina octandra","Cent. Pl. 2 9 1756","synonym"
"taxon-1-Boerhavia_diffusa","Boerhavia paniculata","Actes Soc. Hist. Nat. Paris 1 105 1792","synonym"
"taxon-1-Boerhavia_diffusa","Boerhavia surinamensis","Linnaea 18 244 1844","synonym"
"taxon-1-Bougainvillea_glabra","Bougainvillea spectabilis","Bot. Mag. 80 ad t. 4811 1854","synonym"
"taxon-3-GUAPIRA","Torrubia","Fl. Flum. 139 1829","synonym"
"taxon-1-Guapira_cuspidata","Pisonia cuspidata","Bot. Jahrb. Syst. 21 628 1896","synonym"
"taxon-1-Guapira_cuspidata","Torrubia cuspidata","Contr. U.S. Natl. Herb. 18 100 1916","synonym"
"taxon-1-Guapira_cuspidata","Pisonia schomburgkiana","Beitr. Syst. Nyctag. 34 1897","synonym"
"taxon-1-Guapira_cuspidata","Torrubia schomburgkiana","Contr. U.S. Natl. Herb. 18 101 1916 nom. nud.","synonym"
"taxon-1-Guapira_cuspidata","Guapira schomburgkiana","Wrightia 4 83 1968 nom. nud.","synonym"
"taxon-2-Guapira_eggersiana","Pisonia eggersiana","Bot. Jahrb. Syst. 21 627 1896","synonym"
"taxon-2-Guapira_eggersiana","Torrubia eggersiana","Contr. U.S. Natl. Herb. 18 100 1916","synonym"
"taxon-2-Guapira_eggersiana","Pisonia glabra","Bull. Misc. Inf. 1932 220 1932","synonym"
"taxon-2-Guapira_eggersiana","Guapira glabra","Ann. Missouri Bot. Gard. 74 617 1987","synonym"
"taxon-2-Guapira_eggersiana","Pisonia olfersiana","","synonym"
"taxon-2-Guapira_eggersiana","Pisonia pacurero","","synonym"
"taxon-2-Guapira_eggersiana","Torrubia olfersiana","","synonym"
"taxon-3-Guapira_kanukuensis","Torrubia kanukuensis","Lloydia 2 178 1939","synonym"
"taxon-4-Guapira_salicifolia","Pisonia salicifolia","Urban Symb. Ant. 7 216 1912","synonym"
"taxon-4-Guapira_salicifolia","Torrubia salicifolia","Contr. U.S. Natl. Herb. 18 101 1916","synonym"
"taxon-4-Guapira_salicifolia","Pisonia albiflora","Bull. Misc. Inf. 1932 219 1932","synonym"
"taxon-4-Guapira_salicifolia","Torrubia heimerliana","Lloydia 2 177 1939","synonym"
"taxon-4-Guapira_salicifolia","Guapira heimerliana","Wrightia 4 81 1968","synonym"
"taxon-1-Pisonia_macranthocarpa","Pisonia aculeata","Bot. Gaz. 16 198 1891","synonym"
"taxon-1-Sesuvium_portulacastrum","Portulaca portulacastrum","Sp. Pl. 446 1753","synonym"
"taxon-1-Sesuvium_portulacastrum","Sesuvium acutifolium","Tijdschr. Natuurl. Gesch. Physiol. 10 75 1843","synonym"
"taxon-Achyranthes_aspera","Achyranthes indica","Gard. Dict. ed. 8 Achyranthes no. 2 1768","synonym"
"taxon-Achyranthes_aspera","Achyranthes aspera","Sp. Pl. 204 1753","synonym"
"taxon-2-ALTERNANTHERA","Telanthera","Tuckey Narr. Exped. Congo 477 1818","synonym"
"taxon-1-Alternanthera_brasiliana","Gomphrena brasiliana","Cent. Pl. 2 13 1756","synonym"
"taxon-1-Alternanthera_brasiliana","Gomphrena dentata","Suppl. Meth. 273 1802 nom. illeg. as ‘Gomphraena’","synonym"
"taxon-1-Alternanthera_brasiliana","Telanthera dentata","A. DC. Prodr. 13 2 378 1849 nom. illeg.","synonym"
"taxon-1-Alternanthera_brasiliana","dentata","Ark. Bot. 16 13 11 1920 nom. illeg.","synonym"
"taxon-2-Alternanthera_ficoidea","Gomphrena ficoidea","Sp. Pl. 225 1753 nom. cons.","synonym"
"taxon-2-Alternanthera_ficoidea","Alternanthera tenella","Mem. Reale Accad. Sci. Torino 33 131 t. 9 1829","synonym"
