"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-8795920701979057871","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Appun, C.F.","327","guyana"
"occ-8114070052580644040","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","1787","guyana"
"occ-4081270230271060709","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2459","guyana"
"occ-1109912199988599411","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Archer, W.A.","2256","guyana"
"occ-5558607586050719241","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2295","guyana"
"occ--8990344085065787872","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Botanical Garden","s.n.","guyana"
"occ-3800433058246553249","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Clarke, H.D.","978","guyana"
"occ--6064606517445734759","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Cooper, A.","32","guyana"
"occ-5117334397448492620","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Cruz, J.S. de la","1143","guyana"
"occ--4060432239337928565","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2085","guyana"
"occ-3087846041609483517","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2093","guyana"
"occ-4889468426698739358","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2132","guyana"
"occ-7160563517953990533","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2480","guyana"
"occ-374231715569392753","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","2501","guyana"
"occ-2394524619993559502","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","3130","guyana"
"occ-2875621119053556819","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","3221","guyana"
"occ--226018662387941551","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","3548","guyana"
"occ--7628080788330654847","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","3639","guyana"
"occ-494432030503073561","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","3650","guyana"
"occ-3040703138754083167","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","4033","guyana"
"occ--9011235721259625616","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","4481","guyana"
"occ-8444947136804047517","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","4601","guyana"
"occ--5707027219877185684","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Davis, D.H.","893","guyana"
"occ-1104165790309611244","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Fairchild, D.","s.n.","guyana"
"occ-113443979178519753","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Fanshawe, D.B.","2450","guyana"
"occ--2736230703637453509","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","FD","5186","guyana"
"occ--97036793901133324","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Gillespie, L.J. et al.","1027","guyana"
"occ-4777755628465748951","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","","1313","guyana"
"occ--3203695738311936288","taxon-27-PHYTOLACCACEAE","PHYTOLACCACEAE","Gleason, H.A.","18","guyana"
