"referenceID","bibliographicCitation"
"ref-4638267364570719823","Bittrich, V. 1993 Achatocarpaceae K. Kubitzki The Families and Genera of Vascular Plants 2 35-36"
"ref-1095974886799232204","Brown, G.K. & G.S. Varadarajan. 1985 Studies in Caryophyllales I: Re-evaluation of classification of Phytolaccaceae s.l Syst. Bot. 10 49-63"
"ref--7384474041654393867","Correll, D.S. & H.B. Correll. 1982 Flora of the Bahama Archipelago, Phytolaccaceae pp. 499-505"
"ref--960266308745234442","Grenand, P. et al. 1987 Pharmacopées traditionnelles en Guyane, Phytolaccaceae pp. 353-355"
"ref-8088662373280207585","Guaglianone, E.R. 1996 Phytolacca rivinoides (Phytolaccaceae), su presencia en la Argentina Darwiniana 34 399-401"
"ref-8110478735635057880","Jarvis, C.E. et al. 1993 A List of Linnaean Generic Names and their Types Regnum Veg. 127 100 pp"
"ref-7537994326796482295","Lachman-White, D.A. et al. 1987 A Guide to the Medicinal Plants of Coastal Guyana Commonwealth Science Council Technical Publication Series No. 225 350 pp"
"ref-6723664820214246461","Lemée, A.M.V. 1955 Flore de la Guyane Française Phytolaccacées 1 575-579"
"ref-86401071211902177","Nowicke, J.W. 1968 Palynotaxonomic study of the Phytolaccaceae Ann. Missouri Bot. Gard. 55 294-363"
"ref--6244426855302568834","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname, Phytolaccaceae Bull. Landbouwproefstat. Suriname 79 27-28"
"ref-4241873335546553477","Raeder, K. 1961 Phytolaccaceae R.E. Woodson & R.W. Schery Flora of Panama 4 408-421 = Ann. Missouri Bot. Gard. 48: 66-79"
"ref--4811656027992082963","Rogers, G.K. 1985 The genera of Phytolaccaceae in the southeastern United States J. Arnold Arbor. 66 1-37"
"ref--6538093169103552744","Rohwer, J.G. 1993 Phytolaccaceae K. Kubitzki The Families and Genera of Vascular Plants 2 506-515"
"ref-261571430607234078","Santos, E. & B. Flaster. 1967 Fitolacáceas P.R. Reitz Flora Ilustrada Catarinense 37 pp."
"ref-4689750304707514538","Stoffers, A.L. 1957 Phytolaccaceae A.A. Pulle Flora of Suriname 1 2 209-217"
"ref--7559867006607647572","Walter, H. 1909 Phytolaccaceae H.G.A. Engler Das Pflanzenreich IV. 83 Heft 39 1-154"
"ref-2181864658409751972","Carlquist, S. 1988 Comparative Wood Anatomy. Systematic, Ecological, and Evolutionary Aspects of Dicotyledon Wood Springer-Verlag Berlin-Heidelberg"
"ref-5171318812484072281","Lindeman, J.C., A.M.W. Mennega and W.J.A. Hekking. 1963 Bomenboek voor Suriname. Herkenning van Surinaamse houtsoorten aan hout en vegetatieve kenmerken Uitgave Dienst ‘s Lands Bosbeheer Suriname Paramaribo"
"ref--5507166969100147539","Metcalfe, C.R. & L. Chalk. 1983 Anatomy of the Dicotyledons vol. II Wood structure and conclusion of the general introduction Clarendon Press Oxford"
"ref--6757059689120004758","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven, CT"
"ref--4508881205205144273","Rohwer, J.G. 1982 A taxonomic revision of the genera Seguieria Loefl. and Gallesia Casar. (Phytolaccaceae) Mitt. Bot. Staatssamml. München 18 231-288"
"ref--6027803869742357587","Aublet Hist. Pl. Guiane 1 90 1775"
"ref--23919092393340815","Bittrich, V. & U. Kühn. 1993 Nyctaginaceae K. Kubitzki The Families and Genera of Vascular Plants 2 473-486"
"ref-2900020571525874333","Bogle, A.L. 1974 The genera of Nyctaginaceae in the southeastern United States J. Arnold Arbor. 55 1-37"
"ref-5125473169800585203","DeFilipps, R.A. 1992 Ornamental Garden Plants of the Guianas: An Historical Perspective of Selected Garden Plants from Guyana, Surinam and French Guiana Nyctaginaceae pp. 161-163 Smithsonian Institution Washington, D.C"
"ref--1507126582671699581","Dumas, M.A.D. 1991 Listado preliminar de Nyctaginaceas cubanas Revista Jard. Bot. Nac. Univ. Habana 12 23-25"
"ref-3700502336083648511","Fay, J.J. 1980 Flora de Veracruz Nyctaginaceae 13 54 pp"
"ref--6568567625649460279","Heimerl, A. 1934 Nyctaginaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien ed. 2. 16c 86-134"
"ref-7960973782228214571","Jarvis, C.E., et al. 1993 A List of Linnaean Generic Names and their Types Regnum Veg. 127 100 pp"
