WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000491787,tamyae doi bai bang(ตำแยดอยใบบาง),ver-THA-0000491787.01,0.0,ref-THA-0000491787,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03125,"Acalypha brachystachya. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 24. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000912095,khang poi tua mia (ขางปอยตัวเมีย)(Central),ver-THA-0000912095.01,0.0,ref-THA-0000912095,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03126,"Acalypha delpyana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 25. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000950668,kiao klao (เกี้ยวเกล้า)(Northern),ver-THA-0000950668.01,0.0,ref-THA-0000950668,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000950668,mai phrom (ไหมพรม)(Northern),ver-THA-0000950668.02,0.0,ref-THA-0000950668,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000950668,hang krarok daeng (หางกระรอกแดง)(Bangkok),ver-THA-0000950668.03,0.0,ref-THA-0000950668,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000950668,hang maeo (หางแมว)(Central),ver-THA-0000950668.04,0.0,ref-THA-0000950668,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000950668,hu plachon (หูปลาช่อน)(Ratchaburi),ver-THA-0000950668.05,0.0,ref-THA-0000950668,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000953231,tamyae tua phu (ตำแยตัวผู้)(Central),ver-THA-0000953231.01,0.0,ref-THA-0000953231,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03128,"Acalypha indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000953231,tamyae maeo (ตำแยแมว)(Central),ver-THA-0000953231.02,0.0,ref-THA-0000953231,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03128,"Acalypha indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000953231,han maeo (หานแมว)(Northern),ver-THA-0000953231.03,0.0,ref-THA-0000953231,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03128,"Acalypha indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000953231,lang ta kai (ลังตาไก่)(Trang),ver-THA-0000953231.04,0.0,ref-THA-0000953231,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03128,"Acalypha indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000958157,khang poi (ขางปอย)(Chiang Mai),ver-THA-0000958157.01,0.0,ref-THA-0000958157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03129,"Acalypha kerrii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 27. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000958157,"khang poi nam (ขางปอยน้ำ)(Northern, Central)",ver-THA-0000958157.02,0.0,ref-THA-0000958157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03129,"Acalypha kerrii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 27. Accessed 2021-07-31",Forest Herbarium,All rights reserved
