WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000825462,761305,158109,Begonia schliebenii,BEGONIACEAE,Begonia,schliebenii,,,,Irmsch.,Data Deficient,,3.1,Unknown,Global
wfo-0001101759,763329,158156,Oxygonum leptopus,POLYGONACEAE,Oxygonum,leptopus,,,,Mildbr.,Data Deficient,,3.1,Unknown,Global
wfo-0001277663,764255,158179,Ochna monantha,OCHNACEAE,Ochna,monantha,,,,Gilg,Data Deficient,,3.1,Unknown,Global
wfo-0001101760,770849,158289,Oxygonum hirtum,POLYGONACEAE,Oxygonum,hirtum,,,,Peter,Data Deficient,,3.1,Unknown,Global
wfo-0000326562,771078,158297,Tragia acalyphoides,EUPHORBIACEAE,Tragia,acalyphoides,,,,Radcl.-Sm.,Data Deficient,,3.1,Unknown,Global
wfo-0000458669,1082726,165446,Tamarix palaestina,TAMARICACEAE,Tamarix,palaestina,,,,Bertol,Data Deficient,,3.1,Unknown,Global
wfo-0000194567,1313512,170427,Vigna benuensis,FABACEAE,Vigna,benuensis,,,,Pasquet & Maréchal,Data Deficient,,3.1,Unknown,Global
wfo-0000188345,1313900,170440,Vigna hosei,FABACEAE,Vigna,hosei,,,,Backer ex K.Heyne,Data Deficient,,3.1,Decreasing,Global
wfo-0000188429,1313986,170442,Vigna juruana,FABACEAE,Vigna,juruana,,,,(Harms) Verdc.,Data Deficient,,3.1,Unknown,Global
wfo-0000189212,1314758,170472,Vigna richardsiae,FABACEAE,Vigna,richardsiae,,,,Verdc.,Data Deficient,,3.1,Unknown,Global
wfo-0000189233,1314776,170475,Vigna somaliensis,FABACEAE,Vigna,somaliensis,,,,Baker f.,Data Deficient,,3.1,Decreasing,Global
wfo-0000649814,1382524,173386,Diospyros sumatrana,EBENACEAE,Diospyros,sumatrana,,,,Miq.,Data Deficient,,3.1,Unknown,Global
wfo-0000649779,1385122,173438,Diospyros sprucei,EBENACEAE,Diospyros,sprucei,,,,Hiern,Data Deficient,,3.1,Unknown,Global
wfo-0000648465,1387909,173505,Diospyros adiensis,EBENACEAE,Diospyros,adiensis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global
wfo-0000648734,1389823,173553,Diospyros crebripilis,EBENACEAE,Diospyros,crebripilis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global
wfo-0000648580,1397974,173752,Diospyros blepharophylla,EBENACEAE,Diospyros,blepharophylla,,,,Standl.,Data Deficient,,3.1,Unknown,Global
wfo-0000648726,1400098,173801,Diospyros coursiana,EBENACEAE,Diospyros,coursiana,,,,H.Perrier,Data Deficient,,3.1,Decreasing,Global
wfo-0000648717,1401136,173829,Diospyros cordata,EBENACEAE,Diospyros,cordata,,,,(Hiern) Bakh.,Data Deficient,,3.1,Unknown,Global
wfo-0000649055,1401688,173844,Diospyros hazomainty,EBENACEAE,Diospyros,hazomainty,,,,H.Perrier,Data Deficient,,3.1,Unknown,Global
wfo-0000649535,1402842,173872,Diospyros phuketensis,EBENACEAE,Diospyros,phuketensis,,,,Phengklai,Data Deficient,,3.1,Unknown,Global
wfo-0000648479,1408817,173997,Diospyros alpina,EBENACEAE,Diospyros,alpina,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global
