WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000326275,206387869,206257660,Tocoyena costanensis,RUBIACEAE,Tocoyena,costanensis,,,,Steyerm.,Least Concern,,3.1,Decreasing,Global
wfo-0000536594,206387874,206257676,Angostura trifoliata,RUTACEAE,Angostura,trifoliata,,,,(Willd.) T.S.Elias,Least Concern,,3.1,Decreasing,Global
wfo-0000638937,206387879,206257815,Decagonocarpus oppositifolius,RUTACEAE,Decagonocarpus,oppositifolius,,,,Engl.,Least Concern,,3.1,Stable,Global
wfo-0000429580,206387884,206258159,Zanthoxylum martinicense,RUTACEAE,Zanthoxylum,martinicense,,,,(Lam.) DC.,Least Concern,,3.1,Decreasing,Global
wfo-0000450384,206387889,206260114,Meliosma tachirensis,SABIACEAE,Meliosma,tachirensis,,,,Steyerm. & A.H.Gentry,Least Concern,,3.1,Decreasing,Global
wfo-0000924265,206387904,206261300,Casearia tachirensis,SALICACEAE,Casearia,tachirensis,,,,Steyerm.,Least Concern,,3.1,Stable,Global
wfo-0000526681,206387914,206261433,Allophylus glabratus,SAPINDACEAE,Allophylus,glabratus,,,,(Kunth) Radlk.,Least Concern,,3.1,Decreasing,Global
wfo-0000453153,206387919,206261609,Matayba atropurpurea,SAPINDACEAE,Matayba,atropurpurea,,,,(Radlk.) Radlk.,Least Concern,,3.1,Stable,Global
wfo-0000638032,206387939,206262556,Daphnopsis caracasana,THYMELAEACEAE,Daphnopsis,caracasana,,,,Meisn.,Least Concern,,3.1,Decreasing,Global
wfo-0000458952,206387944,206262711,Tepuianthus savannensis,THYMELAEACEAE,Tepuianthus,savannensis,,,,Maguire & Steyerm.,Least Concern,,3.1,Decreasing,Global
wfo-0000592327,206387949,206262767,Cecropia sararensis,URTICACEAE,Cecropia,sararensis,,,,Cuatrec.,Least Concern,,3.1,Decreasing,Global
wfo-0000228892,206387979,206262943,Lippia hirsuta,VERBENACEAE,Lippia,hirsuta,,,,L.f.,Least Concern,,3.1,Stable,Global
wfo-0000422894,206387994,206263272,Viburnum tinoides,VIBURNACEAE,Viburnum,tinoides,,,,L.f.,Least Concern,,3.1,Decreasing,Global
wfo-0000422885,206387999,206263296,Viburnum undulatum,VIBURNACEAE,Viburnum,undulatum,,,,(Oerst.) Killip & A.C.Sm.,Least Concern,,3.1,Decreasing,Global
wfo-0000424573,206388004,206263311,Vochysia aurantiaca,VOCHYSIACEAE,Vochysia,aurantiaca,,,,Stafleu,Least Concern,,3.1,Decreasing,Global
wfo-0000424557,206388009,206263322,Vochysia meridensis,VOCHYSIACEAE,Vochysia,meridensis,,,,Marc.-Berti,Least Concern,,3.1,Decreasing,Global
wfo-0000424553,206388014,206263334,Vochysia venezuelana,VOCHYSIACEAE,Vochysia,venezuelana,,,,Stafleu,Least Concern,,3.1,Decreasing,Global
wfo-0000656687,206388019,206263341,Drimys granadensis,WINTERACEAE,Drimys,granadensis,,,,L.f.,Least Concern,,3.1,Stable,Global
wfo-0000319728,206388024,206263477,Tabernaemontana attenuata,APOCYNACEAE,Tabernaemontana,attenuata,,,,(Miers) Urb.,Least Concern,,3.1,Decreasing,Global
wfo-0000136497,206388029,206263893,Piptocoma acuminata,ASTERACEAE,Piptocoma,acuminata,,,,(Kunth) Pruski,Least Concern,,3.1,Decreasing,Global
wfo-0000636710,206388044,206264766,Dacryodes belemensis,BURSERACEAE,Dacryodes,belemensis,,,,Cuatrec.,Least Concern,,3.1,Decreasing,Global
wfo-0000616305,206388054,206264952,Combretum frangulifolium,COMBRETACEAE,Combretum,frangulifolium,,,,Kunth,Least Concern,,3.1,Decreasing,Global
wfo-0000168359,206388079,206266693,Peltogyne floribunda,FABACEAE,Peltogyne,floribunda,,,,(Kunth) Pittier,Least Concern,,3.1,Decreasing,Global
wfo-0000720602,206388084,206266768,Hernandia guianensis,HERNANDIACEAE,Hernandia,guianensis,,,,Aubl.,Least Concern,,3.1,Stable,Global
wfo-0000576866,206388089,206266818,Byrsonima gymnocalycina,MALPIGHIACEAE,Byrsonima,gymnocalycina,,,,A.Juss.,Least Concern,,3.1,Decreasing,Global
wfo-0001082157,206388099,206266897,Miconia fragrans,MELASTOMATACEAE,Miconia,fragrans,,,,Cogn.,Least Concern,,3.1,Decreasing,Global
wfo-0000687601,206388104,206266921,Ficus brittonii,MORACEAE,Ficus,brittonii,,,,Bold.,Least Concern,,3.1,Decreasing,Global
wfo-0000689620,206388109,206267135,Ficus paludica,MORACEAE,Ficus,paludica,,,,Standl.,Least Concern,,3.1,Decreasing,Global
wfo-0000958357,206388119,206267222,Eugenia octopleura,MYRTACEAE,Eugenia,octopleura,,,,Krug & Urb.,Least Concern,,3.1,Decreasing,Global
wfo-0000283820,206388124,206267354,Pseudanamomis umbellulifera,MYRTACEAE,Pseudanamomis,umbellulifera,,,,(Kunth) Kause,Least Concern,,3.1,Decreasing,Global
wfo-0000717110,206388129,206267445,Heisteria coccinea,ERYTHROPALACEAE,Heisteria,coccinea,,,,Jacq.,Least Concern,,3.1,Unknown,Global
wfo-0000613075,206388134,206267499,Coccoloba cruegeri,POLYGONACEAE,Coccoloba,cruegeri,,,,Lindau,Least Concern,,3.1,Decreasing,Global
wfo-0000613178,206388139,206267566,Coccoloba latifolia,POLYGONACEAE,Coccoloba,latifolia,,,,Poir.,Least Concern,,3.1,Decreasing,Global
wfo-0000406412,206388144,206267886,Ruprechtia cruegeri,POLYGONACEAE,Ruprechtia,cruegeri,,,,Griseb. ex Lindau,Least Concern,,3.1,Decreasing,Global
wfo-0000608815,206388149,206267899,Clavija ornata,PRIMULACEAE,Clavija,ornata,,,,D.Don,Least Concern,,3.1,Decreasing,Global
wfo-0001417451,206388154,206267961,Guettarda roupalifolia,RUBIACEAE,Guettarda,roupalifolia,,,,Rusby,Least Concern,,3.1,Decreasing,Global
wfo-0000232373,206388164,206267984,Machaonia ottonis,RUBIACEAE,Machaonia,ottonis,,,,(K.Schum.) Urb.,Least Concern,,3.1,Decreasing,Global
wfo-0000532655,206388169,206268034,Amyris ignea,RUTACEAE,Amyris,ignea,,,,Steyerm.,Least Concern,,3.1,Decreasing,Global
wfo-0000924104,206388174,206268051,Casearia mollis,SALICACEAE,Casearia,mollis,,,,Kunth,Least Concern,,3.1,Decreasing,Global
wfo-0000282202,206388179,206268065,Pradosia beardii,SAPOTACEAE,Pradosia,beardii,,,,(Monach.) T.D.Penn.,Least Concern,,3.1,Decreasing,Global
wfo-0000164176,206388219,206369404,Swartzia xanthopetala,FABACEAE,Swartzia,xanthopetala,,,,Sandwith,Least Concern,,3.1,Decreasing,Global
wfo-0000172314,206539980,163331977,Dalbergia mayumbensis,FABACEAE,Dalbergia,mayumbensis,,,,Baker f.,Least Concern,,3.1,Unknown,Global
wfo-0000620071,206717006,135836999,Corchorus hirsutus,MALVACEAE,Corchorus,hirsutus,,,,L.,Least Concern,,3.1,Stable,Global
wfo-0000452202,206717415,131179230,Melochia pyramidata,MALVACEAE,Melochia,pyramidata,,,,L.,Least Concern,,3.1,Stable,Global
wfo-0000473779,206718059,144295201,Pavonia paludicola,MALVACEAE,Pavonia,paludicola,,,,Nicolson ex Fryxell,Least Concern,,3.1,Stable,Global
wfo-0001028736,206718405,150119210,Solanum jamaicense,SOLANACEAE,Solanum,jamaicense,,,,Mill.,Least Concern,,3.1,Stable,Global
