WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000652220,571763,151878,Disocactus eichlamii,CACTACEAE,Disocactus,eichlamii,,,,(Weing.) Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001288671,572095,151881,Mammillaria schumannii,CACTACEAE,Mammillaria,schumannii,,,,Hildm.,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0001287012,576736,151923,Pediocactus paradinei,CACTACEAE,Pediocactus,paradinei,,,,B.W.Benson,Endangered,B1ab(iv)c(iv),3.1,Decreasing,Global
wfo-0000614661,577267,151928,Coleocephalocereus goebelianus,CACTACEAE,Coleocephalocereus,goebelianus,,,,(Vaupel) Buining,Endangered,A2c,3.1,Decreasing,Global
wfo-0000651956,578020,151934,Discocactus ferricola,CACTACEAE,Discocactus,ferricola,,,,Buining & Brederoo,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global
wfo-0000439202,578806,151940,Schlumbergera orssichiana,CACTACEAE,Schlumbergera,orssichiana,,,,Barthlott & McMillan,Endangered,"B1ab(iii,v)",3.1,Unknown,Global
wfo-0001284283,580168,151951,Yavia cryptocarpa,CACTACEAE,Yavia,cryptocarpa,,,,R.Kiesling & Piltz,Endangered,B1ab(v),3.1,Unknown,Global
wfo-0001288326,580432,151953,Rebutia albipectinata,CACTACEAE,Rebutia,albipectinata,,,,Rausch,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000397806,584224,151987,Pfeiffera micrantha,CACTACEAE,Pfeiffera,micrantha,,,,(Vaupel) P.V.Heath,Endangered,"B1ab(i,iii)",3.1,Stable,Global
wfo-0000712350,586668,152008,Gymnocalycium amerhauseri,CACTACEAE,Gymnocalycium,amerhauseri,,,,H.Till,Endangered,D,3.1,Stable,Global
wfo-0001289107,590898,152046,Weberocereus trichophorus,CACTACEAE,Weberocereus,trichophorus,,,,H.Johnson & Kimnach,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000716169,591015,152047,Hatiora herminiae,CACTACEAE,Hatiora,herminiae,,,,(Porto &  A.Cast.) Backeb. ex Barthlott ,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0001288747,595315,152084,Mammillaria crucigera,CACTACEAE,Mammillaria,crucigera,,,,Mart.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000676152,597311,152101,Eriosyce umadeave,CACTACEAE,Eriosyce,umadeave,,,,(Werderm.) Katt.,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0001289776,597715,152105,Peniocereus lazaro-cardenasii,CACTACEAE,Peniocereus,lazaro-cardenasii,,,,"(J.L.Contr., J.Jiménez Ram., Sánchez-Mej. & C.A Toledo) D.R.Hunt ",Endangered,"B1ab(iii,v); C2a(i)",3.1,Decreasing,Global
wfo-0001256026,598553,152113,Parodia hausteiniana,CACTACEAE,Parodia,hausteiniana,,,,Rausch,Endangered,D,3.1,Decreasing,Global
wfo-0001255876,598906,152117,Mammillaria coahuilensis,CACTACEAE,Mammillaria,coahuilensis,,,,(Boed.) Moran,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001256004,599760,152124,Parodia allosiphon,CACTACEAE,Parodia,allosiphon,,,,(Marchesi) N.P.Taylor ,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000609320,600354,152129,Cleistocactus longiserpens,CACTACEAE,Cleistocactus,longiserpens,,,,Leuenb.,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000691737,601416,152137,Frailea fulviseta,CACTACEAE,Frailea,fulviseta,,,,Buining & Brederoo,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000712444,603300,152152,Gymnocalycium denudatum,CACTACEAE,Gymnocalycium,denudatum,,,,(Link & Otto) Pfeiff. ex Mittler,Endangered,A2ac,3.1,Decreasing,Global
