WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000516207,10847953,44074,Achyranthes atollensis,AMARANTHACEAE,Achyranthes,atollensis,,,,H.St.John,Extinct,,3.1,,Global
wfo-0000042970,10848934,44078,Argyroxiphium virescens,ASTERACEAE,Argyroxiphium,virescens,,,,Hillebr.,Extinct,,3.1,,Global
wfo-0000830867,10851418,44093,Cyanea cylindrocalyx,CAMPANULACEAE,Cyanea,cylindrocalyx,,,,"(Gaudich.) Lammers, Givnish & Sytsma",Extinct,,3.1,,Global
wfo-0000830852,10855528,44101,Cyanea comata,CAMPANULACEAE,Cyanea,comata,,,,Hillebr.,Extinct,,3.1,,Global
wfo-0000830419,10861706,44126,Clermontia multiflora,CAMPANULACEAE,Clermontia,multiflora,,,,Hillebr.,Extinct,,3.1,,Global
wfo-0000017512,10949148,44867,Psiadia schweinfurthii,ASTERACEAE,Psiadia,schweinfurthii,,,,Balf.f.,Extinct,,3.1,,Global
wfo-0000055131,10953225,44850,Pluchea glutinosa,ASTERACEAE,Pluchea,glutinosa,,,,Balf.f.,Extinct,,3.1,,Global
wfo-0000426293,10970572,45081,Valerianella affinis,CAPRIFOLIACEAE,Valerianella,affinis,,,,Balf.f.,Extinct,,3.1,,Global
wfo-0001124075,11068836,46603,Adiantum lianxianense,PTERIDACEAE,Adiantum,lianxianense,,,,Ching & Y.X.Ling in Y.X.Ling,Extinct,,3.1,,Global
wfo-0000185795,12533286,61652,Astragalus nitidiflorus,FABACEAE,Astragalus,nitidiflorus,,,,Jiménez Mun. & Pau,Extinct,,3.1,,Global
wfo-0000823898,12690047,63545,Begonia eiromischa,BEGONIACEAE,Begonia,eiromischa,,,,Ridl.,Extinct,,3.1,,Global
wfo-0000709998,18612385,13153154,Ornithogalum visianicum,ASPARAGACEAE,Ornithogalum,visianicum,,,,Tomm.,Extinct,,3.1,,Global & Mediterranean
wfo-0000960279,44787125,44786445,Eulophia stenopetala,ORCHIDACEAE,Eulophia,stenopetala,,,,Lindl.,Extinct,,3.1,,Global
wfo-0000567007,61481721,39087,Blutaparon rigidum,AMARANTHACEAE,Blutaparon,rigidum,,,,(B.L.Rob. & Greenm.) Mears,Extinct,,3.1,,Global
wfo-0000136626,61483979,61483949,Delilia inelegans,ASTERACEAE,Delilia,inelegans,,,,(Hook.f.) Kuntze,Extinct,,3.1,,Global
wfo-0000441648,61503079,61503076,Sicyos villosus,CUCURBITACEAE,Sicyos,villosus,,,,Hook.f.,Extinct,,3.1,,Global
wfo-0000358354,62798296,62798292,Lepidium obtusatum,BRASSICACEAE,Lepidium,obtusatum,,,,Kirk,Extinct,,3.1,,Global
wfo-0000366645,62798308,62798304,Logania depressa,LOGANIACEAE,Logania,depressa,,,,Hook.f.,Extinct,,3.1,,Global
wfo-0000368304,62798331,62798327,Myosotis laingii,BORAGINACEAE,Myosotis,laingii,,,,Cheeseman,Extinct,,3.1,,Global
wfo-0000436243,62798340,62798337,Stellaria elatinoides,CARYOPHYLLACEAE,Stellaria,elatinoides,,,,Hook.f.,Extinct,,3.1,,Global
wfo-0000413220,62798350,62798347,Trilepidea adamsii,LORANTHACEAE,Trilepidea,adamsii,,,,(Cheeseman) Tiegh.,Extinct,,3.1,,Global
wfo-0000228542,67371775,37854,Acalypha rubrinervis,EUPHORBIACEAE,Acalypha,rubrinervis,,,,Cronk,Extinct,,3.1,,Global
wfo-0001141182,67372085,30561,Trochetiopsis melanoxylon,MALVACEAE,Trochetiopsis,melanoxylon,,,,(Sol. ex Sims) Marais,Extinct,,3.1,,Global
wfo-0000380580,67372241,37598,Nesiota elliptica,RHAMNACEAE,Nesiota,elliptica,,,,(Roxb.) Hook.f.,Extinct,,3.1,,Global
wfo-0000718811,67379134,67379124,Heliotropium pannifolium,HELIOTROPIACEAE,Heliotropium,pannifolium,,,,Burch. ex Hemsl.,Extinct,,3.1,,Global
wfo-0000830954,78777410,78777379,Cyanea mauiensis,CAMPANULACEAE,Cyanea,mauiensis,,,,(Rock) Lammers,Extinct,,3.1,,Global
wfo-0000831457,79862750,34039,Delissea niihauensis,CAMPANULACEAE,Delissea,niihauensis,,,,H.St.John,Extinct,,3.1,,Global
wfo-0000831516,79863496,79862904,Delissea subcordata,CAMPANULACEAE,Delissea,subcordata,,,,Gaudich.,Extinct,,3.1,,Global
wfo-0000830872,83790763,44094,Cyanea dolichopoda,CAMPANULACEAE,Cyanea,dolichopoda,,,,Lammers & Lorence,Extinct,,3.1,,Global
wfo-0000830875,83790877,44096,Cyanea eleeleensis,CAMPANULACEAE,Cyanea,eleeleensis,,,,(H.St.John) Lammers,Extinct,,3.1,,Global
wfo-0000530106,83794603,44077,Amaranthus brownii,AMARANTHACEAE,Amaranthus,brownii,,,,Christoph. & Caum,Extinct,,3.1,,Global
wfo-0000253128,83804687,33562,Ochrosia kilaueaensis,APOCYNACEAE,Ochrosia,kilaueaensis,,,,H.St.John,Extinct,,3.1,,Global
wfo-0000298346,87708976,38690,Roystonea stellata,ARECACEAE,Roystonea,stellata,,,,León,Extinct,,3.1,,Global
wfo-0000974503,87739847,87583558,Angraecopsis dolabriformis,ORCHIDACEAE,Angraecopsis,dolabriformis,,,,(Rolfe) Schltr.,Extinct,,3.1,,Global
wfo-0000975186,87739867,87583728,Angraecum astroarche,ORCHIDACEAE,Angraecum,astroarche,,,,Ridl.,Extinct,,3.1,,Global
wfo-0000830934,91172324,91172297,Cyanea linearifolia,CAMPANULACEAE,Cyanea,linearifolia,,,,Rock,Extinct,,3.1,,Global
wfo-0000830959,91172534,91172490,Cyanea minutiflora,CAMPANULACEAE,Cyanea,minutiflora,,,,Lammers,Extinct,,3.1,,Global
wfo-0000830970,91172818,91172805,Cyanea parvifolia,CAMPANULACEAE,Cyanea,parvifolia,,,,"(C.N.Forbes) Lammers, Givnish & Sytsma",Extinct,,3.1,,Global
