taxonID,description,type,source,identifier,reference,license
wfo-0000392708,"Outside of flower dirty yellow to greenish-white with purplish brown blotches; inside yellow, brown-spotted, with white hairs",morphology,urn:kew.org:fwta:spec:desc:1995,urn:lsid:ipni.org:names:93791-1,,
wfo-0000392708,"Fruit with 6 rounded ridges, to 6 in. long.",morphology,urn:kew.org:fwta:spec:desc:1996,urn:lsid:ipni.org:names:93791-1,,
wfo-0001093593,Perianth pale-yellowish-green with black-bulbous-based hairs within.,morphology,urn:kew.org:fwta:spec:desc:1997,urn:lsid:ipni.org:names:93795-1,,
wfo-0001093597,Colour of outside of perianth not recorded; inside with white hairs.,morphology,urn:kew.org:fwta:spec:desc:1998,urn:lsid:ipni.org:names:93796-1,,
wfo-0000392709,"A woody climber, 25 ft. or more long",morphology,urn:kew.org:fwta:spec:desc:1999,urn:lsid:ipni.org:names:93797-1,,
wfo-0000392709,Pendulous cucumber-like fruits,morphology,urn:kew.org:fwta:spec:desc:2000,urn:lsid:ipni.org:names:93797-1,,
wfo-0000392709,"Perianth-lobes red-purple, tube paler.",morphology,urn:kew.org:fwta:spec:desc:2001,urn:lsid:ipni.org:names:93797-1,,
wfo-0001093606,"Stem twining, stout, assured",morphology,urn:kew.org:fwta:spec:desc:2002,urn:lsid:ipni.org:names:93798-1,,
wfo-0000302806,A shrub or tree up to 50 ft. high,morphology,urn:kew.org:fwta:spec:desc:2310,urn:lsid:ipni.org:names:861115-1,,
wfo-0000302806,Pneumatophores covering the ground round about but stilt roots absent,morphology,urn:kew.org:fwta:spec:desc:2311,urn:lsid:ipni.org:names:861115-1,,
wfo-0000302806,Flowers white with yellow centre,morphology,urn:kew.org:fwta:spec:desc:2312,urn:lsid:ipni.org:names:861115-1,,
wfo-0000730312,"Erect or ascending herb, 2 ft. high",morphology,urn:kew.org:fwta:spec:desc:2318,urn:lsid:ipni.org:names:374006-1,,
wfo-0000730312,"Flowers pink, with green spur veined with purple, throat orange.",morphology,urn:kew.org:fwta:spec:desc:2319,urn:lsid:ipni.org:names:374006-1,,
wfo-0001141858,"Prostrate herb, rooting at the nodes",morphology,urn:kew.org:fwta:spec:desc:2320,urn:lsid:ipni.org:names:103568-1,,
wfo-0001141858,Flowers pale rose.,morphology,urn:kew.org:fwta:spec:desc:2321,urn:lsid:ipni.org:names:103568-1,,
wfo-0000614607,"Whitish hairy, spreading from a woody base",morphology,urn:kew.org:fwta:spec:desc:2497,urn:lsid:ipni.org:names:113918-1,,
wfo-0000614607,Wrinkled leaves,morphology,urn:kew.org:fwta:spec:desc:2498,urn:lsid:ipni.org:names:113918-1,,
wfo-0000614607,Small scarlet or white flowers,morphology,urn:kew.org:fwta:spec:desc:2499,urn:lsid:ipni.org:names:113918-1,,
wfo-0000620224,A shrub or small tree up to 25 ft. high,morphology,urn:kew.org:fwta:spec:desc:2501,urn:lsid:ipni.org:names:113939-1,,
wfo-0000620224,Broad leaves strongly-nerved beneath,morphology,urn:kew.org:fwta:spec:desc:2502,urn:lsid:ipni.org:names:113939-1,,
wfo-0000620224,Conspicuous funnel-shaped white flowers in paniculate cymes,morphology,urn:kew.org:fwta:spec:desc:2503,urn:lsid:ipni.org:names:113939-1,,
wfo-0000620224,Yellow succulent fruits 1/3-1/2 in. in diam.,morphology,urn:kew.org:fwta:spec:desc:2504,urn:lsid:ipni.org:names:113939-1,,
wfo-0000620224,Often planted.,morphology,urn:kew.org:fwta:spec:desc:2505,urn:lsid:ipni.org:names:113939-1,,
wfo-0000620261,"A shrub or small tree 16-26 ft. high, brownish-velvety on the young parts",morphology,urn:kew.org:fwta:spec:desc:2506,urn:lsid:ipni.org:names:113969-1,,
wfo-0000620261,"Orange-yellow flowers, 3/4 in. long in terminal cymes.",morphology,urn:kew.org:fwta:spec:desc:2507,urn:lsid:ipni.org:names:113969-1,,
wfo-0000620742,A large forest tree pale brownish-tomentose on the young parts,morphology,urn:kew.org:fwta:spec:desc:2511,urn:lsid:ipni.org:names:114357-1,,
wfo-0000620742,"Flowers yellowish 1/2 in. long, crowded in cymes",morphology,urn:kew.org:fwta:spec:desc:2512,urn:lsid:ipni.org:names:114357-1,,
wfo-0000212011,A small branching tree,morphology,urn:kew.org:fwta:spec:desc:2680,urn:lsid:ipni.org:names:474599-1,,
wfo-0000212011,Long narrow finely brownish-puberulous pendulous inflorescences of white flowers.,morphology,urn:kew.org:fwta:spec:desc:2681,urn:lsid:ipni.org:names:474599-1,,
wfo-0000212042,Shrub or small tree,morphology,urn:kew.org:fwta:spec:desc:2682,urn:lsid:ipni.org:names:474600-1,,
wfo-0000212071,Scandent shrub or small tree to 25 ft. high.,morphology,urn:kew.org:fwta:spec:desc:2684,urn:lsid:ipni.org:names:474601-1,,
wfo-0001093606,Inflorescence with a thickly wooded base,morphology,urn:kew.org:fwta:spec:desc:2003,urn:lsid:ipni.org:names:93798-1,,
wfo-0001093606,"Flowers yellowish-white, lobes reddish-purple with white streaks.",morphology,urn:kew.org:fwta:spec:desc:2004,urn:lsid:ipni.org:names:93798-1,,
wfo-0000392731,"Forest liane, to 30 ft. high, stems rough",morphology,urn:kew.org:fwta:spec:desc:2005,urn:lsid:ipni.org:names:93799-1,,
wfo-0000392731,"Perianth tube pale brown outside, lobes deep purple-brown with many small white spots, and white hairs; white within with long hairs",morphology,urn:kew.org:fwta:spec:desc:2006,urn:lsid:ipni.org:names:93799-1,,
wfo-0000392731,Fruit green.,morphology,urn:kew.org:fwta:spec:desc:2007,urn:lsid:ipni.org:names:93799-1,,
wfo-0000537383,A strong climber,morphology,urn:kew.org:fwta:spec:desc:2008,urn:lsid:ipni.org:names:93986-1,,
wfo-0000537383,Greenish flowers in globose lateral umbelliform cymes,morphology,urn:kew.org:fwta:spec:desc:2009,urn:lsid:ipni.org:names:93986-1,,
wfo-0000537383,"Horizontally opposed follicles 6-8 in. long  about 1/2 in. thick, tapering to a slightly hooked point at the apex.",morphology,urn:kew.org:fwta:spec:desc:2010,urn:lsid:ipni.org:names:93986-1,,
wfo-0000551246,"An erect, shrubby herb up to 5 ft. high",morphology,urn:kew.org:fwta:spec:desc:2011,urn:lsid:ipni.org:names:94213-1,,
wfo-0000551246,Umbelliform inflorescences of flowers  scarlet reflexed corolla-lobes and yellow corona.,morphology,urn:kew.org:fwta:spec:desc:2012,urn:lsid:ipni.org:names:94213-1,,
wfo-0000552289,Erect herb from a woody base,morphology,urn:kew.org:fwta:spec:desc:2013,urn:lsid:ipni.org:names:94763-1,,
wfo-0000552315,Similar to the last (Aspidoglossum angustissimum),morphology,urn:kew.org:fwta:spec:desc:2015,urn:lsid:ipni.org:names:94769-1,,
wfo-0000552315,Flowers dull purplish,morphology,urn:kew.org:fwta:spec:desc:2016,urn:lsid:ipni.org:names:94769-1,,
wfo-0000570515,"A precocious erect geophytic herb of savanna grassland, about 18 in. high",morphology,urn:kew.org:fwta:spec:desc:2018,urn:lsid:ipni.org:names:95046-1,,
wfo-0000570515,The purple flowers with long spidery corolla-lobes beset with vibratile purple hairs.,morphology,urn:kew.org:fwta:spec:desc:2019,urn:lsid:ipni.org:names:95046-1,,
wfo-0000570590,"A perennial herb up to 1 ft. high, from a fleshy disciform tuber",morphology,urn:kew.org:fwta:spec:desc:2020,urn:lsid:ipni.org:names:95098-1,,
wfo-0000570590,Purple flowers.,morphology,urn:kew.org:fwta:spec:desc:2021,urn:lsid:ipni.org:names:95098-1,,
wfo-0000586136,An erect sparsely branched succulent herb,morphology,urn:kew.org:fwta:spec:desc:2030,urn:lsid:ipni.org:names:95238-1,,
wfo-0000586136,Green stems,morphology,urn:kew.org:fwta:spec:desc:2031,urn:lsid:ipni.org:names:95238-1,,
wfo-0000586136,Scattered dark reddish-purple star-like flowers.,morphology,urn:kew.org:fwta:spec:desc:2032,urn:lsid:ipni.org:names:95238-1,,
wfo-0000586137,A slender much-branched succulent,morphology,urn:kew.org:fwta:spec:desc:2033,urn:lsid:ipni.org:names:95239-1,,
wfo-0000586137,The stems decurved and rooting freely in contact with the soil,morphology,urn:kew.org:fwta:spec:desc:2034,urn:lsid:ipni.org:names:95239-1,,
wfo-0000586137,"Flowers blackish-purple, frosted with minute white papillae.",morphology,urn:kew.org:fwta:spec:desc:2035,urn:lsid:ipni.org:names:95239-1,,
wfo-0000586262,A succulent,morphology,urn:kew.org:fwta:spec:desc:2036,urn:lsid:ipni.org:names:95318-1,,
