taxonID,description,type,source,identifier,reference,license
wfo-0000533072,The Cashew tree,vernacular,urn:kew.org:fwta:spec:desc:968,urn:lsid:ipni.org:names:319068-2,,
wfo-0000371248,The Common Mango,vernacular,urn:kew.org:fwta:spec:desc:1032,urn:lsid:ipni.org:names:69913-1,,
wfo-0000435461,"Creole name, “English Plum”.",vernacular,urn:kew.org:fwta:spec:desc:1092,urn:lsid:ipni.org:names:71452-1,,
wfo-0000435489,"Creole name, “Gambia Plum”",vernacular,urn:kew.org:fwta:spec:desc:1099,urn:lsid:ipni.org:names:71494-1,,
wfo-0000273956,Water lettuce.,vernacular,urn:kew.org:fwta:spec:desc:1908,urn:lsid:ipni.org:names:317684-2,,
wfo-0000778884,The Sausage Tree,vernacular,urn:kew.org:fwta:spec:desc:2439,urn:lsid:ipni.org:names:109874-1,,
wfo-0000164694,Alexandrian Senna.,vernacular,urn:kew.org:fwta:spec:desc:2822,urn:lsid:ipni.org:names:485206-1,,
wfo-0000584001,"The Common, European or Indian Hemp.",vernacular,urn:kew.org:fwta:spec:desc:3131,urn:lsid:ipni.org:names:306087-2,,
wfo-0001297246,The sweet potato.,vernacular,urn:kew.org:fwta:spec:desc:5338,urn:lsid:ipni.org:names:1101088-2,,
wfo-0000361549,"The Calabash, Bottle-Gourd or White Pumpkin.",vernacular,urn:kew.org:fwta:spec:desc:5557,urn:lsid:ipni.org:names:134809-2,,
wfo-0000358882,The Loofah Gourd,vernacular,urn:kew.org:fwta:spec:desc:5558,urn:lsid:ipni.org:names:293060-1,,
wfo-0000925647,The Niger Plum.,vernacular,urn:kew.org:fwta:spec:desc:7850,urn:lsid:ipni.org:names:111647-1,,
wfo-0000253342,The Tea Bush.,vernacular,urn:kew.org:fwta:spec:desc:9704,urn:lsid:ipni.org:names:452969-1,,
wfo-0000165372,The “Sensitive Plant”,vernacular,urn:kew.org:fwta:spec:desc:11811,urn:lsid:ipni.org:names:313242-2,,
wfo-0000358699,The Common Cress.,vernacular,urn:kew.org:fwta:spec:desc:12220,urn:lsid:ipni.org:names:138141-2,,
wfo-0000398907,The Common Watercress,vernacular,urn:kew.org:fwta:spec:desc:12225,urn:lsid:ipni.org:names:288779-1,,
wfo-0000550459,The Bread-fruit.,vernacular,urn:kew.org:fwta:spec:desc:11912,urn:lsid:ipni.org:names:582611-1,,
wfo-0000550491,The Jack-fruit.,vernacular,urn:kew.org:fwta:spec:desc:11913,urn:lsid:ipni.org:names:850389-1,,
wfo-0000687690,The edible fig.,vernacular,urn:kew.org:fwta:spec:desc:12005,urn:lsid:ipni.org:names:852556-1,,
wfo-0000557405,The Carambola,vernacular,urn:kew.org:fwta:spec:desc:13507,urn:lsid:ipni.org:names:371870-1,,
wfo-0000903570,The Coconut,vernacular,urn:kew.org:fwta:spec:desc:13545,urn:lsid:ipni.org:names:666160-1,,
wfo-0000947985,The African Oil Palm,vernacular,urn:kew.org:fwta:spec:desc:13547,urn:lsid:ipni.org:names:666802-1,,
wfo-0000269752,The Date palm,vernacular,urn:kew.org:fwta:spec:desc:13568,urn:lsid:ipni.org:names:668912-1,,
wfo-0000294908,The common Wine Palm,vernacular,urn:kew.org:fwta:spec:desc:13578,urn:lsid:ipni.org:names:669512-1,,
wfo-0000727580,Screw-pine.,vernacular,urn:kew.org:fwta:spec:desc:13618,urn:lsid:ipni.org:names:670807-1,,
wfo-0000199336,The Yoruba Indigo.,vernacular,urn:kew.org:fwta:spec:desc:14376,urn:lsid:ipni.org:names:502930-1,,
wfo-0000183263,The Lima bean.,vernacular,urn:kew.org:fwta:spec:desc:14527,urn:lsid:ipni.org:names:513918-1,,
wfo-0000172791,The Camwood.,vernacular,urn:kew.org:fwta:spec:desc:14568,urn:lsid:ipni.org:names:516532-1,,
wfo-0000497088,Beniseed.,vernacular,urn:kew.org:fwta:spec:desc:14935,urn:lsid:ipni.org:names:675971-1,,
wfo-0000537314,"Monkey Apple. Apple.""",vernacular,urn:kew.org:fwta:spec:desc:15469,urn:lsid:ipni.org:names:719485-1,,
wfo-0000603186,Satinwood.,vernacular,urn:kew.org:fwta:spec:desc:17351,urn:lsid:ipni.org:names:577966-1,,
wfo-0000492946,Sandalwood,vernacular,urn:kew.org:fwta:spec:desc:17477,urn:lsid:ipni.org:names:780592-1,,
wfo-0000854556,Star Apple,vernacular,urn:kew.org:fwta:spec:desc:17767,urn:lsid:ipni.org:names:304384-2,,
wfo-0000318142,"the ""Miraculous Berry"".",vernacular,urn:kew.org:fwta:spec:desc:17844,urn:lsid:ipni.org:names:789924-1,,
