taxonID,description,type,source,identifier,reference,license
wfo-0000513837,In wet forests.,ecology,urn:kew.org:fwta:spec:desc:4,urn:lsid:ipni.org:names:44868-1,,
wfo-0000513865,In high forest.,ecology,urn:kew.org:fwta:spec:desc:7,urn:lsid:ipni.org:names:44894-1,,
wfo-0000520470,In lowland rain forest.,ecology,urn:kew.org:fwta:spec:desc:16,urn:lsid:ipni.org:names:44996-1,,
wfo-0000520514,In undergrowth of forest.,ecology,urn:kew.org:fwta:spec:desc:19,urn:lsid:ipni.org:names:45034-1,,
wfo-0000520576,In rain forest.,ecology,urn:kew.org:fwta:spec:desc:30,urn:lsid:ipni.org:names:45098-1,,
wfo-0000537480,In wet ground by streams.,ecology,urn:kew.org:fwta:spec:desc:39,urn:lsid:ipni.org:names:45336-1,,
wfo-0000555187,In swampy areas of rain forest.,ecology,urn:kew.org:fwta:spec:desc:48,urn:lsid:ipni.org:names:45733-1,,
wfo-0000560193,In dry savanna.,ecology,urn:kew.org:fwta:spec:desc:66,urn:lsid:ipni.org:names:45876-1,,
wfo-0000560542,In riverine forest in savanna country.,ecology,urn:kew.org:fwta:spec:desc:87,urn:lsid:ipni.org:names:46191-1,,
wfo-0000566639,In savanna.,ecology,urn:kew.org:fwta:spec:desc:91,urn:lsid:ipni.org:names:46521-1,,
wfo-0000566686,"A weed of roadsides, waste places and forest margins in savanna.",ecology,urn:kew.org:fwta:spec:desc:98,urn:lsid:ipni.org:names:46553-1,,
wfo-0000572256,In damp shady places.,ecology,urn:kew.org:fwta:spec:desc:105,urn:lsid:ipni.org:names:46664-1,,
wfo-0000603018,Wet places in high forest.,ecology,urn:kew.org:fwta:spec:desc:120,urn:lsid:ipni.org:names:46924-1,,
wfo-0000626314,Moist places in forest.,ecology,urn:kew.org:fwta:spec:desc:122,urn:lsid:ipni.org:names:46994-1,,
wfo-0000626329,Wet places in forest.,ecology,urn:kew.org:fwta:spec:desc:126,urn:lsid:ipni.org:names:47004-1,,
wfo-0000626370,On wet rocks in moist forest.,ecology,urn:kew.org:fwta:spec:desc:133,urn:lsid:ipni.org:names:47027-1,,
wfo-0000645739,"In savanna, flowering after fires.",ecology,urn:kew.org:fwta:spec:desc:148,urn:lsid:ipni.org:names:47440-1,,
wfo-0000645907,A typical highland species.,ecology,urn:kew.org:fwta:spec:desc:158,urn:lsid:ipni.org:names:47579-1,,
wfo-0000666736,"Only Known From Under Coconut Palms Near The Coast Where This Plant Forms Large Patches In The Almost Bare Sand known from under coconut palms near the coast where this plant forms large patches in the almost bare sand"" (Morton l.c. 57).",ecology,urn:kew.org:fwta:spec:desc:183,urn:lsid:ipni.org:names:48663-1,,
wfo-0000690956,In deep shade in forest.,ecology,urn:kew.org:fwta:spec:desc:192,urn:lsid:ipni.org:names:48981-1,,
wfo-0000726764,In marshy places and rice fields.,ecology,urn:kew.org:fwta:spec:desc:213,urn:lsid:ipni.org:names:49650-1,,
wfo-0000726769,In marshy grassland.,ecology,urn:kew.org:fwta:spec:desc:217,urn:lsid:ipni.org:names:49657-1,,
wfo-0000726771,Amongst grass in swamps.,ecology,urn:kew.org:fwta:spec:desc:220,urn:lsid:ipni.org:names:49661-1,,
wfo-0000726812,Beside streams.,ecology,urn:kew.org:fwta:spec:desc:224,urn:lsid:ipni.org:names:49713-1,,
wfo-0000726868,In temporarily dry river beds and marshy places.,ecology,urn:kew.org:fwta:spec:desc:237,urn:lsid:ipni.org:names:49789-1,,
wfo-0000764677,In seasonally flooded places in forest.,ecology,urn:kew.org:fwta:spec:desc:750,urn:lsid:ipni.org:names:64057-1,,
wfo-0000647332,In forest.,ecology,urn:kew.org:fwta:spec:desc:756,urn:lsid:ipni.org:names:64712-1,,
wfo-0001050795,In forest.,ecology,urn:kew.org:fwta:spec:desc:1083,urn:lsid:ipni.org:names:71401-1,,
wfo-0000728575,In montane forest.,ecology,urn:kew.org:fwta:spec:desc:247,urn:lsid:ipni.org:names:49871-1,,
wfo-0000728672,In montane forest.,ecology,urn:kew.org:fwta:spec:desc:255,urn:lsid:ipni.org:names:50026-1,,
wfo-0000728677,In open places in various habitats.,ecology,urn:kew.org:fwta:spec:desc:257,urn:lsid:ipni.org:names:50037-1,,
wfo-0001231860,In hilly savanna.,ecology,urn:kew.org:fwta:spec:desc:277,urn:lsid:ipni.org:names:50834-1,,
wfo-0001045203,In forest.,ecology,urn:kew.org:fwta:spec:desc:304,urn:lsid:ipni.org:names:51921-1,,
wfo-0000361050,Growth forms much affected by grassland-burning and other ecological factors.,ecology,urn:kew.org:fwta:spec:desc:321,urn:lsid:ipni.org:names:51984-1,,
wfo-0000370998,In savanna and fields.,ecology,urn:kew.org:fwta:spec:desc:348,urn:lsid:ipni.org:names:52491-1,,
wfo-0000371045,In wet grassland.,ecology,urn:kew.org:fwta:spec:desc:351,urn:lsid:ipni.org:names:52497-1,,
wfo-0000371063,"In fissures of sandstone rocks of high plateaux, etc.",ecology,urn:kew.org:fwta:spec:desc:354,urn:lsid:ipni.org:names:52521-1,,
wfo-0001244902,In rain forest.,ecology,urn:kew.org:fwta:spec:desc:426,urn:lsid:ipni.org:names:55303-1,,
wfo-0001244441,In forest.,ecology,urn:kew.org:fwta:spec:desc:452,urn:lsid:ipni.org:names:56412-1,,
wfo-0001107183,"Clumps in drier parts of mangrove swamps and on riverside and mudflats near the coast, rarely inland.",ecology,urn:kew.org:fwta:spec:desc:466,urn:lsid:ipni.org:names:319061-2,,
wfo-0001119461,"On ground in shade in forest; below 1, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:469,urn:lsid:ipni.org:names:17009490-1,,
wfo-0001107912,"Weed in roadside ditches, etc.",ecology,urn:kew.org:fwta:spec:desc:470,urn:lsid:ipni.org:names:17010830-1,,
wfo-0001120082,"Rocky places, in shade, 2, 500 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:471,urn:lsid:ipni.org:names:17011800-1,,
wfo-0001110777,"Weed in cultivated ground and on walls, sometimes on rocks, in damp shaded spots; up to 4, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:472,urn:lsid:ipni.org:names:325052-2,,
wfo-0001110778,"In montane forest; 7, 000 to 9, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:473,urn:lsid:ipni.org:names:17012320-1,,
wfo-0001232076,"Sides of gullies in shade; up to 4, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:474,urn:lsid:ipni.org:names:17012950-1,,
wfo-0001107908,"Among rocks in forest; below 1, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:475,urn:lsid:ipni.org:names:17013080-1,,
wfo-0001111533,"Forests, usually secondary, in shade, especially on banks of rivers and as a weed in cocoa plantations; up to 1, 200 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:476,urn:lsid:ipni.org:names:17013810-1,,
wfo-0001119897,Terrestrial near rocks in relatively dry areas.,ecology,urn:kew.org:fwta:spec:desc:478,urn:lsid:ipni.org:names:17370840-1,,
wfo-0001107456,"In shallow water in lakes and streams and brackish water, floating or rooting in mud; up to 1, 500 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:479,urn:lsid:ipni.org:names:60463-3,,
wfo-0001107933,"Crevices in rocks; 3, 000 to 10, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:480,urn:lsid:ipni.org:names:17065840-1,,
wfo-0001111537,"Terrestrial, by rocky streams in forest; 800 to 4, 300 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:481,urn:lsid:ipni.org:names:17281430-1,,
wfo-0001107948,"Terrestrial, near rocks, often in rather dry secondary forest at elevations up to 3, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:482,urn:lsid:ipni.org:names:17389430-1,,
wfo-0001110142,"On rocky ground, in drier parts of the forest regions and woodland; 150 to 2, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:485,urn:lsid:ipni.org:names:17170840-1,,
wfo-0001107989,"Among lava rocks; 5, 000 to 8, 100 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:486,urn:lsid:ipni.org:names:17171590-1,,
wfo-0001281969,In rock crevices in open sunny places.,ecology,urn:kew.org:fwta:spec:desc:487,urn:lsid:ipni.org:names:17171710-1,,
wfo-0001107385,"On bare earth in roadside cuttings, or cleared ground, up to 4, 400 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:488,urn:lsid:ipni.org:names:17345640-1,,
wfo-0001111544,On ground in forest; at low elevations.,ecology,urn:kew.org:fwta:spec:desc:489,urn:lsid:ipni.org:names:17415240-1,,
wfo-0001119580,In forest in shady places including Cacao plantations.,ecology,urn:kew.org:fwta:spec:desc:490,urn:lsid:ipni.org:names:17210890-1,,
wfo-0001120080,In forest.,ecology,urn:kew.org:fwta:spec:desc:491,urn:lsid:ipni.org:names:17289300-1,,
wfo-0001111548,"By streams in forest, also in Cacao plantations.",ecology,urn:kew.org:fwta:spec:desc:492,urn:lsid:ipni.org:names:17211350-1,,
wfo-0001107831,"On ground in forest; up to 3, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:493,urn:lsid:ipni.org:names:17211400-1,,
wfo-0001107836,"In open woods, at about 4, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:494,urn:lsid:ipni.org:names:17212110-1,,
wfo-0001276196,"On ground, in shade; 3, 500 to 5, 200 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:495,urn:lsid:ipni.org:names:17260880-1,,
wfo-0001111552,By streams or in swamp forest; at low elevations.,ecology,urn:kew.org:fwta:spec:desc:498,urn:lsid:ipni.org:names:17289510-1,,
wfo-0001107862,"Terrestrial in forest; 3, 000 to 8, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:501,urn:lsid:ipni.org:names:17415710-1,,
wfo-0001111553,"In marshes and in fringing forest, especially near streams.",ecology,urn:kew.org:fwta:spec:desc:502,urn:lsid:ipni.org:names:17216550-1,,
wfo-0001111555,"On rooks and ground on margin of forest; 1, 000 to 7, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:503,urn:lsid:ipni.org:names:17289640-1,,
wfo-0000765655,In forest.,ecology,urn:kew.org:fwta:spec:desc:508,urn:lsid:ipni.org:names:57071-1,,
