WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000520275,ecology,EN,"Edge of evergreen forests, open grassy Pine-forests.",T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520275,Forest Herbarium,All rights reserved,"Adenosma caerulea. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 147. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01081,5,2
wfo-0000520282,ecology,EN,Open grasslands; at 1300 m altitude.,T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520282,Forest Herbarium,All rights reserved,"Adenosma debilis . Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01084,5,2
wfo-0000520284,ecology,EN,Open grassy grounds.,T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520284,Forest Herbarium,All rights reserved,"Adenosma elshollzioides. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01086,5,2
wfo-0000520291,ecology,EN,In savanna; up to 100 m altitude.,T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520291,Forest Herbarium,All rights reserved,"Adenosma hirsuta. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 148. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01082,5,2
wfo-0000520292,ecology,EN,"In rice-fields, open deciduous forests, open shady grassy ground; sea-level and up to 1200 in altitude.",T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520292,Forest Herbarium,All rights reserved,"Adenosma indiana. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 150. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01083,5,2
wfo-0000520294,ecology,EN,"Damp places in evergreen forests, on banks or rocks along streams; up to 200 m altitude.",T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520294,Forest Herbarium,All rights reserved,"Adenosma javanica. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 152. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01087,5,2
wfo-0000520298,ecology,EN,Open grass-land; altitudes between 500–1200 m.,T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520298,Forest Herbarium,All rights reserved,"Adenosma microcephala. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01085,5,2
wfo-0001138540,ecology,EN,"Open pine forests, grassy fields on mountain slopes, grassy vegetation along roads; at altitudes of 1000–1700 m.",T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001138540,Forest Herbarium,All rights reserved,"Alectra avensis. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 222. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01189,5,2
wfo-0000536492,ecology,EN,Cultivated as an ornamental in gardens. ,T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000536492,Forest Herbarium,All rights reserved,"Angelonia goyazensis. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 217. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01180,5,2
wfo-0000549895,ecology,EN,"Swampy areas, edge of rice-fields, sandy wet soils in scrub; up to 400 m altitude.",T. Yamazaki,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000549895,Forest Herbarium,All rights reserved,"Artanema longifolium. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 176. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01123,5,2
