wfo-0000547501,Aristolochia acuminata Lam.,Encycl. 1: 254. 1783.
wfo-0000547854,Aristolochia griffithii Hook.f. & Thomson ex Duch.,Prodr. 15(1): 437. 1864. 
wfo-0000548101,Aristolochia nakaoi F.Maek.,Acta Phytotax. Geobot. 15(6): 173. 1954.
wfo-0000548211,Aristolochia platanifolia (Klotzsch) Duch.,Prodr. 15(1): 437. 1864. 
wfo-0000548243,Aristolochia punjabensis Lace,Bull. Misc. Inform. Kew 1911: 273. 1911. 
wfo-0000548292,Aristolochia saccata Wall.,Pl. Asiat. Rar. 2: 2. pl 103. 1830.
wfo-0000550862,Asarum himalaicum Hook.f. & Thomson ex Klotzsch,Monatsber. Königl. Preuss. Akad. Wiss. Berlin 1: 585. 1859.
wfo-0000724865,Horsfieldia kingii (Hook.f.) Warb.,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 68: 308. 1897. 
wfo-0001285885,Knema tenuinervia W.J de Wilde,Blumea 25(2): 405. 1979.
wfo-0000233034,Magnolia campbellii Hook.f. & Thomson,Fl. Brit. India 1: 41. 1872.
wfo-0000233054,Magnolia champaca (L.) Baill. ex Pierre,Fl. Forest. Cochinch. 1: t. 3. 1880.
wfo-0000464769,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 21. 2000.
wfo-0000233165,Magnolia globosa Hook.f. & Thomson,Fl. Ind. 1: 77. 1855.
wfo-0000233202,Magnolia hodgsonii (Hook.f. & Thomson) H.Keng,Gard. Bull. Singapore 31(2): 129. 1978.
wfo-0000233214,Magnolia insignis Wall.,"Tent. Fl. Napal. 1: 3, pl. 1. 1824."
wfo-0000464882,Magnolia kisopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 22. 2000. 
wfo-0000464912,Magnolia lanuginosa (Wall.) Figlar & Noot.,Blumea 49(1): 96. 2004. 
wfo-0000242782,Michelia lanuginosa Wall.,
 wfo-0000233354,Magnolia pterocarpa Roxb.,Pl. Coromandel 3: 62. 1820.
wfo-0000527383,Alphonsea ventricosa (Roxb.) Hook.f. & Thomson,Fl. Ind. 1: 152. 1855. 
wfo-0000549776,Artabotrys hexapetalus (L.f.) Bhandari,Baileya 12(4): 149. 1965.
wfo-0000642348,Desmos chinensis Lour.,Fl. Cochinch. 1: 352. 1790.
wfo-0000691125,Fissistigma bicolor (Roxb) Merr.,Philipp. J. Sci. 15: 131. 1919.
wfo-0001336655,Miliusa dioeca (Roxb.) Chaowasku & Kessler,Willdenowia 43: 104. 2013.
wfo-0000372967,Miliusa macrocarpa Hook.f. & Thomson,Fl. Ind. 1(2): 150. 1855.
wfo-0000372954,Miliusa tomentosa (Roxb.) J.Sinclair,Gard. Bull. Singapore 14: 378. 1955.
wfo-0000372950,Miliusa velutina (Dunal) Hook.f. & Thomson,Fl. Ind. 1. 151. 1855.
wfo-0001066143,Polyalthia suberosa (Roxb.) Thwaites,Enum. Pl. Zeyl. 398. 1864.
wfo-0001066584,Uvaria hamiltonii Hook.f. & Thomson,Fl. Ind. 1: 96. 1855. 
wfo-0000519390,Actinodaphne angustifolia (Blume) Nees,Pl. Asiat. Rar. 3: 31. 1832.
wfo-0000519474,Actinodaphne longipes Kosterm.,Reinwardtia 9: 98. 1974.
wfo-0000519504,Actinodaphne obovata (Nees) Blume,Mus. Bot. 1(22): 342. 1851. 
wfo-0000519529,Actinodaphne reticulata Meisn.,Prodr. 15(1): 212. 1864.
wfo-0000519548,Actinodaphne sikkimensis Meisn.,Prodr. 15(1): 213. 1864.
wfo-0000561970,Beilschmiedia lucidula (Miq.) Kosterm.,Reinwardtia 8: 23. 1970.
wfo-0001070351,Beilschmiedia roxburghiana Nees,Pl. Asiat. Rar. 2: 69. 1831.
