WFO_ID,Uses,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000630822.,"Medicine (wood, leaves), Timber, Fuelwood, Incense.",Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000735441,"Medicine (leaves, fruit), Essential oil (leaves), Incense.",Juniperus communis var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54 (1788).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000355744,"Medicine (leaves), Essential oil (leaves), Fuelwood, Incense.",Juniperus indica Bertol.,Misc. Bot. 23: 16 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354978,"Use(s): Medicine (leaves), Incense and Essential oil (leaves).",Juniperus recurva Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 55 (1825).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354918,"Medicine (leaves), Fuelwood, Incense.",Juniperus squamata Buch.-Ham. ex D.Don,Descr. Pinus 2: 17 (1824). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000408632,"Medicine (wood), Fuelwood, Incense.",Taxus contorta Griff.,Itin. Pl. Khasyah Mts. 351 (1848).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000459404,"Use(s): Medicine, Rituals.",Taxus mairei (Lemée & H.Lév.) S.Y.Hu,Illustr. Native & Introd. Lign. Pl. Taiwan 1: 16 (1960). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000409081,"Medicine (stem bark, leaves, fruit), Food (fruit), Timber, Fuelwood.",Taxus wallichiana Zucc.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 3: 803 (1843). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000683330,"Medicine (leaves, flower, seeds), Rituals.",Euryale ferox Salisb.,Ann. Bot. 2: 74. 1805.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200024889,"Medicine (rhizome, flower, seeds).",Nymphaea nouchali N.L.Burm.,Fl. Ind. 120. 1768.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000737412,"Medicine (root, flower, seeds), Rituals, Ornamental.",Nymphaea nouchali var. versicolor (Sims) R.Ansari & Jeeja,Waterlilies India 56. 2009. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000382124,"Medicine (seeds), Rituals, Ornamental.",Nymphaea pubescens Willd.,Sp. Pl. 2: 1154. 1799.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001086849,"Medicine (root, flower).",Nymphaea rubra Roxb. ex Salisb.,"Parad. Lond. 1. sub t. 14. 1805,",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000380763,"Rituals, Ornamental.",Nymphaea tetragona Georgi,Bemerk. Reise Russ. Reich 1: 220. 1775.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000357309,"Medicine (essential oil), Food (fruit).",Kadsura heteroclita (Roxb.) Craib,Fl. Siam. 28. 1925.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495107,Food (fruit).,Schisandra grandiflora (Wall.) Hook.f. & Thomson,Fl. Brit. India. 1: 44. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495135,"Medicine (stem, fruit).",Schisandra neglecta A.C.Sm.,Sargentia 7: 127. 1947.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495084,Medicine (root).,Schisandra propinqua (Wall.) Baill.,Fl. Brit. India 1: 45. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000725055,"Medicine (whole plant), Food (tender shoot, leaves).",Houttuynia cordata Thunb.,"Kongl. Vetensk. Acad. Nya Handl. 4: 149, pl. 5. 1783. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094052,Medicine (whole plant).,Peperomia heyneana Miq.,Syst. Piperac. 123. 1843.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000477971,"Food (shoot, young leaves).",Peperomia pellucida (L.) Kunth,Nov. Gen. 1: 64. 1816.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000479217,: Medicine (whole plant).,Peperomia tetraphylla Hook. & Arn.,Bot. Beechey Voy. 97. 1832.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094092,Medicine (root).,Piper boehmeriifolium (Miq.) Wall. ex C.DC.,Prodr. 16(1): 348. 1869. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486013,"Medicine and Food (root, fruit).",Piper longum L.,Sp. Pl. 1: 29. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
