WFOID,Vernacular_name,LocalID,scientificName,transliteration,Devnagari (preeti),Devnagari (unicode),Language,countryCode,rights,license,bibliographicCitation,compiler
wfo-0000481612,Gobre salla (गोब्रे सल्ला),NEP00034,Pinus wallichiana A.B.Jacks.,Gobre salla,uf]a|] ;Nnf,गोब्रे सल्ला,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000456385,Thingre salla (ठिङ्ग्रे सल्ला),NEP00038,Tsuga dumosa (D.Don) Eichler,Thingre salla,l7ª\u|] ;Nnf,ठिङ्ग्रे सल्ला,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000485162,"Gunsi, Kathe sallo (गुन्सी, काठे सल्ला)",NEP00041,Podocarpus neriifolius D.Don,"Gunsi, Kathe sallo","u'G;L, sf7] ;Nnf","गुन्सी, काठे सल्ला",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001301527,"Kathe dhupi, Raj salla (काठे धुपी, राज सल्ला)",NEP00042,Cupressus torulosa D.Don ex Lamb.,"Kathe dhupi, Raj salla","sf7] w'kL, /fh ;Nnf","काठे धुपी, राज सल्ला",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000735441,Dhupi (धुपी),NEP00049,Juniperus communis L. var. saxatilis Pall.,Dhupi,w'kL,धुपी,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001428098,Dhupi (धुपी),NEP00051,Juniperus indica Bertol. var. indica,Dhupi,w'kL,धुपी,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354978,"Dhupi, Bhairung dhupi (धुपी, भैरुँग धुपी)",NEP00054,Juniperus recurva Buch.-Ham. ex D.Don,"Dhupi, Bhairung dhupi","w'kL, e}?Fu w'kL","धुपी, भैरुँग धुपी",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354992,Dhupi (धुपी ),NEP00058,Juniperus semiglobosa Regel,Dhupi,w'kL ,धुपी ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354918,Dhupi (धुपी),NEP00061,Juniperus squamata Buch.-Ham. ex D.Don,Dhupi,w'kL,धुपी,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000408632,Singi (सिङ्गी),NEP00063,Taxus contorta Griff.,Singi,l;ª\uL,सिङ्गी,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
