taxonID,description,type,source,language,created
wfo-0001266257,"<b>Plants</b> prostrate, decumbent, or erect; trichomes with large tubercles throughout, ± flat across middle. <b>Basal leaves:</b> blade margins entire. <b>Racemes</b> not or somewhat secund, usually dense and compact, sometimes slightly elongated in fruit. <b>Fruiting pedicels</b> usually sigmoid. <b>Petals</b> usually yellow, sometimes cream-yellow, cream-white, or white. <b>Fruits</b> as wide as or longer than wide, apex rounded-acute; valves glabrous inside; septum complete; ovules 8-16 per ovary; style to 7 mm.",general,514A1A9E-D01C-4727-A52B-D94600CB93F4,English,2010-03-14
wfo-0001266262,"<b>Perennials;</b> caudex simple or branched; densely pubescent, trichomes (sessile or short-stalked), 4-7-rayed, rays usually furcate, sometimes bifurcate, (rough-tuberculate throughout). <b>Stems</b> few from base, erect with outer usually decumbent, 1-3.5(-5) dm. <b>Basal leaves</b> (erect); blade narrowly lanceolate to linear or (outer) oblanceolate, (1-)2-6(-9) cm, margins usually entire, rarely shallowly dentate, (inner involute, outer usually flat, base usually with some simple trichomes). <b>Cauline leaves:</b> blade narrowly oblanceolate to linear, (1-)2-4(-8) cm, margins flat or involute. <b>Racemes</b> compact, (elongated and loose in fruit, densely-flowered). <b>Fruiting pedicels</b> (usually recurved), (5-)10-20(-25) mm. <b>Flowers:</b> sepals oblong to broadly elliptic, 4-7(-8) mm, (lateral pair subsaccate, median pair cucullate); petals oblanceolate or obovate, (5-)6.5-9.5(-11) mm, (claw undifferentiated from blade, or blade gradually narrowed to claw). <b>Fruits</b> subglobose or obovoid, usually inflated, sometimes slightly compressed, (3-)4-6 mm; valves densely pubescent, trichomes spreading, usually pubescent inside, trichomes appressed, sessile; ovules (4-)8-12 (-16) per ovary; style 3-4.5(-6.5) mm. <b>Seeds</b> slightly flattened. <b>2<i>n</i></b> = 10, 20, 30.",general,3C307914-4264-4C34-ACFE-3652C74F6559,English,2010-03-14
wfo-0001280606,"<b>Plants</b> decumbent to ascending; trichomes (no information available). <b>Basal leaves:</b> blade margins entire. <b>Racemes</b> not usually secund, hardly elongated in fruit. <b>Fruiting pedicels</b> (divaricate-ascending), straight or slightly sigmoid. <b>Petals</b> cream-white or white. <b>Fruits</b> as wide as or longer than wide, apex rounded-acute; valves glabrous inside; septum complete; ovules 10-14 per ovary; style 1-2 mm.",general,85405C22-88B0-4CD3-BF5F-C83E716A7832,English,2010-03-14
wfo-0001280609,"<b>Trichomes</b>: rays fused in proximal 1/2. <b>Basal leaves:</b> blades linear-oblong, apex usually acute. <b>Fruits:</b> sinuses absent or shallow basally, deep apically. <b>2<i>n</i></b> = 8.",general,489078BD-B8B5-4C56-A288-3BAD747358AB,English,2010-03-14
wfo-0001280595,"<b>Fruits</b> suborbicular to elliptic or broadly oblong, keeled on one side; valves: margins covering replum edges, (base and apex rounded), glabrous inside.",general,F28C02F2-F19D-4914-A6B9-CA13EC2A26AB,English,2010-03-14
wfo-0001280594,"<b>Fruits</b> elliptic, not keeled; valves: margins (thin, rounded), not covering replum edges, pubescent inside.",general,0185A4AC-F188-4639-8AD2-5E4CC33CF13B,English,2010-03-14
wfo-0001280604,"<b>Trichomes</b> nearly smooth. <b>Petals</b> purplish or light yellow, drying purplish. <b>Fruits:</b> replum apex obtuse; ovules usually 6 per ovary. <b>2<i>n</i></b> = 8.",general,5C67F441-800B-473D-AC59-67347970FC66,English,2010-03-14
wfo-0001280616,"<b>Basal leaves:</b> blade margins dentate, (teeth broad), apex angled. <b>Styles</b> 4-7 mm. <b>Ovules</b> 4-8 per ovary.",general,710E7775-EE18-41BB-9468-483E0484E521,English,2010-03-14
wfo-0001266290,"<b>Perennials;</b> (loose, spreading); caudex simple or branched; densely pubescent, trichomes (subsessile), 4-6-rayed, rays furcate or bifurcate, (moderately tuberculate over arms, less so or smooth over center). <b>Stems</b> few to several from base, ascending or prostrate, (arising laterally, also from within basal leaves, usually unbranched, rarely branched), 0.5-3(-6) dm. <b>Basal leaves:</b> blade narrowly oblanceolate or broadly elliptic, 1-7(-12) cm, margins entire or shallowly toothed, sometimes repand, (inner blades usually flattened in age, surfaces often gray-green, scabrous). <b>Cauline leaves</b> (usually secund); blade spatulate or obovate, 1-2.5(-4.5) cm, margins entire or shallowly toothed, (flat or involute). <b>Racemes</b> somewhat crowded (to moderately elongated in fruit, exceeding basal leaves). <b>Fruiting pedicels</b> (often divaricate-spreading and straight, or horizontal and loosely sigmoid, sometimes slightly recurved), 5-15 mm. <b>Flowers:</b> sepals broadly elliptic or oblong, 4-7.5 (-9) mm, (median pair thickened apically, cucullate); petals cuneate or obovate, 7-10(-16) mm, (tapering gradually to broad claw). <b>Fruits</b> subglobose to ovoid or ellipsoid, sometimes compressed, (4-)5-7(-9) mm; valves sparsely pubescent, trichomes appressed or erect, sometimes sparsely pubescent inside; ovules (8-)12-16 (-20) per ovary; style 2-7 mm. <b>Seeds</b> somewhat flattened. <b>2<i>n</i></b> = 10 + 2, 18, 20, ± 40.",general,31C730B2-572A-4F90-9F07-54A3AEEBD456,English,2010-03-14
wfo-0001266259,"<b>Perennials;</b> caudex simple, (not thickened); densely pubescent, trichomes (short-stalked), several-rayed, rays distinct, furcate or bifurcate, (tuberculate, much less so over center, often nearly smooth on lower layer). <b>Stems</b> simple from base, spreading or erect, (unbranched), ca. 1 dm. <b>Basal leaves:</b> (petiole long, slender); blade elliptic to obovate, 3-4 cm, (base narrowing to petiole), margins entire. <b>Cauline leaves</b> (shortly petiolate); blade elliptic to obovate, 1-2 cm, margins entire. <b>Racemes</b> dense. <b>Fruiting pedicels</b> (sigmoid), 5-8 mm. <b>Flowers:</b> sepals narrowly elliptic or oblong, ca. 4.5 mm, (median pair thickened apically, cucullate); petals narrowly spatulate, 7-8 mm. <b>Fruits</b> (erect, substipitate), globose, ellipsoid, or obovoid, not or slightly compressed, 3-4 mm; valves sparsely pubescent, sometimes few trichomes inside; ovules 10-12 per ovary; style 3-5 mm. <b>Seeds</b> flattened.",general,77E529A7-263F-4D9F-BAB4-EEEEF0FB6817,English,2010-03-14
