WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000533338,ver-THA-0000533338.01,mae nam nong (แม่น้ำนอง)(Northern),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000533338,ver-THA-0000533338.02,thaowan thong (เถาวัลย์ทอง)(Southwestern),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000533338,ver-THA-0000533338.03,wai din (หวายดิน)(Central),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000533338,ver-THA-0000533338.04,kho khlan (โคคลาน)(Central),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000533338,ver-THA-0000533338.05,thao khanom (เถาขะโนม)(Southeastern),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000533338,ver-THA-0000533338.06,lumpri (ลุมพรี)(Southeastern),0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",5,3
wfo-0000543220,ver-THA-0000543220.01,khamin khruea (ขมิ้นเครือ)(Southeastern),0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,Forest Herbarium,All rights reserved,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",5,3
wfo-0000543220,ver-THA-0000543220.02,khamin ruesi (ขมิ้นฤาษี)(Peninsular),0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,Forest Herbarium,All rights reserved,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",5,3
wfo-0000543220,ver-THA-0000543220.03,hap (ฮับ)(Peninsular),0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,Forest Herbarium,All rights reserved,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",5,3
wfo-0000552372,ver-THA-0000552372.01,on khao (ออนขาว)(Northern),0.0,ref-THA-0000552372,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409,Forest Herbarium,All rights reserved,"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31",5,3
wfo-0000552372,ver-THA-0000552372.02,thi-khu (ทีคู่)(Karen-Northern),0.0,ref-THA-0000552372,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409,Forest Herbarium,All rights reserved,"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31",5,3
wfo-0000552383,ver-THA-0000552383.01,khruea khao khon (เครือเขาขน)(Northern),0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,Forest Herbarium,All rights reserved,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",5,3
wfo-0000552383,ver-THA-0000552383.02,khruea khao pun (เครือเขาปุน)(Northern),0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,Forest Herbarium,All rights reserved,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",5,3
wfo-0000552383,ver-THA-0000552383.03,khruea to (เครือต่อ)(Northeastern),0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,Forest Herbarium,All rights reserved,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",5,3
wfo-0000552401,ver-THA-0000552401.01,khruea prasong tua phu (เครือประสงค์ตัวผู้)(Southwestern),0.0,ref-THA-0000552401,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410,Forest Herbarium,All rights reserved,"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31",5,3
wfo-0000552401,ver-THA-0000552401.02,sut thao (สุดเถา)(Southwestern),0.0,ref-THA-0000552401,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410,Forest Herbarium,All rights reserved,"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31",5,3
wfo-0000552402,ver-THA-0000552402.01,kai kom khruea (ก่านกอมเครือ)(Northern),0.0,ref-THA-0000552402,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01407,Forest Herbarium,All rights reserved,"Aspidopterys tomentosa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 289. Accessed 2021-07-31",5,3
wfo-0000567916,ver-THA-0000567916.01,pang pae (ปังแป)(Northern),0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,Forest Herbarium,All rights reserved,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",5,3
wfo-0000567916,ver-THA-0000567916.02,phak bia hin (ผักเบี้ยหิน)(Northern),0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,Forest Herbarium,All rights reserved,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",5,3
