"referenceID","bibliographicCitation"
"ref-2851662416886527763","Duchartre, P. 1854 Methodicae Divisionis Generis Aristolochia Ann. Sci. Nat. ser. 4 2 29-76"
"ref-4734130509175789928","Duchartre, P. 1864 Aristolochiaceae A.P. De Candolle Prodr. 15 1 421-498"
"ref--4416954019815045979","Gonzalez, F. 1990 Aristolochiaceae Flora de Colombia 12 1-184"
"ref-3804493170809241090","Gonzalez, F. 1991 Notes on the systematics of Aristolochia subsect Hexandrae. Ann. Missouri Bot. Gard. 78 497-503"
"ref--4686134897500797643","Gonzalez, F. 1994 Aristolochiaceae G. Harling & L. Andersson Flora of Ecuador 51 3-42"
"ref--8762969426382786271","Grenand, P., C. Moretti & H. Jacquemin. 1987 Pharmacopees traditionnelles en Guyane ORSTOM Memoires 108. Aristolochiaceae p. 144-149 Paris"
"ref-4649838027702606864","Hoehne, F.C. 1927 Monogr. Aristol. Bras. Mem. Inst. Oswaldo Cruz 20 1 1-111"
"ref--4374026229653332051","Hoehne, F.C. 1942 Aristolochiaceas F.C. Hoehne Flora Brasflica 15 2 1-141 123 tab"
"ref--6640270420858562810","Malme, G.O.A. 1904 Beitrage zur Kenntnis der siidamerikanischen Aristolochiaceen Ark. Bot. 1 521-552 t. 31-33"
"ref--7946577173642392350","Masters, M.T. 1875 Aristolochiaceae C.F.P. von Martius Flora Brasiliensis 4 2 77-114 tab. 17-26"
"ref--6766364738614913999","Pfeifer, H.W. 1966 Revision of the North and Central American hexandrous species of Aristolochia (Aristolochiaceae) Ann. Missouri Bot. Gard. 53 115-196"
"ref--2217194092937016485","Schomburgk, M.R. 1849 Reisen in Britisch-Guiana in den Jahren 1840-1844 Vol. 3 Flora 787-1260 Leipzig"
"ref--4904782405636160787","Carlquist, S. 1993 Wood and bark anatomy of Aristolochiaceae; systematic and habital correlations IAWA Jouml. 14 4 341-357"
"ref-7166688439669329303","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons 2 Vols Clarendon Press Oxford"
"ref-470063550603416214","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven, CT"
"ref-2107000573948544928","Briquet Candollea 4 352 1931"
