"taxonID","description"
"taxon-9-Aristolochia_iquitensis","Woody vine; stem to ca. 1 cm in diam. , bark relatively thin, irregularly thickened; branchlets glabrous ; pseudostipules lacking. Leaves: petiole twining, 3-6 cm long ; blade chartaceous , elongate elliptic with strongly curved to parallel margins , 8-17(-20) x 5-7 cm , glabrous above, barely pubescent beneath , apex usually acuminate ( 5-10 mm long ), base deeply cordate to auriculate ; lateral veins usually marginal at very base. Inflorescence cauliflorous ; 1-2 racemes, 2-6 cm long , bearing commonly 10 flowers or many more ; bracts small, scaly ; pedicels thin, 3.5-5 cm long (in the Guianas, shorter in the type specimen). Flowers: ovary 1-1.5 cm long , thin, glabrous , pink ; perianth glabrous , purple brown outside ; utricle ovoid , 7 x 4.5 mm ; tube funnel-shaped , short, usually less than 1 cm long ; limb with 2 lateral lobes which are more or less triangular and oblique downward , variable in size , apex round , yellow with brown markings , lower margin fleshy fimbriate . Fruit 6-8 cm long , glabrous ; seeds ovoid , 5 x 3 mm , apex acute , base emarginate."
"taxon-10-Aristolochia_leprieurii","Sarmentose vine, with thick woody rootstock ; branchlets thin, hirsute ; pseudostipules lacking. Leaves: petiole thin, more densely hirsute , 1.5-3 cm long ; blade chartaceous , triangular, cordiform , 6-12 x 3-6 cm , glabrous above, finely pubescent beneath , apex variable in one plant, base cordate ; venation pedate, marginal at base. Flowers axillary , solitary; pedicel thin, pubescent like the petioles , 2-3.5 cm long ; ovary more pubescent than pedicel , ± 1 cm long ; perianth white , pubescent ; utricle whitish green , ovoid , 8-15 x 5-8 mm , upper part with an area of smaller, probably secreting cells ; tube dark purple , straight, up to 1.5 cm ; limb funnel-shaped , superior lobe triangular, gutter-shaped , up to 2.5 cm long , apex acute , violet , marginally reflexed, fleshy fimbriate inside , throat pale yellow . Fruit about 4 cm long , sometimes with sparse hairs , rostrum up to 1 cm ; seeds triangular , 4 x 4 mm , funicle slightly winged, longitudinally protruding ."
"taxon-11-Aristolochia_mossii","Vine, stem glabrous ; pseudostipules lacking. Leaves: petiole 2.5-6 cm long ; blade papyraceous when dry , triangular-oblong , 6-15 x 3-6 cm , glabrous , shining above, paler beneath , apex acute , base deeply cordate ; venation pedate. Flowers axillary , solitary; pedicel glabrous , 5-7 cm long ; ovary 2.5-4 cm long , glabrous ; perianth yellow outside , glabrous ; utricle obovoid , 3 x 1.5 cm , veins and dots dark purple outside ; tube large, 3 x 1 cm , with less purple ; lobe unique, superior, more or less rectangular and small, 1 x 1 cm , partly closing the tube , with dark purple margin , apex emarginate, inside dark purple near apex and yellow at base , throat yellow . Fruit 6-7 x 2 cm , glabrous ; seeds cordiform , 4 x 4 mm , wing obovate , 9-11 x 8-10 mm including wing."
"taxon-12-Aristolochia_paramaribensis","Vine, glabrescent, pubescent when young ; branchlets angular to obtuse-angled ; pseudostipules lacking. Leaves: petiole 1-2 cm ; blade coriaceous , elliptic , 8-15 x 3-8 cm , shining above , apex emarginate or round or acute to acuminate , base narrowly cordate , sometimes with overlapping basal lobes; venation pedate, secondary veins parallel. Inflorescence axillary , 5-6 cm long , tomentose , bearing 7-10 flowers ; bracts linear , 3-5 mm long ; pedicels minute to absent. Flowers: ovary up to 1 cm long ; perianth brownish green outside , tomentose when young, becoming sparsely tomentose along veins ; utricle ovoid , 1 x 0.5-0.7 cm ; tube about 1 cm ; limb funnel-shaped , 3 x 1.5 cm , superior lobe triangular , 1-1.5 cm , apex acute with terminal filiform appendage . Fruit 6-7 cm long , glabrous , inner walls membranaceous , comb-like; seeds cordiform, 5 x 5 mm , bearing 2 parallel, rectangular , papyraceous wings , ca. 10 x 15 mm including wings, base truncate ."
"taxon-13-Aristolochia_peltatodeltoidea","Glabrous vine with woody rootstock ; branchlets sarmentose, thin ; pseudostipules lacking. Leaves: petiole thin, 1-2(-3) cm long ; blade triangular , 3-7(-10) x 1.5-3(-5.5) cm , greyish and pubescent beneath , apex triangular acute , base straight to slightly cordate , 1-2 mm peltate; venation pedate, tertiary veins forming an inconspicuous net. Flowers axillary , solitary, or thin racemes up to 2 cm long , bearing up to 6 flowers with small linear bracts ; pedicels very thin, 5-8 mm long ; ovary 3-5 mm long ; perianth pale green , glabrous ; utricle subglobose to ovoid , 4-6 mm in diam. ; tube cylindric , 3 mm ; limb funnel-shaped , superior lobe large, brown , elliptic , 1.5 x 1 cm , apex round . Fruit unknown."
"taxon-14-Aristolochia_rugosa","Vine with woody rootstock ; stem sarmentose; branchlets glabrous ; pseudostipules lacking. Leaves: petiole 2-3 cm long ; blade triangular to sagittate , 6-13 x 4-8 cm , glabrous , greyishshining above, beneath , apex acute to rounded , base slightly to strongly cordate ; venation pedate. Inflorescence axillary or flower solitary; pedicels 2-5 cm long . Flowers: ovary 0.7-15 mm long ; perianth pale brown with yellow veins outside , glabrous ; utricle ovoid , 10-13 x 6-8 mm ; tube cylindric , 1-1.5 cm ; limb funnel-shaped , about 1.5 in diam. , lobe unique, superior, erect , 1-1.5 cm long , yellow at base, distal part violet brown, with fleshy , dark purple fimbriae , ovoid , apex acuminate . Fruit (from Caribbean collections) 3-3.5 cm long , glabrous ; seeds 3-4 mm long ."
"taxon-15-Aristolochia_stahelii","Woody vine; stem with corky expansions, 1-3 cm in diam., 6-7 mm without bark; branchlets glabrous ; pseudostipules lacking. Leaves: petiole 5-7 cm long ; blade chartaceous , widely cordiform , 7-13(-18) x 10-15(-22) cm , glabrous and shining above, greyish and pubescent beneath , apex obtuse or rounded to acuminate , base slightly cordate ; venation pedate, marginate at base. Inflorescence cauliflorous ; racemes short ( up to 1 cm long ), bearing 4-5 flowers with minute scaly bracts ; pedicels 2-4 cm long . Flowers: ovary about 2-3 cm long ; perianth whitish pink with reddish veins outside , glabrous ; utricle ovoid , 3 x 1.5 cm ; tube reduced and hidden by the limb; limb red purple , not spreading, but at first reflexed backwards to the utricle and apically coming forward, finally recurved outwards and forming a horse-shoe-shaped cavity around the mouth of the tube , apex acute , reflexed backward . Fruit 8-10 cm long , glabrous , midrib of carpels thickened, external wall thick, woody ; seeds triangular , 6 x 3 mm , funicle longitudinally protruding ."
"taxon-16-Aristolochia_surinamensis","Vine; branchlets glabrous ; pseudostipules lacking. Leaves: petiole thin, 2.5-5 cm long ; blade 3-lobed , 5-9 x 7-11 cm , glabrous, shining above, greyish with very fine indument beneath , apex rounded , base truncate, sometimes slightly cordate , lateral lobes perpendicular to the middle lobe, middle lobe 3-6 cm long ; venation pedate, marginal at base. Flowers axillary , solitary; pedicel 2.5-4 cm long ; ovary about 1.5 cm long ; perianth sparsely pilose to glabrous ; utricle ovoid , 1.0-1.5 x 0.8-1.2 cm ; tube about 1.5 cm long ; limb funnel-shaped , superior lobe rounded, triangular , up to 3.5 x 3 cm , apex emarginate. Fruit small, 3.5 cm long , acumen 5 mm long , pericarp membranous , glabrous ; seeds 2 mm long ."
"taxon-17-Aristolochia_trilobata","Vine; branchlets glabrous ; pseudostipules leafy, rounded , about 1.5 cm in diam. Leaves: petiole glabrous , 1.5-3 cm long ; blade 3-lobed , 5-9 x 6-10 cm , glabrous, shining above, pubescent beneath , lobes very variable in shape and size, middle one often diamond-shaped , lateral lobes often falciform, always pointing forward , apex rounded , base straight; venation pedate, submarginal at base. Flower axillary , solitary; pedicel about 4 cm long ; ovary 2 cm long ; perianth greenish yellow, dark red veined outside , glabrous ; utricle ovoid , 4-5 x 4 cm , with basal, retrorse appendages, 3-4 mm long ; tube cylindric, wide from the base , 4-5 x 1.5 cm ; superior lobe ovoid , with a long apical filament of 10(+) cm long , inside whitish . Fruit 6 cm long , glabrous ; seeds flat, as wide as long , ca. 6-7 mm ."
"taxon-Aristolochia_weddellii","Vine; branchlets pubescent when young, glabrescent ; pseudostipules foliaceous, orbicular . Leaves: petiole pubescent , 2-5 cm long ; blade rounded to triangular , (5-)12-15 x (3.5-)6-12 cm , glabrous above, tomentose beneath , apex triangular-acute , base widely rectangular-cordate ; venation pedate, marginal at base. Flowers axillary , solitary; pedicel thick, 7-12 cm long ; ovary 3-5 cm long ; perianth whitish, dark-purple veined outside ; utricle with a basal thickened rim, asymmetric, ventricose, (3.5-)5-7 x (2-)3-4 cm ; tube short to inconspicuous ; limb short funnel-shaped , superior lobe long tape-like, scalloped , about 8-10 cm long and more , with a terminal filament more than 10 cm long . Fruit unknown."
"taxon-Aristolochia_cymbifera","Vine, glabrous . Pseudostipules and leaves similar to A. hians . Flowers axillary , solitary; pedicel twining, 7-8 cm long ; ovary 3-4 mm long , perpendicular to the pedicel; hypanthium present; perianth: utricle 5-6 x 2-3 cm , tube cylindric , up to 1.5 cm , superior lobe paddle-shaped, up to 12 cm long , 4 cm wide in the distal part, inferior lobe not seen in the Guianan material. Fruit not seen."
