"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ--6343599114641623091","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Acevedo, P.","3308","guyana"
"occ--3650459023923865926","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Appun, C.F.","288","guyana"
"occ--2471150323686210077","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Bartlett, A.W.","s.n. (anno 1908)","guyana"
"occ-453603244015657118","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Fanshawe, D.B.","1181","guyana"
"occ--4390947925384875310","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","1383","guyana"
"occ--3473571206834135292","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Feuillet, C.","10642","guyana"
"occ--3422952896527376418","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Gillespie, L.J. et al.","830","guyana"
"occ-3490721752222658791","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","869","guyana"
"occ--2257836896222999554","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","1018","guyana"
"occ--6938781846612017819","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Graham, V.","220","guyana"
"occ--822529746207106232","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Hancock, J.","s.n.","guyana"
"occ-7935043216896188498","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Im Thurn, E.F.","1945","guyana"
"occ--7976446473860748633","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","s.n.","guyana"
"occ--7976446473860748633","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","s.n.","guyana"
"occ--3035410033335541781","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Jansen-Jacobs, M.J. et al.","705","guyana"
"occ--4943311446557016027","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","4592","guyana"
"occ--1213523916387819122","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","Jenman, G.S.","1945","guyana"
"occ--3941235257391979160","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","4192","guyana"
"occ-6571766720478773559","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","4615","guyana"
"occ--7341799634516342825","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","6543","guyana"
"occ-9104406875626104814","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","6915","guyana"
"occ-3038190228340598638","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","6916","guyana"
"occ-732852175618499799","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","6934","guyana"
"occ--873191744471776184","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","7226","guyana"
"occ--4304693114765344885","taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","7227","guyana"
