"taxonID","vernacularName","language","region","doubtful"
"taxon-1-ARISTOLOCHIA","bukuti","Wayampi","French Guiana",""
"taxon-1-ARISTOLOCHIA","Iiane amere","Palikour","French Guiana",""
"taxon-4-Aristolochia_daemoninoxia","boehari","Arawak","Guyana",""
"taxon-4-Aristolochia_daemoninoxia","boohiari","Creole","Guyana",""
"taxon-4-Aristolochia_daemoninoxia","boyarri","Arawak","Guyana",""
"taxon-4-Aristolochia_daemoninoxia","devildoer","","Guyana",""
"taxon-4-Aristolochia_daemoninoxia","pauisima","","Guyana",""
"taxon-10-Aristolochia_leprieurii","mametala","Waiwai","Guyana",""
"taxon-10-Aristolochia_leprieurii","bukuti","Palikour","French Guiana",""
"taxon-10-Aristolochia_leprieurii","Iiane amere","Creole","French Guiana",""
"taxon-10-Aristolochia_leprieurii","ulu?ay","Wayampi","French Guiana",""
"taxon-10-Aristolochia_leprieurii","uluwu?ay","","French Guiana",""
"taxon-11-Aristolochia_mossii","uluwu?ay","Wayampi","French Guiana",""
"taxon-15-Aristolochia_stahelii","bukuti","Palikour","French Guiana",""
"taxon-15-Aristolochia_stahelii","liane amere","Creole","French Guiana",""
"taxon-15-Aristolochia_stahelii","ulu?ay","Wayampi","French Guiana",""
"taxon-15-Aristolochia_stahelii","uluwu?ay","","French Guiana",""
"taxon-16-Aristolochia_surinamensis","loango tete","","Suriname",""
"taxon-17-Aristolochia_trilobata","feuille trefle","Creole","French Guiana",""
"taxon-17-Aristolochia_trilobata","Iiane trefle","","French Guiana",""
"taxon-17-Aristolochia_trilobata","trefle","","French Guiana",""
"taxon-17-Aristolochia_trilobata","trefle cara'ibe","Caribbean Creole","French Guiana",""
