"taxonID","habitat"
"taxon-1-ARISTOLOCHIA","Habitat: in dense primary forest and secondary vegetation or disturbed areas."
"taxon-1-Aristolochia_bukuti","Habitat: in forests on slopes."
"taxon-5-Aristolochia_didyma","Habitat: in forests on slopes."
"taxon-6-Aristolochia_flava","Habitat: lowland forest"
"taxon-7-Aristolochia_guianensis","Habitat: in open vegetation at the edge of the forest (FG)."
"taxon-8-Aristolochia_hians","Habitat: in secondary forest and shrubby vegetation."
"taxon-9-Aristolochia_iquitensis","Habitat: in primary and secondary forest."
"taxon-10-Aristolochia_leprieurii","Habitat: rather common weed between Cayenne and Saint-Georges (FG)."
"taxon-12-Aristolochia_paramaribensis","Habitat: in secondary vegetation in the coastal area."
"taxon-13-Aristolochia_peltatodeltoidea","Habitat: on rock boulders"
"taxon-14-Aristolochia_rugosa","Habitat: in open vegetation."
"taxon-15-Aristolochia_stahelii","Habitat: in primary and old secondary forests."
"taxon-17-Aristolochia_trilobata","Habitat: common vine in open vegetation, especially near villages, where it is often protected if not cultivated."
