"taxonID","habitat"
"taxon-1-ANISACANTHUS","Habitat: arid and semi-arid areas"
"taxon-1-Anisacanthus_secundus","Habitat: occasional in dry sandy soils, shaded woods and dry forests, 10-620 m elev."
"taxon-2-APHELANDRA","Habitat: dry forests"
"taxon-2-Aphelandra_pulcherrima","Habitat: woods and thickets, often along streams at various elevations ranging from sea level to 900 m elev."
"taxon-1-Barleria_lupulina","Habitat: disturbed areas in villages and along roadsides."
"taxon-1-Blechum_pyramidatum","Habitat: in open waste or cultivated places in either dry or moist habitats"
"taxon-1-Dicliptera_ciliaris","Habitat: waste places and in open places on rocky soil"
"taxon-2-Dicliptera_granvillei","Habitat: growing among rocks at edge of creek in submontane forest"
"taxon-3-Dicliptera_knappii","Habitat: savanna riparian forest"
"taxon-4-Dicliptera_sexangularis","Habitat: pastures, meadows, waste places, on damp sandy soil"
"taxon-1-Gynocraterium_guianense","Habitat: occasional in low wet forest, 150-550 m elev."
"taxon-1-Herpetacanthus_rotundatus","Habitat: rare in non-flooded moist forests"
"taxon-3-Hygrophila_sandwithii","Habitat: sandy foreshores and muddy river banks"
"taxon-2-Justicia_calycina","Habitat: frequent in secondary vegetation along streams in deciduous forests or tall riparian swamp forests, 100-650 m elev."
"taxon-3-Justicia_carthaginensis","Habitat: slopes, in waste places, thickets, these occasionally coastal, and in disturbed secondary growth forests, although more common at lower altitudes, it has been found as high as 1300 m"
"taxon-4-Justicia_cayennensis","Habitat: in non-flooded moist forest and in flood plain forest"
"taxon-5-Justicia_comata","Habitat: generally below 500 m elev. but found at 2000 m ; damp or dryish thickets on slopes, in woods, or river banks, even growing in shallow water;"
"taxon-6-Justicia_coppenamensis","Habitat: rare, along river banks and in the vicinity of cataracts, 200-250 m elev."
"taxon-7-Justicia_guianensis","Habitat: occasional, gallery forest and river banks, 250-1280 m elev."
"taxon-10-Justicia_mcdowellii","Habitat: mixed forest, with palms, Heliconia , Marantaceae , and Gesneriaceae in understory"
"taxon-11-Justicia_monachinoi","Habitat: 150-250 m elev."
"taxon-12-Justicia_oldemanii","Habitat: common in wet, sandy soil near rivers, in exposed positions, along semi-exposed trail in upland forest, and in soil-filled crevices atop large granitic rock outcrop, between sea level and 130 m elev.;"
"taxon-13-Justicia_pectoralis","Habitat: growing along forest trails along rivers and in understory of creek forests"
"taxon-14-Justicia_polystachia","Habitat: savanna edges, river bank, 100-200 m elev."
"taxon-15-Justicia_potarensis","Habitat: submontane forest and white-sand river banks, 80-800 m elev."
"taxon-16-Justicia_prevostiae","Habitat: secondary vegetation on lateritic soils and in forests on terra firma at edge of streams, between sea level and 550 m elev.;"
"taxon-17-Justicia_secunda","Habitat: common in secondary vegetation in partial shade, especially along roads in forest"
"taxon-18-Justicia_sphaerosperma","Habitat: infrequent in riverine forests on sandy soils, wet savannas and gallery forests, 60-200 m elev."
"taxon-19-Justicia_sprucei","Habitat: occasional, non-flooded moist forest, 200-300 m elev."
"taxon-20-Justicia_wilhelminensis","Habitat: common in low mossy forest"
"taxon-1-Lepidagathis_alopecuroidea","Habitat: occurs in moist areas along trails in rainforests, thickets and fields"
"taxon-2-Lepidagathis_cataractae","Habitat: forming colonies in shallow water or along rocky or sandy river banks, flowering as river recedes"
"taxon-3-Lepidagathis_gracilis","Habitat: river banks and pond margins, in savanna"
"taxon-4-Lepidagathis_mazarunensis","Habitat: on muddy river bank"
"taxon-6-Lepidagathis_nickeriensis","Habitat: in dry river beds near cataracts"
"taxon-1-Nelsonia_canescens","Habitat: moist shady places"
"taxon-17-ODONTONEMA","Habitat: mostly in dense moist forests usually along streams"
"taxon-1-Odontonema_album","Habitat: gallery forest, forest on terra firme, and savannas, 400-800 m elev."
"taxon-2-Odontonema_bracteolatum","Habitat: locally and frequent along rivers and in slope forests, 80-800 m elev."
"taxon-3-Odontonema_mazarunense","Habitat: humid forest at the base of mountain, 460-650 m elev."
"taxon-4-Odontonema_rutilans","Habitat: cloud forest and primary evergreen forest, 600-1380 m elev."
"taxon-5-Odontonema_schomburgkianum","Habitat: infrequent in lowland forests along rivers, 400-550 m elev."
"taxon-18-Pachystachys","Habitat: along edges of rainforest at relatively low elevations (below 1000 m)"
"taxon-1-Pachystachys_coccinea","Habitat: common in shade of forest clearings and margins, 50-250 m elev."
"taxon-2-Pachystachys_spicata","Habitat: edge of rainforest, margins of thickets, along trails or river banks, 150-700 m elev."
"taxon-19-POLYLYCHNIS","Habitat: at low elevation in tropical moist forests"
"taxon-1-Polylychnis_fulgens","Habitat: common in low wet areas in forests, 200-400 m elev."
"taxon-2-Polylychnis_ovata","Habitat: on granitic rocks, often near streams or in dense forests, 400-450 m elev."
"taxon-3-Polylychnis_radicans","Habitat: rare in dense or mixed forest, 100-600 m elev."
"taxon-20-PULCHRANTHUS","Habitat: in low elevation forests"
"taxon-1-Pulchranthus_congestus","Habitat: in forests and disturbed areas along rivers, 100-300 m elev."
"taxon-2-Pulchranthus_surinamensis","Habitat: mesophytic montane forests along rivers, 500-700 m elev."
"taxon-3-Pulchranthus_variegatus","Habitat: infrequent and local in non-flooded moist forests, 200-300 m elev."
"taxon-1-Ruellia_amapensis","Habitat: locally frequent in moist, heavily forested hills and in dense vegetation on marshy soil along creek margins, 70-550 m elev."
"taxon-2-Ruellia_geminiflora","Habitat: savannas, meadows, open places in general, 100-500 m elev."
"taxon-2-Ruellia_geminiflora","Habitat: savannas, meadows, open places in general, 100-500 m elev."
"taxon-3-Ruellia_inflata","Habitat: along edge of rivers and in shadow of upland forests, 60-200 m elev."
"taxon-4-Ruellia_longifolia","Habitat: clearings along edge of rivers, 150-630 m alt."
"taxon-5-Ruellia_microcalyx","Habitat: along river banks"
"taxon-7-Ruellia_rubra","Habitat: common in forest shade and wet sandy soil near river margins, 160-1000 m elev."
"taxon-8-Ruellia_saülensis","Habitat: granitic outcrops at ca. 400 m elev."
"taxon-9-Ruellia_schnellii","Habitat: occasional along edges or clearings of dense forests"
"taxon-10-Ruellia_tuberosa","Habitat: roadsides, clearings and open places, often in dry or damp sandy loam"
"taxon-11-Ruellia_violacea","Habitat: along river banks near the coast"
"taxon-1-Staurogyne_fockeana","Habitat: along river banks"
"taxon-2-Staurogyne_miqueliana","Habitat: Along edge of stream"
"taxon-3-Staurogyne_stahelii","Habitat: near waterfalls"
"taxon-4-Staurogyne_stolonifera","Habitat: in disturbed areas along river banks below 500 m elev."
"taxon-5-Staurogyne_trinitensis","Habitat: on exposed rock in river or forming mats on wet mud, by granitic outcrops and ledges along rapids, 200-400 m elev.;"
"taxon-6-Staurogyne_wullschlaegeliana","Habitat: on sand flats"
"taxon-3-Thunbergia_fragrans","Habitat: in disturbed habitats in tropical regions throughout most parts of the world"
"taxon-4-Thunbergia_grandiflora","Habitat: gardens, thickets, forests, naturalized in tropical regions throughout many parts of the world"
"taxon-24-TRICHANTHERA","Habitat: moist lowland forests"
"taxon-1-Trichanthera_gigantea","Habitat: forests in river alluvium"
"taxon-Trichanthera_gigantea","Habitat: forests in river alluvium"
"taxon-1-Mendoncia_aspera","Habitat: occasional in woods and thickets, usually below 650 m . elev."
"taxon-2-Mendoncia_bivalvis","Habitat: occasional in disturbed and open forests, 200-750 m . elev."
"taxon-3-Mendoncia_crenata","Habitat: rain forest"
"taxon-4-Mendoncia_glabra","Habitat: occasional in non-flooded moist forests, 150-250 m . elev."
"taxon-5-Mendoncia_hoffmannseggiana","Habitat: common species in low dense primary forest along streams to cloud forests on summit of escarpments, to 850 m elev."
"taxon-6-Mendoncia_squamuligera","Habitat: occasional in primary forest along streams, 30-450 m . elev."
