"taxonID","description"
"taxon-156-ACANTHACEAE","Prostrate, erect or rarely, climbing , herbs or shrubs, or rarely small trees. Branches decussate, frequently angled, more rarely terete , often with transverse ridges across the node. Leaves opposite, subopposite or whorled ( Crossandra ), exstipulate, simple, usually with cystoliths (intercellular concretions, usually of calcium carbonate, which appear as white streaks on the upper surface), but lacking in Aphelandra , Gynocraterium , Nelsonia , Staurogyne , and Thunbergia , margins entire, crenate or undulate. Inflorescences axillary and/or terminal , flowers solitary or arranged in spikes, cymes or racemes, often densely clustered, frequently in axils of conspicuous bracts and with 2 bracteoles; bracts often leaf-like, sometimes enclosing corolla tube. Flowers zygomorphic to nearly actinomorphic, bisexual; calyx synsepalous at least basally, persistent, lobes 4 or 5, rarely ( Thunbergia ) an entire ring, or 12-20-lobed ; corolla sympetalous, the limb 5-lobed or 2-lipped (rarely 1-lipped) , lobes imbricate or contorted in bud, basally usually divided into a distinct narrow tube and wider throat; stamens 4 , usually didynamous, or 2 fertile and sometimes accompanied by 1 or 2 staminodes, adnate to corolla tube, filaments free or basally connate in pairs, anther thecae usually 1 or 2 , usually parallel, rarely divergent or transverse, muticous (without a projection), obtuse or rounded, or basally spurred, longitudinally dehiscent ; pollen very varied in structure, striation and reticulation; disk annular and nectar-producing at base of ovary; ovary superior, 2-locular , either with 2 collateral ( Thunbergia ) or more commonly 2-10 superposed ovules per locule ; placenta axile; style filiform , simple, stigma entire or more commonly 2-lobed , one lobe frequently smaller than the other. Fruits loculicidal, 2-valved capsules, frequently explosively dehiscent either on drying or on wetting, seeds usually borne on hook-like retinacula (funicles), these persistent in valves after seeds have been discharged or retinacula lacking ( Gynocraterium , Staurogyne , Thunbergia ); seeds 2-many , usually flattened , sometimes spheroidal ( Gynocraterium , Staurogyne ), testa smooth or roughened , sometimes with mucilaginous trichomes which expand when moistened ."
"taxon-1-ANISACANTHUS","Branching herbs or subshrubs. Stems terete , minutely striate, older ones covered with brown or gray bark exfoliating in thin strips . Leaves sessile or petiolate; blades linear to lanceolate , punctate, cystoliths common on upper surface. Inflorescences racemose or paniculate , flowers borne singly or several at a node, secund or opposite; bracts and bracteoles mostly triangular to linear , usually caducous, similar to calyx in pubescence . Calyx subequally 3-5-lobed , lobes triangular to linear , glabrous to pubescent ; corolla usually red , mostly pilose , tubular to funnelform, more or less arcuate, somewhat inflated at base , 2-lipped , usually recurved , posterior lip entire or slightly emarginate , anterior lip 3-lobed ; stamens 2 , epipetalous anteriorally, usually at base of central lobe of anterior lip, filaments more or less thick and fleshy , colored , glabrous , anthers 2-thecous , subequal, inserted at same level or nearly so, parallel or slightly divergent at base, connected to middle or slightly below, not mucronate or appendaged; style, glabrous , about as long as corolla, stigma simple, 2-lobed . Capsules subpyriform, slightly beaked, usually narrowed at base to form a relatively distinct stipe, glabrous and shiny ; seeds 2-4 , diskoid, more or less tuberculate , each supported by a curved retinaculum usually at about same height in body of capsule."
"taxon-1-Anisacanthus_secundus","Herb 1-3 m tall . Stem terete , finely striate, sparingly puberulent . Petiole to 5 mm long , puberulent ; blade lanceolate, 5-8 x 2-2.5 cm , acuminate, subfalcate, obtuse or rounded at base , glabrous except primary vein and secondary veins, these puberulent on upper surface and primary vein white -pilose on lower surface, bearded in axils of secondary veins , cystoliths inconspicuous. Flowers secund; rachis of raceme puberulent ; pedicels 2.5 mm long ; bracts narrowly triangular , 2 x 0.5 mm , puberulent . Calyx campanulate , lobes subulate , 2-2.5 x 1 mm wide at base , glandular puberulent ; corolla bright red , 35 mm long , slightly curved, sparingly and finely pubescent , about 3 mm in diameter at base , narrowed above ovary to 2 mm , thence gradually enlarged to 6 mm at mouth , lips about 9 mm long ; style finely and sparingly pubescent . Capsule 20 x 6 mm , glabrous or with a few minute trichomes, these grandular except at extreme tip of capsule ; seeds flat , white , about 5 mm in diameter , minutely roughened ."
"taxon-2-APHELANDRA","Perennial suffrutescent herbs or shrubs. Stems terete to quadrangular , glabrous to pubescent , soft-wooded, nodes frequently swollen. Leaves opposite, petiolate; blades usually large, oblong to elliptic , membranous to coriaceous , marginally toothed, lobed, crenate, undulate or entire . Inflorescences of terminal or axillary spikes, solitary to few, often conspicuous with showy bracts and flowers; bracts usually imbricate, brightly colored or green , marginally toothed or entire , sometimes bearing dorsal clusters of submarginal glands ; bracteoles 2 , laterally subtending calyx, usually subfalcate . Flowers nearly regular to strongly bilipped, homostylous; calyx 5-lobed , lobes subequal, lanceolate , posterior (adaxial) lobe, anterior (abaxial) pair, and lateral pair of unequal width; corolla straight or curved, limb usually bilipped, pale to bright red, crimson, scarlet or orange , upper lip (posterior) erect , 2-lobed (lobes sometimes partially or completely united) , lower lip (anterior) reflexed or spreading , 3-lobed , lobes subequal to strongly dimorphic with lateral ones reduced to essentially lacking; stamens 4 , usually exserted but rarely if ever exceeding upper corolla lip, anthers narrow, 1-thecous , often dorsally pilose and adhering at apices by intertwining trichomes ; pollen usually ellipsoidal , 3-aperturate , with exine sculpturing usually reticulate to occasionally verrucose or psilate; staminode usually none, if present, consisting of slender short filament or small callous region ; ovary with 2 ovules per locule, style, frequently extending through and slightly exceeding the posterior pair of anthers. Capsules clavate to subglobose , explosively dehiscent on drying; seeds 4 , brown , rounded to somewhat angled and strongly flattened to subglobose , each supported by a curved retinaculum."
"taxon-1-Aphelandra_aurantiaca","Erect, suffrutescent herb or shrub, to 1 m tall . Younger stem subquadrangular , glabrous to velutinous , older stem terete . Petiole 1-3.5 cm long , glabrous ; blade elliptic to ovate , 8-15 x 3.5-6.5 cm , apex acuminate , base attenuate and decurrent on the petiole, sometimes obliquely so, frequently thickened , glabrous on both surfaces primary vein and secondary veins sometimes bearing a few subappressed trichomes , upper surface nitid, often brilliant polished green , lower surface pale green , reticulation obscure, margin entire or undulate . Inflorescence terminal , spikes solitary or sometimes 2 , quadrifarious, 6-13 x 1.5-3 cm (excluding corollas) ; peduncle short, to 3 mm long , puberulous ; rachis similar, flattened and slightly excavated at nodes ; bracts imbricate, elliptic or ovate , 20-30 x 7.5-10 mm , apex acute , base cuneate , margin with 2-4 pairs of short teeth ( 1-1.5 x 0.5 mm ) on each side , green , puberulous and glandular on both surfaces , reticulation prominent on inner surface; bracteoles narrowly lanceolate , to 10 x 0.5 mm , puberulous , striate-ridged. Calyx lobes 10-12 mm long , posterior lobe oblong , 2.5-3 mm wide , cuspidate, anterior and lateral lobes linear-lanceolate , 1-1.5 mm wide , all lobes puberulous with striate ridges culminating at base in callus tissue ca. 1 mm thick ; corolla red, orange-red or scarlet , 50-60 mm long , sparingly puberulous , tube 40 mm long , 3 mm wide , upper lip erect , oblong-ovate , 20 x 10 mm , bilobed, lobes minute, triangular , 0.5 mm long , forming a partial hood over anthers, middle lobe of lower lip elliptic, 20 x 12 mm , apically obtuse , lateral lobes elliptic-ovate, to 12 x 7.5 mm , acute , puberulous on both surfaces ; stamens 35-50 mm long , filaments pubescent with eglandular trichomes , thecae 4-5 mm long , pubescent with cobwebby trichomes ; ovary puberulous at apex , style to 46 mm long , sparingly puberulous with ascending trichomes . Capsule 16 mm long , sparingly puberulous ; seeds hispidulous ."
"taxon-2-Aphelandra_pulcherrima","Shrub or suffrutescent herb to 2.5 m tall, rarely small tree to 4 m . Stem erect , sparingly branched, obscurely quadrangular toward tip , sparingly pubescent to glabrate , lower portion of stem terete , light grayish-green . Petiole 4-7 mm long , pubescence similar to primary vein ; blade ovate to oblong-elliptic , 15-24 x 5-9 cm , apex short acuminate (tip itself blunt or apiculate to slightly acute) , base attenuate, decurrent on the petiole , glabrous or nearly so on upper surface, glabrous to sparingly pubescent on lower surface, this mostly on primary and secondary veins, these disposed in web-like manner , upper surface drying olive , lower surface drying lighter green , margin entire, undulate or shallowly crenulate . Inflorescence terminal , spikes solitary or several in a fascicle, quadrangular , 5-7 x 0.6-0.8 cm , subsessile ; rachis white -cottony-tomentose ; bracts densely imbricate, rhombic-ovate , 5-7 x 4.5-6 mm , apex acute , margin entire , green , glabrous or softly pubescent dorsally , paired bracteal nectary patches lateral and submedial, composed of 1-5 discrete glands, each gland 0.25 x 0.75 mm ; bracteoles lanceolate, 6-7 x 2 mm , falcate, obliquely subcarinate , puberulous without, finely striate-veined . Calyx 7-8 mm long , posterior lobe oblong , 3 mm wide , anterior pair 1.5 mm wide , lateral pair lanceolate , 2 mm wide , all striate-veined; corolla strongly bilipped, lateral lobes of lower lip much reduced, adnate to basal portion of upper lip with only their tips free, bright red or scarlet , 55-70 mm long , minutely puberulous , 3 mm wide basally , narrowed to 1.5 mm at tip of ovary , gradually enlarged and slightly ventricose, about 6 mm wide at throat , upper lip erect , narrowly ovate , 15-20 x 9 mm , bilobed, lobes narrowly triangular , 3.5-9 mm long , middle lobe of lower lip linear-oblong , 22-24 x 6-7 mm , lateral lobes 3 x 1 mm ; stamens exserted about 7 mm beyond mouth of corolla tube , anthers 6-7 mm long . Ovary and style glabrous , stigma minutely bilobed. Capsule clavate , 20-22 mm long , glabrous , puncticulate; seeds reddish-brown , flat , 5 x 4 mm , glabrous or sparingly puberulous ."
"taxon-3-Aphelandra_scabra","Shrub 1-4 m tall , profusely branched. Youngest stem subquadrangular , moderately tomentose , older stem terete , glabrate . Petiole lacking or to 10 mm long , densely pubescent ; blade elliptic , 9-20 x 3-7 cm , apex acute to short attenuate , base attenuate, decurrent on the petiole , upper and lower surface moderately tomentose (densely so on veins below) , margin entire or undulate . Inflorescence terminal , spikes solitary or more frequently several (3-7) , terete to subquadrangular , 8-12 x 1 cm , sessile; rachis moderately pubescent ; bracts densely imbricate, broadly elliptic , 13-16 x 6-8 mm , apex long-attenuate , marginally with 2-4 pairs of short teeth ( 1-2 x 0.5 mm ) on each side, green to dull orange , moderately pubescent without, glabrous within , paired bracteal nectary patches lateral and submedial , each patch composed of 2-5 minute glands , margin ciliate ; bracteoles lanceolate , 6-8 x 1.5 mm , apex long-attenuate and acute , green to pale orange , sparsely pubescent . Calyx lobes 8-9.5 mm long , acute , green to dull orange , glabrous except ciliate apically , posterior lobe ovate , about 3 mm wide , anterior pair lanceolate , about 1.5 mm wide , lateral lobes narrowly lanceolate , about 1 mm wide ; corolla strongly bilipped, lateral lobes of lower lip much reduced, adnate to basal portion of upper lip with only their tips free, pink, orange or red , 35-40 mm long , moderately pubescent , tube 25-30 mm long , 2 mm in diameter at base , expanding to 5 mm wide at throat , upper lip erect , elliptic , 11-13 x 5-6 mm , 2-lobed , lobes triangular , 3-4 mm long , middle lobe of lower lip narrowly oblong , 14-15 x 3-4.5 mm , strongly recurved at anthesis, filaments inserted about 5 mm above base of corolla , anthers 3-4 mm long , extending to within 2-4 mm from tip of upper lip ; style filiform , stigma oblique apically , extended 0.5-1.5 mm beyond anthers . Capsule globose , 13-17 x 5-6 x 5-6.5 mm , green when immature, turning brown-black at dehiscence; seeds brown , orbicular, slightly flattened , 3.5-4.5 mm in diameter ."
"taxon-3-ASYSTASIA","Perennial herbs or shrubs. Stems erect, procumbent or clambering , pubescent or occasionally glabrous . Leaves petiolate, opposite pair connected by transverse ridge; blades narrowly lanceolate to ovate , margin entire or somewhat dentate . Inflorescences terminal or axillary racemes, these lax or dense, often secund, flowers single or paired, pedicels short; bracts 2 , small, linear to narrowly deltoid ; bracteoles 2 , similar to bracts. Calyx 5-lobed , lobes linear-setaceous or lanceolate , subequal; corolla more or less regular, infundibuliform , limb 5-lobed , purplish, blue, yellow, or white , tube short to long, funnelform , ventricose or narrow, throat ampliate or campanulate , lobes 5 , equal, spreading , imbricate in bud, abaxial lobe with a palate in form of longitudinal fold; stamens 4 , inserted in pairs in widened part of corolla tube, included, didynamous, or occasionally posterior ones reduced to filiform staminodia, anthers 2-thecous , thecae parallel, inserted equally, approximate, minutely spurred or muticous at base; disk cupulate or annular; ovary with 2 ovules per locule, style long, subulate , stigma thickened, obtuse or minutely 2-lobed or subcapitate . Capsules stipitate, pubescent , elliptic , base contracted and solid, lacking seeds, retinacula present, septae with retinacula remaining attached to inner wall of mature capsule; seeds 2 or 4 , ovate or compressed orbicular, irregularly angular , rugose or tuberculate ."
"taxon-1-Asystasia_gangetica","Shrub or subshrub to 1.5 m tall , creeping or climbing . Branches ± quadrangular , sometimes furrowed on both sides, often constricted above nodes, these pubescent, glabrate or pubescent with trichomes disposed in decussating lines . Petiole 2-30 mm long ; blade ovate , 15-45(-90) x 5-30(-50) mm , apex abruptly acuminate, truncate at base , glabrous or minutely pubescent on upper surface, minutely and sparingly pubescent on primary and secondary veins on lower surface , margin ± entire to shallowly erose ; leaves subtending peduncles reduced, narrower than cauline leaves. Inflorescence an axillary or terminal , often secund raceme, 4-10(-20) cm long ; peduncle to 5.5 cm long ; bracts in opposite pairs on either side of peduncle, triangular , 0.8-2 x 0.75-1.5 mm , pubescent with eglandular trichomes on outer midrib and margins ; bracteoles similar to bracts but smaller. Flowers single at nodes, sparse; pedicel 0.5-1.5 mm long . Calyx 5-10 mm long , glabrous or pubescent without, with glandular and eglandular trichomes ; corolla blue, mauve or white, appearing yellowish when dry , 30-40 mm long , inconspicuously puberulous without, with glandular and eglandular trichomes , tube and throat 15-20 mm long , tube half the length of throat , throat 13 mm wide , lobes rounded , 8.5-15 mm in diameter , conspicuously and coarsely reticulate veined; stamens ± equal, each pair arising 3.5-4 mm above base , free for about 4 mm , filaments near base with 2 lines of trichomes ; thecae sparsely eglandular and glandular pubescent dorsally just above base ; ovary pubescent , style 14-16 mm long , basally pubescent . Capsule 20-25 mm long , pubescent , retinacula 2 in each valve, often 1 and its seed not developed fully ; seeds 4 x 4 mm , smooth on sides ."
"taxon-4-BARLERIA","Erect herbs or shrubs with cystoliths, sometimes with spines in leaf axils. Leaves petiolate; blades entire, often spine-tipped. Inflorescences axillary clusters or terminal spikes, each flower in axil of large bract sometimes with apical spine; bracteoles usually 2 at base of calyx. Calyx consisting of two unequal pairs of lobes inserted at right angles to each other, outer pair, larger than inner pair (lateral), each lobe entire or with toothed margins, sometimes spine-tipped; corolla with tube narrow at base, widening into throat, lobes 5 , of equal length, lowest lobe fused to adjacent lobes for a shorter length than other 4 lobes, giving a 2-lipped appearance , upper lip 4-lobed , lower lip 1-lobed ; stamens 4 , inserted at base of throat, one pair fertile and far exserted, other pair fertile or sterile and included, sometimes with a small staminode, anther thecae of exserted stamens 2 , parallel, inserted at equal levels, medifixed, slightly diverging at base, without appendages, those of included stamens similar or reduced; disk annular; ovary with 1-2 ovules per locule, style long, glabrous , stigma entire. Capsules ovoid, acuminate , 1-2 seeds borne on conspicuous retinacula at base; seeds large, diskoid, covered with long, appressed trichomes which expand and become mucilaginous when moistened ."
