"referenceID","bibliographicCitation"
"ref--8658768070352397035","Barker, R.M. 1986 A taxonomic revision of the Australian Acanthaceae J. Adelaide Bot. Gard. 9 1-286"
"ref-654942675527786962","Bremekamp, C.E.B. 1938 Acanthaceae A.A. Pulle Flora of Suriname 4 2 166-252"
"ref--3095340383860591369","Daniel, T.F. 1995 Acanthaceae D. E. Breedlove Flora of Chiapas 4 1-158"
"ref--9024506644760608067","Durkee, L.H. 1978 Acanthaceae R.E. Woodson et al. Flora of Panama. Ann. Missouri Bot. Gard. 65 155-283"
"ref--479201162989633411","Durkee, L.H. 1986 Acanthaceae. Flora Costaricensis. W.C. Burger Fieldiana Bot. ser. 2. 18 1-87"
"ref-7591581448046641331","Gibson, D.N. 1974 Acanthaceae, Flora of Guatemala P.C. Standley, L.O. Williams & D.N. Gibson Fieldiana, Bot. 24 10 328-461"
"ref--729752388240229727","Lemée, A.M.V. 1954 Flore de la Guyane Française Acanthacées 3 472-494"
"ref--1443254062563580038","Leonard, E.C. 1951 The Acanthaceae of Colombia, I-III Contr. U.S. Natl. Herb. 31 1-117"
"ref-3053660411454656259","Leonard, E.C. 1953 The Acanthaceae of Colombia, I-III Contr. U.S. Natl. Herb. 31 119-322"
"ref-3691840302007360472","Leonard, E.C. 1958 The Acanthaceae of Colombia, I-III Contr. U.S. Natl. Herb. 31 323-781"
"ref--2713794949185835905","Lindau, G. 1895 Acanthaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pfanzenfamilien 4 3b 274-354"
"ref-8832542067971344409","Nees von Esenbeck, C.G.D. 1847 Acanthaceae A. de Candolle Prodromus systematis naturalis regni vegetabilis 11 46-519"
"ref--981328677093654624","Wasshausen, D.C. 1995 Acanthaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 2 335-374"
"ref--5105824792250340189","Wasshausen, D.C. & J.R.I. Wood. 2004 Acanthaceae of Bolivia Contr. U.S. Natl. Herb. 49 1-152"
"ref--7518450717735900835","Carlquist, S. & S. Zona. 1988 Wood anatomy of Acanthaceae: A survey Aliso 12 201-227"
"ref-6016557647374867285","Dechamps, R. 1979 Etude anatomique de bois d'Amérique du sud. I. Acanthaceae à Lecythidaceae Ann. Mus. Roy. Afr. Centr., Tervuren sér/ IN-8 Sc. Econ. No. 10 9-12"
"ref--7344142272031097872","Détienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux 3. Guyane française C.T.F.T. Nogent-sur-Marne p.23"
"ref-8824792577363902614","Détienne, P. & P. Jacquet. 1983 Atlas des bois de l'Amazonie et des régions voisines C.T.F.T. Nogent-sur-Marne p.17"
"ref--508033939654949513","Hess, R.W. 1946 Identification of New World timbers. Part I. Trop. Woods 86 14-25"
"ref-6096245896220880335","Hess, R.W. 1950 New genera of American woods Trop. Woods 96 47-50"
"ref--4904930362735720213","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons II 1014-1024"
"ref--9022265894229689244","Niesemann, H.W. 1927 Das anormale Dickenwachstum von Mendoncia velloziana Mart. und Afromendoncia lindaviana Gilg. Thesis Berlin 53 p"
"ref--2921766210725637745","Obaton, M. 1960 Les lianes ligneuses à structure anormale des forêts denses d'Afrique occidentale Anns. Sci. nat. Bot. sér. 12, 1 1-220"
"ref-1947289013164319367","Outer, R.W. den & W.L.N. van Veenendaal. 1983 Wood anatomy of Uncarina leandrii H. Humb. (Pedaliaceae) and its relation to Bignoniaceae. IAWA Bull. n.s. 4 53-59"
"ref-2657905364989244515","Schenck, H. 1893 Biologie und Anatomie der Lianen. Teil II: Beiträge zur Anatomie der Lianen Schimpers bot. Mitth. aus den Tropen Hft. 5. Jena Verlag G. Fischer 291 p"
"ref--1093522049501242421","Solereder, H. 1899 Systematische Anatomie der Dicotyledonen Stuttgart"
"ref--1881807493694166991","Solereder, H. 1908 Systematische Anatomie der Dicotyledonen Ergänzungsband p. 251-253 Stuttgart"
"ref-4568927743763671655","Tchouproff, O. 1895 Anatomie syst. des Acanthaceae Bull. Herb. Boiss. 3 550-560"
"ref--7367743758807908087","Tchouproff, O. 1897 Etude sur les causes qui déterminent le fractionnement du bois axial chez Mendoncia schomburgkiana Nees et sur l'origine et le développement des tissues cicatrisants Bull. Herb. Boiss. 5 326-365"
