"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Anisacanthus_secundus","kiereparu","Carib","Suriname",""
"taxon-1-Anisacanthus_secundus","simio","Carib","Suriname",""
"taxon-5-Justicia_comata","yaladu","Carib","Suriname",""
"taxon-8-Justicia_laevilinguis","louisa-wiwiri","Sranan","Suriname",""
"taxon-17-Justicia_secunda","radié divin","Créole","French Guiana",""
"taxon-17-Justicia_secunda","radié du sang","","French Guiana",""
"taxon-17-Justicia_secunda","saint john","","French Guiana",""
"taxon-17-Justicia_secunda","zerb vin","","French Guiana",""
"taxon-3-Ruellia_inflata","yawalemo","Wayana","French Guiana",""
"taxon-10-Ruellia_tuberosa","waterkanon","Sur. dutch","Suriname",""
"taxon-10-Ruellia_tuberosa","watrakanoe","Sranan","Suriname",""
"taxon-2-Thunbergia_erecta","blue bells","","Guyana",""
"taxon-Trichanthera_gigantea","watra-oedoe","Sranan","Suriname",""
"taxon-Trichanthera_gigantea","waterhout","Sur. Dutch","Suriname",""
"taxon-Trichanthera_gigantea","mani-bokoro","Arowak","Suriname",""
"taxon-1-Mendoncia_aspera","simopere","Carib.","Suriname",""
