"taxonID","locality","localityType","distributionText"
"taxon-20-PULCHRANTHUS","low elevation forests of tropical America","continental region","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","Colombia","country","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","eastern Peru","region","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","Suriname","country","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","French Guiana","country","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","coastal and eastern Brazil","region","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-20-PULCHRANTHUS","Guianas","region","Distribution: A genus of 4 species, local and infrequent in low elevation forests of tropical America , from Colombia , eastern Peru and eastward to Suriname and French Guiana and southward to coastal and eastern Brazil ; in the Guianas 3 species."
"taxon-1-Pulchranthus_congestus","French Guiana","country","Distribution: French Guiana and Brazil ( Amazonas , Pará ); rare; 11 collections studied (FG: 5)."
"taxon-1-Pulchranthus_congestus","Brazil","country","Distribution: French Guiana and Brazil ( Amazonas , Pará ); rare; 11 collections studied (FG: 5)."
"taxon-1-Pulchranthus_congestus","Amazonas","state","Distribution: French Guiana and Brazil ( Amazonas , Pará ); rare; 11 collections studied (FG: 5)."
"taxon-1-Pulchranthus_congestus","Pará","state","Distribution: French Guiana and Brazil ( Amazonas , Pará ); rare; 11 collections studied (FG: 5)."
"taxon-2-Pulchranthus_surinamensis","Suriname","country","Distribution: Suriname ; 10 collections studied (SU: 10)."
"taxon-3-Pulchranthus_variegatus","Suriname","country","Distribution: Suriname , French Guiana and Brazil ( Amapá ); 23 collections studied (SU: 1; FG: 22)."
"taxon-3-Pulchranthus_variegatus","French Guiana","country","Distribution: Suriname , French Guiana and Brazil ( Amapá ); 23 collections studied (SU: 1; FG: 22)."
"taxon-3-Pulchranthus_variegatus","Brazil","country","Distribution: Suriname , French Guiana and Brazil ( Amapá ); 23 collections studied (SU: 1; FG: 22)."
"taxon-3-Pulchranthus_variegatus","Amapá","state","Distribution: Suriname , French Guiana and Brazil ( Amapá ); 23 collections studied (SU: 1; FG: 22)."
"taxon-21-RUELLIA","pantropical","world","Distribution: The second largest genus in the family with more than 250 species, pantropical and pansubtropical with a number of species in the temperate zones of both hemispheres ; in the Guianas 11 species."
"taxon-21-RUELLIA","pansubtropical","world","Distribution: The second largest genus in the family with more than 250 species, pantropical and pansubtropical with a number of species in the temperate zones of both hemispheres ; in the Guianas 11 species."
"taxon-21-RUELLIA","temperate zones of both hemispheres","world","Distribution: The second largest genus in the family with more than 250 species, pantropical and pansubtropical with a number of species in the temperate zones of both hemispheres ; in the Guianas 11 species."
"taxon-21-RUELLIA","Guianas","region","Distribution: The second largest genus in the family with more than 250 species, pantropical and pansubtropical with a number of species in the temperate zones of both hemispheres ; in the Guianas 11 species."
"taxon-1-Ruellia_amapensis","French Guiana","country","Distribution: French Guiana and Brazil ( Amapá ); 5 collections studied of which 2 from French Guiana (FG: 2)."
"taxon-1-Ruellia_amapensis","Brazil","country","Distribution: French Guiana and Brazil ( Amapá ); 5 collections studied of which 2 from French Guiana (FG: 2)."
"taxon-1-Ruellia_amapensis","Amapá","state","Distribution: French Guiana and Brazil ( Amapá ); 5 collections studied of which 2 from French Guiana (FG: 2)."
"taxon-2-Ruellia_geminiflora","Eastern Colombia","region","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
