wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000020565,Threat status,dd,Krishna N. et al.,,4743,CC0 1.0 Universal (CC0 1.0),"Krishna N. et al. 2020, A NEW SECTION (BEGONIA SECT. FLOCCIFERAE SECT. NOV.) AND TWO NEW SPECIES IN BEGONIACEAE FROM THE WESTERN GHATS OF INDIA, Edinburgh J. Bot. Vol.77(2) , pp.251-268 (https://doi.org/10.1017/S0960428619000349)",https://doi.org/10.1017/S0960428619000349
wfo-0000824041,Threat status,vu,Krishna N. et al.,,4749,CC0 1.0 Universal (CC0 1.0),"Krishna N. et al. 2020, A NEW SECTION (BEGONIA SECT. FLOCCIFERAE SECT. NOV.) AND TWO NEW SPECIES IN BEGONIACEAE FROM THE WESTERN GHATS OF INDIA, Edinburgh J. Bot. Vol.77(2) , pp.251-268 (https://doi.org/10.1017/S0960428619000349)",https://doi.org/10.1017/S0960428619000349
wfo-0000824041,Threat status,vu,"Pham V-T., Trinh N-B., Phan K-L. & Lin C-W.",,4646,CC0 1.0 Universal (CC0 1.0),"Pham V-T., Trinh N-B., Phan K-L. & Lin C-W. 2019, Two new species, Begonia dinhdui and B. bacmeensis (Begoniaceae), from Vietnam, Phytotaxa. Vol.427(1) , pp.22-30 (https://doi.org/10.11646/phytotaxa.427.1.3)",https://doi.org/10.11646/phytotaxa.427.1.3
wfo-1000020581,Threat status,dd,Krishna N. et al.,,4754,CC0 1.0 Universal (CC0 1.0),"Krishna N. et al. 2020, A NEW SECTION (BEGONIA SECT. FLOCCIFERAE SECT. NOV.) AND TWO NEW SPECIES IN BEGONIACEAE FROM THE WESTERN GHATS OF INDIA, Edinburgh J. Bot. Vol.77(2) , pp.251-268 (https://doi.org/10.1017/S0960428619000349)",https://doi.org/10.1017/S0960428619000349
wfo-1000020581,Threat status,dd,"Pham V-T., Trinh N-B., Phan K-L. & Lin C-W.",,4651,CC0 1.0 Universal (CC0 1.0),"Pham V-T., Trinh N-B., Phan K-L. & Lin C-W. 2019, Two new species, Begonia dinhdui and B. bacmeensis (Begoniaceae), from Vietnam, Phytotaxa. Vol.427(1) , pp.22-30 (https://doi.org/10.11646/phytotaxa.427.1.3)",https://doi.org/10.11646/phytotaxa.427.1.3
wfo-1000020593,Threat status,ne,Averyanov L.V. et al.,,4662,CC0 1.0 Universal (CC0 1.0),"Averyanov L.V. et al. 2019, Two new species of Begonia L. (Begoniaceae) from central Laos, Turczaninowia. Vol.22(2) , pp.134-141 (https://doi.org/10.14258/turczaninowia.22.2.9)",https://doi.org/10.14258/turczaninowia.22.2.9
wfo-1000020614,Threat status,dd and ne,Averyanov L.V. et al.,,4668,CC0 1.0 Universal (CC0 1.0),"Averyanov L.V. et al. 2019, Two new species of Begonia L. (Begoniaceae) from central Laos, Turczaninowia. Vol.22(2) , pp.134-141 (https://doi.org/10.14258/turczaninowia.22.2.9)",https://doi.org/10.14258/turczaninowia.22.2.9
wfo-1000020561,Threat status,dd,Shui Y.M. et al.,,4669,CC0 1.0 Universal (CC0 1.0),"Shui Y.M. et al. 2019, Two new cane-like species of Begonia L. (Begoniaceae) from central Vietnam, Phytotaxa. Vol.411(1) , pp.57-64 (https://doi.org/10.11646/phytotaxa.411.1.5)",https://doi.org/10.11646/phytotaxa.411.1.5
wfo-0000823717,Threat status,cr,"Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S.",,4678,CC0 1.0 Universal (CC0 1.0),"Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S. 2023, Re-establishment of Begonia corallina Carrière (Begoniaceae) based on morphoanatomical evidence, Phytotaxa. Vol.609(2) , pp.103-114.",
wfo-1000020571,Threat status,nt,Wahlsteen E.,,4692,CC0 1.0 Universal (CC0 1.0),"Wahlsteen E. 2019, A new species of Begonia L. (Begoniaceae) and some notes on Begonia difformis from Kachin, northern Myanmar, Phytotaxa. Vol.420(3) , pp.241-248 (https://doi.org/10.11646/phytotaxa.420.3.4)",https://doi.org/10.11646/phytotaxa.420.3.4
