wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0001345074,Threats,Least Concern as the species occurs within a Totally Protected Area and their habitat is not threatened by any local disturbance.,Sang J. & Kiew R.,,2802,CC0 1.0 Universal (CC0 1.0),"Sang J. & Kiew R. 2016, Begonia (Begoniaceae) from Batang Ai National Park and vicinity, Sarawak, Borneo, including six new species, Phytotaxa. Vol.252(1) , pp.017-039 (http://dx.doi.org/10.11646/phytotaxa.252.1.2)",http://dx.doi.org/10.11646/phytotaxa.252.1.2
wfo-1000039650,Threats,Least Concern as the species occurs within a Totally Protected Area and their habitat is not threatened by any local disturbance.,Sang J. & Kiew R.,,2808,CC0 1.0 Universal (CC0 1.0),"Sang J. & Kiew R. 2016, Begonia (Begoniaceae) from Batang Ai National Park and vicinity, Sarawak, Borneo, including six new species, Phytotaxa. Vol.252(1) , pp.017-039 (http://dx.doi.org/10.11646/phytotaxa.252.1.2)",http://dx.doi.org/10.11646/phytotaxa.252.1.2
wfo-0001345075,Threats,Least Concern as the species occurs within a Totally Protected Area and their habitat is not threatened by any local disturbance.,Sang J. & Kiew R.,,2814,CC0 1.0 Universal (CC0 1.0),"Sang J. & Kiew R. 2016, Begonia (Begoniaceae) from Batang Ai National Park and vicinity, Sarawak, Borneo, including six new species, Phytotaxa. Vol.252(1) , pp.017-039 (http://dx.doi.org/10.11646/phytotaxa.252.1.2)",http://dx.doi.org/10.11646/phytotaxa.252.1.2
wfo-1000039668,Threats,"—Only one population, including approximately 500 individuals, was observed along about 100 m long path and nearby on a Karst hill. Although the distribution site is only four kilometers away from the town of Leiping, the habit is relatively undisturbed by human activities due to a sparse and decreasing number of local residents. According to the IUCN red list categories and criteria (IUCN 2012), B. leipingensis should be assessed as Critically Endangered (CR) based on the present situation: restricted geographic range of less than 1 km2 with only one single location (CR:B2a) and about 300 mature individuals by estimation.",Li C. et al.,,2820,CC0 1.0 Universal (CC0 1.0),"Li C. et al. 2016, Begonia leipingensis (Begoniaceae), a new compound-leaved species with unique petiolule pattern from Guangxi of China, Phytotaxa. Vol.244(1) , pp.045-056 (http://dx.doi.org/10.11646/phytotaxa.244.1.3)",http://dx.doi.org/10.11646/phytotaxa.244.1.3
wfo-1000047083,Threats,"A small population of the new species is distributed in an area of about 1 km2 , which is not included in any protected forest, so that it may be threatened by Begonia collectors. According to IUCN (2019), the species may be listed as DD (Data Deficient). Future botanical surveys are needed for a complete conservation assessment of the species",Hoang T.S. & Lin C-W.,,2825,CC0 1.0 Universal (CC0 1.0),"Hoang T.S. & Lin C-W. 2023, A new species Begonia wiformis, and a new record of B. filiformis (B. sect. Coelocentrum, Begoniaceae) from nothern Vietnam, Phytotaxa. Vol.591(4) , pp.292-300.",
wfo-1200027190,Threats,"The recorded occurrences of the new subspecies were mostly obtained in protected areas, e.g. National Parks. The high protection is arguably reduced by threats caused by tourism activities. In Phisanulok province, this species creates a beautiful landscape by growing on the sandstone cliff along the trekking trail, which is a famous spot among tourists. Some of its populations are outside the protected area where the new taxon has been threatened by illegal trade in wild ornamental plants, and habitat infringement. Until now, there is still no conservation plan for the new subspecies at any of these localities. Further surveys are arguably required to obtain a more accurate description of the distribution of this species in Thailand but also in Laos, Myanmar and Vietnam. The currently known area of occupancy (AOO) has been estimated as 32 km2 (Bachman et al. 2011; http://geocat.kew.org/). Based on IUCN criteria, the status assigned is “Vulnerable” (VU: B2 a, c (iii, iv); C2 (ai, ii)) (IUCN 2019).","Radbouchoom S., Phutthai T., Schneider H.",,2837,CC0 1.0 Universal (CC0 1.0),"Radbouchoom S., Phutthai T., Schneider H. 2023, Begonia fimbristipula subsp. siamensis (sect. Diploclinium, Begoniaceae), a new taxon of the megadiverse genus endemic to Thailand, Phytotaxa. Vol.218 , pp.1-19.",
wfo-0000823335,Threats,"Least Concern. Although B. annulata has a small AOO of 68 km2 due to the small number of georeferenced specimens it has an EOO of 387,500 km2 , with a range that takes in the Eastern Himalayas and the Arakan mountains. The species is also recorded near the Royal Manas and Black Mountain National Parks of Arunachal-Pradesh and the Annapurna conservation area in Nepal.",Camfield R. & Hughes M.,,3651,CC0 1.0 Universal (CC0 1.0),"Camfield R. & Hughes M. 2018, A revision and one new species of Begonia L. (Begoniaceae, Cucurbitales) in Northeast India, Eur. J. Taxon. Vol.396 , pp.1-116 (https://doi.org/10.5852/ejt.2018.396)",https://doi.org/10.5852/ejt.2018.396
wfo-1000044608,Threats,"Data Deficient (IUCN, 2012). The full distribution of B. atrofusca in northeast Arunachal Pradesh is unknown. The species was only found at one location along the road in the vicinity of Mayodia Pass. There seem to be no prior collections of the species in herbaria. North of Mayodia, the road is poor, and several road construction projects are ongoing with devastating results for the environment.",Wahlsteen E. & Borah D.,,2844,CC0 1.0 Universal (CC0 1.0),"Wahlsteen E. & Borah D. 2022, A Checklist with Three New Species and Two New Country Records of Begonia from Dibang Valley, Arunachal Pradesh, India, Brittonia. Vol.74(4) , pp.403-418.",
wfo-1000044610,Threats,"Data Deficient (IUCN, 2012). The full distribution of Begonia lorentzonii in northeast Arunachal is unknown. The species has only been found at two localities along the road in the vicinity of Mayodia Pass, and there appear to be no previous collections of the species in herbaria. North of Mayodia several road construction projects are ongoing with devastating results for the environment.",Wahlsteen E. & Borah D.,,2849,CC0 1.0 Universal (CC0 1.0),"Wahlsteen E. & Borah D. 2022, A Checklist with Three New Species and Two New Country Records of Begonia from Dibang Valley, Arunachal Pradesh, India, Brittonia. Vol.74(4) , pp.403-418.",
wfo-1000020592,Threats,"Currently, the new species has been observed from several locations but all with very tiny populations. Most of the collections were made near Renqinbeng, with very few individuals occurring at the other places in Motuo County, Xizang. According to observations in the field, there are about 24 individuals on the slope of the mountains at Renqinbeng, and about 10 individuals nearby along the bank of the river. The surveys revealed that there are roughly 17 individuals per population, viz. totally about 34 individuals from the two combined populations. Although further survey work is needed to confirm the actual population size, this species is hereby proposed as “Endangered” (EN) based on the current data, which suggests it has a very narrow distribution range, as well as extremely small and severely fragmented populations (IUCN 2012, IUCN Standards and Petitions Subcommittee 2017).","Chen W.H., et al.",,2966,CC0 1.0 Universal (CC0 1.0),"Chen W.H., et al. 2019, A new berry-fruited species of Begonia (Begoniaceae) from Xizang (Tibet) in China, Phytotaxa. Vol.407(1) , pp.029-035 (https://doi.org/10.11646/phytotaxa.407.1.5)",https://doi.org/10.11646/phytotaxa.407.1.5
wfo-1000044612,Threats,"Data Deficient (IUCN, 2012). The full distribution of Begonia rushforthii in northeast Arunachal Pradesh is unknown",Wahlsteen E. & Borah D.,,2857,CC0 1.0 Universal (CC0 1.0),"Wahlsteen E. & Borah D. 2022, A Checklist with Three New Species and Two New Country Records of Begonia from Dibang Valley, Arunachal Pradesh, India, Brittonia. Vol.74(4) , pp.403-418.",
wfo-0000825528,Threats,"Least Concern. Begonia silletensis has an AOO of 44 km2 and an EOO of 87,700 km2 suggesting the species could be Vulnerable. There is, however, suitable habitat available in Northeast India, particularly the mountains of Arunachal-Pradesh and down into the Arakan mountain range. The species has been recorded near the Namphada Reserve and the Pakke Tiger Reserve.",Camfield R. & Hughes M.,,3789,CC0 1.0 Universal (CC0 1.0),"Camfield R. & Hughes M. 2018, A revision and one new species of Begonia L. (Begoniaceae, Cucurbitales) in Northeast India, Eur. J. Taxon. Vol.396 , pp.1-116 (https://doi.org/10.5852/ejt.2018.396)",https://doi.org/10.5852/ejt.2018.396
wfo-0000824723,Threats,"Begonia malindangensis is assigned a provisional status of Least Concern (LC), following the Red List criteria of the IUCN Standards and Petitions Subcommittee (2019). There are four localities known for this species with a combined extent of occurrence (EOO) of 12,661 km2 . Some of the localities are in protected areas (viz. Mt. Malindang, Mt. Kalatungan Range Natural Park and Mt. Apo) and flowering individuals are not vulnerable to any human interference or collecting","Naive M.A., Cababan, M.A.L., Lubos L.C. & Hughes M.",,2867,CC0 1.0 Universal (CC0 1.0),"Naive M.A., Cababan, M.A.L., Lubos L.C. & Hughes M. 2022, Taxonomy of the genus Begonia (Begoniaceae) in Mindanao, Philippines III: New insights into the morphology and distribution of Begonia malindangensis and B. mindanaensis, Phytotaxa. Vol.564(2) , pp.265-272.",
wfo-0000824828,Threats,"So far, two localities are known for this species including its type locality. In Mt. Malantaw, a few populations were observed (with ca. 50 mature individuals) in a limited area giving an approximate area of occupancy of 8,000 km2 when calculated in GeoCAT based on a user defined cell width of 2 km (Bachman et al. 2011). It was found growing near human settlement, thus, these populations are prone to the effects of anthropogenic activities such as slash and burn, conversion of forest to agricultural land and poaching. Hence we propose B. mindanaensis to be provisionally treated as “Endangered” (EN B2ab[iii]), following the Red List Criteria of the IUCN Standards and Petitions Subcommittee (2019).","Naive M.A., Cababan, M.A.L., Lubos L.C. & Hughes M.",,2872,CC0 1.0 Universal (CC0 1.0),"Naive M.A., Cababan, M.A.L., Lubos L.C. & Hughes M. 2022, Taxonomy of the genus Begonia (Begoniaceae) in Mindanao, Philippines III: New insights into the morphology and distribution of Begonia malindangensis and B. mindanaensis, Phytotaxa. Vol.564(2) , pp.265-272.",
wfo-1000049895,Threats,"Endangered EN B2ab(iii). This species is only known from a few collections, and some anthropogenic threats including agriculture and mining were observed near the collection localities. The type specimens were collected from lowland forests in a legally unprotected area near Poso Lake. Given the small EOO (687 km2) and AOO (24 km2), we consider the IUCN Red List Category (IUCN, 2019) of Endangered (EN) to be appropriate.","Muhammad F.R.M. Saleh*, Kurniawan P. Bandjolu, Wisnu H. Ardi, Daniel C. Thomas",,2878,CC0 1.0 Universal (CC0 1.0),"Muhammad F.R.M. Saleh*, Kurniawan P. Bandjolu, Wisnu H. Ardi, Daniel C. Thomas 2023, Begonia ranoposoensis (Begoniaceae), a new species from Sulawesi, Indonesia , Taiwania. Vol.68(2) , pp.180-184.",
wfo-1000025704,Threats,"Begonia catbensis is considered as a rare species because a single population with less than 200 mature individuals clustered into 10 clumps within an area of ca. 1 km2 has been recorded in Cat Ba National Park. Field observation shows that the single population is strictly managed and protected by the staff of the Cat Ba National Park and the number of individuals has been stable for at least two decades. Following the guidelines of the IUCN Red List Categories and Criteria version 14 (IUCN 2019), its conservation status is currently assessed as “Endangered” (D).",Dong L.N. et al.,,2884,CC0 1.0 Universal (CC0 1.0),"Dong L.N. et al. 2021, Begonia catbensis (sect. Coelocentrum, Begoniaceae), a new species from northern Vietnam, Phytokeys. Vol.179 , pp.1-12 (https://dx.do.org/10.3897/phytokeys.179.65812)",https://dx.do.org/10.3897/phytokeys.179.65812
wfo-1000025746,Threats,"This species is known only from one location in the Tenasserim Range along the Thailand-Myanmar border with an Extent of Occurrence (EOO) of less than 5 km2 , and an estimated known Area of Occupancy (AOO) around 0.5 km2 . Although it is not known if it occurs on the Myanmar side of the border, we believe it unlikely that even if it does, the EOO and AOO would be very greatly expanded over what is known. The known population occurs on a mountain ridge which attracts high numbers of camping tourists and which is not in a protected area. The large visitor numbers throughout the year might increase disturbance and could affect the survival chances of this species. The number of mature individuals is less than 200. It is assessed here as Critically Endangered, B1ab(iii), B2ab(iii), following the IUCN criteria (IUCN Standards and Petitions Subcommittee 2019).","Phutthai T., et al.",,2892,CC0 1.0 Universal (CC0 1.0),"Phutthai T., et al. 2021, Begonia sirindhorniana (Begoniaceae) a new species from Thailand, Thai Forest Bull., Bot. Vol.49(2) , pp.201-205 (https://doi.org/10.20531/tfb.2021.49.2.07)",https://doi.org/10.20531/tfb.2021.49.2.07
wfo-0001266577,Threats,"Least Concern. The species has an EOO of 179,130 km2 and an AOO of 108 km2 . The range of this recently described species could possibly be extended further, as it is likely more specimens will be found which are currently identified as the similar B. palmata. The specimens we have cited are split between Yunnan, China and the study area which are linked by the Arakan Mountains and the eastern end of the Himalayas, providing suitable habitat which is currently under-explored botanically",Camfield R. & Hughes M.,,3678,CC0 1.0 Universal (CC0 1.0),"Camfield R. & Hughes M. 2018, A revision and one new species of Begonia L. (Begoniaceae, Cucurbitales) in Northeast India, Eur. J. Taxon. Vol.396 , pp.1-116 (https://doi.org/10.5852/ejt.2018.396)",https://doi.org/10.5852/ejt.2018.396
