wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000039598,Distribution,Endemic to Peru and Cusco Region (Fig. 90A) where it is found in middle and possibly lower montane Forest at an elevation of ca 1150–2445 m a.s.l.,Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,Distribution,Known only from the Peruvian region of San Martín (Rioja Province).,Moonlight P.W. & Tebbitt M.C.,,50,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000825740,Distribution,Endemic to Peru and known from Cuzco and Puno Regions (Fig. 90A). Found in lower montane forests at 1400–1555 m a.s.l.,Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023730,Distribution,"Colombia, Ecuador, Guyana, Perú, Trinidad and Tobago, Venezuela.",Moonlight P.W. & Jara-Munoz O.A.,,59,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000823546,Distribution,"Colombia, Ecuador, Perú, Venezuela. Begonia buddleiifolia is known from the northern slopes of the Cordillera Oriental in Venezuela; the eastern slopes of the Cordillera Oriental in Colombia and the north of the Cordillera Occidental and Cordillera Central in Colombia; and the eastern slopes of the Andes and Amazonia in Ecuador and Perú.",Moonlight P.W. & Jara-Munoz O.A.,,54,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000823546,Distribution,"Known from Venezuela, Colombia, Ecuador, and Peru. Within Peru, known from Loreto, Amazonas, San Martín, Huánuco, Ucayali, and Pasco Regions (Fig. 78B) and found within Amazonian and lower montane forest at an elevation of 250–1350 m a.s.l.",Moonlight P.W. et al.,,5158,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824142,Distribution,"Trinidad and Tobago, Venezuela. Begonia glandulifera is known both from the Northern Range Mountains of Trinidad and the Serranía del Litoral mountains of the Peninsular de Paria in the Venezuelan state of Sucre.",Moonlight P.W. & Jara-Munoz O.A.,,58,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000824336,Distribution,Venezuela. Begonia humillima is known only from four collections on Sorte Mountain in María Lionza National Park in the State of Yaracuy at 780–1000 m. The species is described as creeping along rocks in humid evergreen forest,Moonlight P.W. & Jara-Munoz O.A.,,61,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000824419,Distribution,Guyana. Begonia jenmanii is known only from the Potaro River around the Kaieteur Falls and the Cerro Ayanganna on the border between the Potaro-Siparuni and Cuyuni-Mazaruni regions of Guyana. The latter locality is 20 km from the border with the Roraima State of Brazil and 100 km from the border with the Bolívar state of Venezuela. The environment appears suitable for B. jenmanii for ca. 15 km over each border before changing to savanna. It seems likely B. jenmanii also occurs in these areas.,Moonlight P.W. & Jara-Munoz O.A.,,63,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000824748,Distribution,Trinidad and Tobago. Begonia mariannensis is only known from the Marianne and Yarra rivers on the northern slope of the Northern Range of Trinidad. The species is described as growing in the shade of evergreen forest on riverside rocks.,Moonlight P.W. & Jara-Munoz O.A.,,66,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-1000039779,Distribution,Veneuela. Known only from talus slopes at ca. 1200 m on the Cerro Parú Tepui in the Amazonas province of Venezuela.,Moonlight P.W. & Jara-Munoz O.A.,,69,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-3400007585,Distribution,On a limestone outcrop in lowland Amazonian Peru to the east of the Chemillén Cordillera at an altitude of 430 m.,"Moonlight P.W., Reynel C., Tebbitt M.C.",,70,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Reynel C., Tebbitt M.C. 2017, Begonia elachista Moonlight & Tebbitt sp. nov., an enigmatic new species and a new section of Begonia (Begoniaceae) from Peru, Eur. J. Taxon. Vol.281 , pp.1-13.",
wfo-0001347788,Distribution,"Endemic to Peru and known from a single population in Oxapampa Province, Pasco Region (Fig. 78A). Found in Amazonian forest at an altitude of ca 430 m a.s.l.",Moonlight P.W. et al.,,5151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001347788,Distribution,"Begonia elachista is known only from the type locality in the Peruvian region of Pasco (Oxapampa Province) and has been collected on calcareous rocks by the entrance to a cave within primary lowland Amazonian forest, at an altitude of 430 m. It was observed growing on rocks free from other vascular plants in association with various bryophyte species in the almost continual shade of the surrounding forest.","Moonlight P.W., Reynel C., Tebbitt M.C.",,75,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Reynel C., Tebbitt M.C. 2017, Begonia elachista Moonlight & Tebbitt sp. nov., an enigmatic new species and a new section of Begonia (Begoniaceae) from Peru, Eur. J. Taxon. Vol.281 , pp.1-13.",
wfo-0000823284,Distribution,"Known from Ecuador, Peru, and Brazil. Within Peru, it has been collected in Amazonas, Huánuco, Loreto, San Martín, and Ucayali Regions.",Moonlight P.W. et al.,,5115,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823284,Distribution,"Begonia albomaculata has been collected in the Peruvian regions of Amazonas, Loreto, San Martín, Huánuco and Ucayali; the Brazilian state of Acre; and the Ecuadorian province of Pastaza.","Moonlight P.W., Hughes M., Tebbitt M.C.",,76,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
