wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000039598,Diagnostic,"Begonia erythrothrix Tebbitt& Moonlight is similar to B. thyrsoidea, differing by lacking an aerial stem and instead having a creeping rhizome (B. thyrsoidea has an aerial stem 15–30 cm long but lacks a rhizome), by its much shorter and thicker internodes (c.3 mm long and 1–8 mm diam. in B. erythrothrix versus 0.8–7.5 cm long and c.1 mm diam. in B. thyrsoidea), by its larger and more prominent stipules (3–10 × 2–3 mm in B. erythrothrix versus 1–5 × 0.75–2 mm in B. thyrsoidea), by its finely serrate leaf margin that lacks crenate lobes (B. thyrsoidea has leaf margins that are dentate and shortly crenately lobed), by its glandular-hispid pedicels (B. thyrsoidea has glabrous pedicels) and by its bright red flowers (the tepals of B. thyrsoidea are white with a pink flush on the outer surfaces of the outer pair).",Moonlight P.W. & Tebbitt M.C.,,45,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039598,Diagnostic,"Identification notesBegonia erythrothrix is the only Begonia species in Peru with a creeping, aboveground rhizome; four tepals on the staminate flower; and an indumentum of red, hispid hairs.",Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,Diagnostic,"Begonia speculum is most similar to B. lutea and B. cremnophila, sharing with both species its compact habit and subsymmetrical leaves but differing from both in having a true tuber (B. lutea and B. cremnophila have short, fleshy rhizomes), in its two- or three-locular ovaries (those of B. lutea and B. cremnophila are always three-locular) and in possessing bracteoles. Begonia speculum further shares its entire placentae with B. lutea but differs in its glabrous petioles, irregularly crenate leaf margins (those of B. lutea are irregularly biserrate) and white tepals (those of B. lutea are yellow). Begonia speculum can be further distinguished from B. cremnophila by its caulescent habit.",Moonlight P.W. & Tebbitt M.C.,,50,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000825740,Diagnostic,"Identification notes Unique among small tuberous begonias in Peru in its staminate flowers with its anthers united into a  2 mm long column. It is also unusual in its asymmetrical inflorescences, which are only found amongst tuberous Peruvian begonias in members of the octopetala group of B. sect. Eupetalum with many more tepals on both the staminate and pistillate flowers.",Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023730,Diagnostic,"Begonia section Pilderia appears from morphological and molecular evidence to be most closely related to B. rossmanniae A.DC. in the monotypic B. sect. Rossmannia (Klotzsch) A.DC. The two sections share a number of key characters, including semi-persistent to persistent bracteoles and a bisexual, asymmetric, terminal, thyrsoid inflorescence. The phylogeny in this paper confirms this relationship. The two sections differ in their indumenta: B. rossmanniae is entirely glabrous whereas all species in B. sect. Pilderia have indumenta of both glandular and non-glandular hairs. B. sect. Pilderia further differs in its female flowers with five petals (B. rossmanniae has two)",Moonlight P.W. & Jara-Munoz O.A.,,59,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-1200023730,Diagnostic,"Notes Along with B. sect. Australes (Tebbitt 2020), this section is unique among those found in Peru in that it has been revised in the light of phylogenetic evidence (Moonlight& Jara-Muñoz 2017). As currently circumscribed, the section includes all South American species with an asymmetrical, terminal inflorescence and an indumentum of glandular hairs. Most species are endemic to northern South America but the range of B. buddleiifolia reaches as far south as southern Peru.",Moonlight P.W. et al.,,5154,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823546,Diagnostic,"Identification notes Begonia buddleiifolia is a very distinctive species and is unique in Peru in both its bullate leaf lamina and in its asymmetrical, terminal inflorescence.",Moonlight P.W. et al.,,5158,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824142,Diagnostic,"B. glandulifera is most similar to B. jenmanii, although their ranges do not overlap. B. glandulifera can be distinguished through its branching habit (B. jenmanii has a non-branching habit) and its inflorescence, which is densely villous towards the apex (that of B. jenmanii is glabrous throughout).",Moonlight P.W. & Jara-Munoz O.A.,,58,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000824336,Diagnostic,"Begonia humillima is a highly distinct species and easily distinguished from all other Andean species in the genus by its combination of a creeping habit and thin, semi-transparent, transverse, ovate and bullate leaves. Bullate leaves are common in Andean Begonia but are not elsewhere found in combination with the habit and described for this species.",Moonlight P.W. & Jara-Munoz O.A.,,61,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-1000039779,Diagnostic,"Begonia tepuiensis is most similar to B. buddleiifolia but is distinguished from that species by its unbranched habit (B. buddleiifolia has frequently-branching stems); larger leaves to 18 cm (those of B. buddleiifolia rarely exceed 12 cm); its internodes, petioles, and inflorescences that are densely lanate throughout (those of B. buddleiifolia are sparsely to densely lanate); its lateral inflorescence with only cymose lateral branches branching one time (lower lateral branches in B. buddleiifolia are tyrsoid with lateral cymose branches branching two to four times); and its longer, lanceolate bracteoles from 8 to 9 mm (those of B. buddleiifolia are ovate and to 5 mm).",Moonlight P.W. & Jara-Munoz O.A.,,69,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-3400007585,Diagnostic,"Notes This is a monotypic section and the only endemic section of Begonia to Peru. It was erected by Moonlight& Tebbitt (2017a) based upon molecular evidence, which demonstrated that B. elachista was distantly related from all other tuberous Andean Begonia species and allied with two sections endemic to the Atlantic Rainforests of eastern South America. It is best recognised by its much smaller size (&lt; 3 cm tall vs  15 cm tall) and fewer stamens (two or four vs  5) than all other tuberous Andean begonias.",Moonlight P.W. et al.,,5147,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-3400007585,Diagnostic,"Begonia sect. Microtuberosa sect. nov. is most closely related to B. sect. Trachelocarpus and three species of B. sect. Gaerdtia. Both of these sections are endemic to eastern Brazil and differ markedly from sect. Microtuberosa sect. nov. in both their habit and floral characteristics (see Table 1). However, all three sections share their filaments fused at least at the base and B. sect. Microtuberosa sect. nov. further shares its androecium morphology with B. sect. Pereira and its lack of bracteoles with B. sect. Trachelocarpus. The majority of both floral and vegetative characters are, however, markedly different among the three sections.Begonia sect. Microtuberosa sect. nov. is readily identified as the only Neotropical section of Begonia with male flowers with four or fewer stamens, and the combination of ovaries with two or three locules and entire placentas, and a tuberous habit.","Moonlight P.W., Reynel C., Tebbitt M.C.",,70,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Reynel C., Tebbitt M.C. 2017, Begonia elachista Moonlight & Tebbitt sp. nov., an enigmatic new species and a new section of Begonia (Begoniaceae) from Peru, Eur. J. Taxon. Vol.281 , pp.1-13.",
wfo-0001347788,Diagnostic,Identification notes Begonia elachista is the smallest Begonia in Peru and possibly the world. It is the only South American Begonia that reaches &lt; 5 cm in height and has leaves that only reach 3 × 2.5 cm in size.,Moonlight P.W. et al.,,5151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001347788,Diagnostic,Begonia elachista is a highly distinct species with an unusual combination of features that is easily recognized as the only Peruvian species of Begonia that reaches maturity at fewer than 5 cm in height. It is also unique within Peru in having ovate leaves smaller than 3 × 3 cm and a combination of entire placentae and a tuberous habit.,"Moonlight P.W., Reynel C., Tebbitt M.C.",,75,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Reynel C., Tebbitt M.C. 2017, Begonia elachista Moonlight & Tebbitt sp. nov., an enigmatic new species and a new section of Begonia (Begoniaceae) from Peru, Eur. J. Taxon. Vol.281 , pp.1-13.",
wfo-0000823284,Diagnostic,"Identification notesBegonia albomaculata is most like B. chemillenensis Moonlight, and flowering individuals can be distinguished by their larger staminate flowers (up to 44 mm across vs up to 24 mm across) with around twice as many stamens (ca 40 vs ca 20). Sterile identification is more difficult but B. albomaculata can be distinguished by its generally larger leaves (up to 30 × 17 cm vs up to 25 × 10 cm), which are thicker and more succulent (those of B. chemillenensis are membranaceous).",Moonlight P.W. et al.,,5115,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039583,Diagnostic,"Identification notes Begonia chemillenensis is most similar to B. albomaculata (see Identification notes for B. albomaculata above) but may also be confused with B. maynensis. While B. chemillenensis usually has a cuneate leaf base on the narrow side of the leaf blade, it never has a cuneate base on both sides of the blade and is always broadly rounded on the broad side of the blade.",Moonlight P.W. et al.,,5120,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039583,Diagnostic,"Begonia chemillenensis Moonlight is most similar to B. albomaculata C.DC. but is best distinguished by its generally shorter petioles (those of B. albomaculata are 8– 22 cm long); narrower leaf blades (those of B. albomaculata are 7–17 cm wide); smaller, lanceolate to narrowly ovate outer male tepals with acute to obtuse apices (those of B. albomaculata are broadly ovate to orbicular, 8–22 × 4–18 mm, with obtuse to broadly rounded apices); c.20 stamens (B. albomaculata has c.40); and the perpendicular angle of the upper edge of the largest ovary and fruit wing relative to the ovary (that of B. albomaculata is ascending).","Moonlight P.W., Hughes M., Tebbitt M.C.",,79,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000824774,Diagnostic,"Identification notesBegonia maynensis is the most common terrestrial Begonia found in Amazonian and lower montane Peru with cuneate leaf bases and leaves clustered towards the apex of its stems. It is distinguished from B. buddleiifolia, which shares these characters, by its smooth and glabrous (vs bullate and glandular haired) leaf laminae.",Moonlight P.W. et al.,,5125,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,Diagnostic,Identification notesBegonia scorpiocaulis is the only Begonia species from Andean South America that has yellow flowers but no tuber.,Moonlight P.W. et al.,,5131,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,Diagnostic,"Begonia scorpiocaulis Moonlight& Tebbitt is most similar to B. chemillenensis, differing in its smaller size (B. scorpiocaulis is up to 20 cm tall, whereas B. chemillenensis reaches maturity at over 20 cm tall) and leaves (leaves in B. chemillenensis are rarely shorter than 15 cm and narrower than 5 cm; those of B. scorpiocaulis are known only to 12.5 × 3.5 cm), by its serrate bracts (B. chemillenensis has entire bracts), serrate, ovate bracteoles (B. chemillenensis has lanceolate, entire bracteoles), its bright orange female flowers (those of B. chemillenensis are white), and its largest fruit wing with a straight top edge ascending to 2 mm above the ovary (B. chemillenensis has straight, horizontal or convex top edge ascending to c.2 mm above the ovary).Begonia scorpiocaulis is a poorly known species and its male flowers, fruits and seeds are unknown. However, it is readily identified by its serrate bracts and bracteoles, its unusual orange flowers, and its smaller leaves than the closely related Begonia chemillenensis.","Moonlight P.W., Hughes M., Tebbitt M.C.",,87,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000003272,Diagnostic,"Begonia amoeboides is most similar to B. lophoptera Rolfe, but differs in its deciduous and lanceolate stipules (persistent and ovate in B. lophoptera), five tepals on the female flower (two in B. lophoptera), multifid styles (bifid in B. lophoptera), and its stamen number (60–100 in B. amoeboides, 25–35 in B. lophoptera).",Moonlight P.W. & Reynel C.,,92,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Reynel C. 2018, Two new species of Begonia from Andean Peru, Phytotaxa. Vol.381(1) , pp.116-126.",
wfo-1000003272,Diagnostic,"Identification notes Within its range, B. amoeboides can only be confused with B. lophoptera. When in flower, these two species can easily be distinguished by the number of petals on the pistillate flower (five in B. amoeboides vs two in B. lophoptera) but they are difficult to distinguish when sterile. Begonia amoeboides can be identified by its straight, reniform leaves, which lack a distinct apex (transverse, ovate, and with a distinct apex in B. lophoptera) and its deciduous, lanceolate stipules (vs persistent and reniform to ovate or rarely broadly lanceolate).",Moonlight P.W. et al.,,4823,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003299,Diagnostic,"Begonia lamolina is most similar to B. lophoptera Rolfe, differing in its deciduous and lanceolate stipules, acuspidate leaves, glabrous sepals on the staminate and pistillate flowers, pistillate flowers with 3 bracteoles, and its spreading styles",Moonlight P.W. & Reynel C.,,94,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Reynel C. 2018, Two new species of Begonia from Andean Peru, Phytotaxa. Vol.381(1) , pp.116-126.",
wfo-1000003299,Diagnostic,"Identification notes Begonia lamolina is most likely to be confused with B. lophoptera. It differs in its deciduous, lanceolate stipules (vs persistent, reniform to ovate stipules), acuspidate leaves (vs cuspidate leaves), and its glabrous tepals on both the staminate and pistillate flowers (vs pilose on the outer surface of the tepals in both the staminate and pistillate flowers).",Moonlight P.W. et al.,,4845,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824637,Diagnostic,"Begonia lophoptera is distinct among Bolivian Begonia as a short (up to 1 m), succulent herb with cuspidate leaves with no single, distinct apex. Unlike other members of Begonia sect. Cyathocnemis or members of Begonia sect. Hydristyles, this species has no primary vein but several, equally prominent veins. It is also unique in its nodding fruits with a notched largest fruit wing. This species may occasionally be confused with young individuals of Begonia parviflora, but it has a soft indumentum rather than the abrasive indumentum of B. parviflora.",Moonlight P.W. & Fuentes A.F.,,192,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
