WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-4000005012,general,EN,"Solitary, dioecious, pleonanthic palm trees. Leaves induplicate, costapalmate; leaf sheath splitting to the base, fibrous along margins, with additional triangular cleft below the petiole; petiole robust, deeply channelled above, margins smooth and very sharp; adaxial hastula well developed, abaxial hastula reduced or absent, blade deeply divided into several folded segments, these further parted into single-folded segments, transverse veinlets conspicuous. Inflorescences interfoliar, dimorphic, enclosed at the base in the prophyll and one to few peduncular bracts, more or less drooping at anthesis. Male inflorescences branched to second order, male rachillae with tight spiral of imbricate bracts, subtending and covering sympodial flower clusters of 2–6 flowers, male flowers exserted one at a time as they pass into anthesis, stamens 6–15, pistillode minute to absent. Female inflorescence spicate or with few branches, with tight spiral of overlapping bracts, each subtending a single female flower, this much larger than male flower and only partly covered by the bracts, staminodes much reduced, gynoecium globose, 3-loculate with sessile stigmas. Fruit large, rounded, usually 3-seeded, rarely with fewer seeds, epicarp smooth, mesocarp fibrous, endocarp around individual pyrenes very thick and grooved. Seed with homogeneous endosperm.</br></br>Two species, Peninsular Thailand, Peninsular Malaysia, Borneo. One species in Thailand.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000005012,Forest Herbarium,All rights reserved,"Borassodendron  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 337. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05102,11,3
wfo-0000350280,general,EN,"Massive, solitary tree palm, up to 20 m tall. Stem 20–30 cm diam. Leaves 40–45 in crown; petiole 3–4 m long; costa 80–100 cm long; lamina 3–3.5 m across; deeply divided into 70–80 segments, these 140–170 cm long, dark green on both surfaces, and further divided to about the middle in more or less drooping, one folded segments, giving an overall untidy appearance to the leaf. Inflorescences up to 8 on one palm, drooping; male inflorescence with 20–40 cm long peduncle, rachis 1–1.5 m long with 5–9 first order branches each bearing 3–4 rachillae clustered towards the apex; rachillae 30–40 cm long, 4–6 cm diam., male flowers 1.7–2 cm long at anthesis; female inflorescence with 30–50 cm long peduncle, rachis 40–60 cm long, unbranched or with up to 3 flower bearing branches; female flowers 2.8–3.2 cm long at anthesis. Fruit obovoid, 8–16 by 7–13 cm, yellowish-black at maturity.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000350280,Forest Herbarium,All rights reserved,"Borassodendron machadonis . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 339. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05103,11,3
wfo-4000005013,general,EN,"Solitary, dioecious, pleonanthic palm trees. Leaves induplicate, costapalmate; leaf sheath splitting to the base, fibrous along margins, with additional triangular cleft below the petiole; petiole robust, flattened adaxially, margins armed with short spines, irregular in size and shape; adaxial hastula well developed, abaxial hastula a low ridge; blade divided approximately halfway to the middle in stiff, bifid, single-folded segments, transverse veinlets conspicuous. Inflorescence interfoliar, dimorphic, enclosed at the base by the prophyll, peduncular bracts lacking or highly reduced. Male inflorescences branched to second order, male rachillae with tight spiral of imbricate bracts, subtending and covering sympodial flower clusters of 4–7 flowers, exserted one at a time as they pass into anthesis, stamens 6, pistillode minute. Female inflorescence spicate or with few branches, with tight spiral of overlapping bracts, each subtending a single pistillate flower, this much larger than male flower and only partly covered by the bracts, staminodes much reduced, gynoecium globose, three-loculate with sessile stigmas. Fruit large, rounded, usually 3-seeded, rarely less, epicarp smooth, mesocarp fibrous, endocarp around individual pyrenes hard and bony. Seed with homogeneous endosperm.</br></br>Five species in NE Tropical Africa, Madagascar, Tropical Asia, Malesia. One species in Thailand, possibly native, but widely cultivated.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000005013,Forest Herbarium,All rights reserved,"Borassus  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 339. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05104,11,3
wfo-0000350367,general,EN,"Solitary tree palm, up to 20 m tall. Stem grey and clean or sometimes covered to the base by persistent leaf bases, 25–30 cm diam. Leaves 40–50 in crown, lower ones marcescent; petiole 1.5–2 m long; costa 0.6–1.1 m long; lamina 1.2–1.8 m across, undulate and untidy looking, parted about halfway in 60–65 stiff, single-folded segments, green on both surfaces. Male inflorescence with 50–60 cm long peduncle, rachis 40–50 cm long with 5–7 first order branches each bearing 2–3, 35–50 cm long rachillae; male flowers 0.5–0.7 cm long at anthesis; female inflorescence with 40–50 cm long peduncle, rachis 20–85 cm long, unbranched, rarely with a few additional flower bearing branches; female flowers 2.8–3.2 cm long at anthesis. Fruit obovoid, 10–12 by 8–10 cm, leaden blue to black at maturity.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000350367,Forest Herbarium,All rights reserved,"Borassus flabellifer . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 341. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05105,11,3
wfo-4000005953,general,EN,"Solitary or clustering, stemless to high-climbing or erect pleonanthic dioecious rattans; sheaths usually heavily armed with spines, the spines frequently highly organized; flagellum (sterile inflorescence) often present, borne on the leaf sheath, sometimes absent and replaced by a cirrus at the end of the leaf, very rarely both present or both absent; knee often present; ocrea sometimes well developed, usually inconspicuous. Male and female inflorescences superficially similar, often ending in a long flagellum, sometimes with gradual succession of branches, often with discrete distant branches (partial inflorescences); bracts always tubular at the base, rarely with broad limbs splitting down one side but, if so, then the base always tubular and unsplit, bracts variously armed; partial inflorescences usually much longer than the subtending bract, very rarely shorter, floral bracteoles inconspicuous. Male flower solitary in each rachilla bract, with cup-shaped calyx, usually with 3 well defined lobes; corolla split almost to the base into 3 petals; stamens 6 (very rarely 12), very shortly epipetalous; pistillode minute. Female flower borne together with a sterile male flower as a pair; sterile male flower like the fertile male, but with empty anthers; female flower usually larger than the male, with calyx shallowly 3-lobed; corolla with 3 petals; staminodes 6, joined basally to form a ring; ovary tipped with 3 stigmas and covered with reflexed scales; locules 3 with one ovule in each. Fruit variously shaped, covered in reflexed scales. Seed usually one only, rarely 3 developing, very variable in shape, covered in a thin to thick sarcotesta; endosperm homogeneous or ruminate; embryo basal or lateral. Seedling leaf bifid or pinnate.</br></br>About 388 species: Africa, Sri Lanka, India and South China, southwards through Malesia to Australia and Fiji. Reaches its greatest diversity in Peninsular Malaysia and Borneo with a secondary centre of diversity in New Guinea. Fifty four species with two subspecies and four varieties in Thailand.</br></br>Calamus can only be identified to genus by a combination of characters. Together with Ceratolobus, Daemonorops and Pogonotium it forms a group of closely related genera in which the female inflorescence bears dyads – pairs of flowers, each consisting of a female flower together with a sterile male flower – while the male inflorescence bears male flowers singly. The differences between these genera are based mostly on the overall structure of the inflorescence, in particular the nature of the bracts. The most reliable character separating Calamus is the persistent tubular nature of the bracts. Some generalisations can be made – rattans with flagella must belong to Calamus, though not all species of Calamus bear flagella. Rattans with subcirrate leaves are usually species of Calamus. If the endosperm is homogeneous, then the rattan cannot belong to Daemonorops, but ruminate endosperms are found in both genera. The differences are summarized in the key to genera. With practice the genera are eventually easily distinguished.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000005953,Forest Herbarium,All rights reserved,"Calamus  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 341. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05106,11,3
wfo-0000753883,general,EN,"Dwarf acaulescent rattan. Stem very short, bulbous, erect, usually mostly subterranean, up to c. 5 cm diam. Leaves ecirrate, to 1.5 m long; leaf bases thick, leathery, surrounding the bulbous stem; knee absent; flagellum absent; petiole up to 90 cm long, the sheathing base split open, tubular only in the young state, distally petiole c. 0.5 cm wide, sparsely armed with yellow spines to 0.5 cm long; leaflets to 14 on each side of the rachis, arranged in groups of 2–3, held in different planes, the whole leaf hence plumose, longest leaflets 15–23 by 0.8–1.5 cm, armed with abundant stiff yellow spines on adaxial surface of the midrib and along margins. Inflorescences erect, 0.4–1.1 m long, male and female superficially similar, the male branching to 1 or 2 orders, the female to 1 order. Fruit c. 1.2 by 0.9 cm, ± rounded, with a short beak to 0.2 cm, and covered in 13–14 vertical rows of ivory-coloured scales with dark margins. Seed c. 0.7 by 0.6 by 0.4 cm; endosperm homogeneous.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000753883,Forest Herbarium,All rights reserved,"Calamus acanthophyllus . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 346. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05107,11,3
wfo-0000753905,general,EN,"Solitary or sparsely clustering rattan. Stems climbing to 30 m or more long, without sheaths c. 0.9 cm diam., with sheaths 1.5–2.5 cm diam., internodes 20–30 cm long. Leaf ecirrate; sheath dark green with scattered pale brown indumentum and abundant fragile spines, mostly slender, needle-like, 0.5–1 cm long, scattered in between larger bulbous based spines to 1.2 cm long; knee conspicuous, more sparsely armed than the rest of the sheath; ocrea short, to 1 cm long, covered in abundant dark spines to 0.3 cm long; flagellum to 1.5 m long; petiole short, to 3 cm long; rachis to 1 m long, bearing 9–10, regularly arranged, broad lanceolate, acuminate, concolorous, dark green leaflets, bearing abundant bristles along margins and on upper surface of veins. Inflorescences rather stiff, 0.7–1.4 m long, rather distant partial inflorescences, male and female superficially similar, male branching to 3 orders, the female to 2, with c. 5 rather distant, evenly spaced partial inflorescences with recurved axes; male rachillae 6–7 by 0.2 cm; female rachillae 5–7 by 0.3 cm, with very conspicuous flower cluster scars. Mature fruit ovoid, c. 2.4 by 1.5 cm, shortly beaked, covered in 13 vertical rows of yellowish-green scales with reddish margins, drying dark brown. Seed ovoid c. 1.8 by 1 cm; endosperm ruminate.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000753905,Forest Herbarium,All rights reserved,"Calamus acanthospathus . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 347. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05108,11,3
wfo-0000754099,general,EN,"Moderate to robust clustering erect rattan showing no tendency to climb. Stems to 10 m long, 6.5 cm diam., internodes short, to 10 cm long. Leaf ecirrate; sheaths green, open and tubular only at the base, armed densely with scattered or partially whorled flattened black spines, to 4 cm long; ocrea present; knee absent; flagellum absent; petiole 0.5–1.5 m long, densely armed with flattened black spines to 8 cm long, arranged in partial whorls; rachis to 2.5–4 m long; leaflets 25–90 on each side of the rachis, regularly arranged, ± lanceolate, adaxially dark green, abaxially with a dense layer of whitish indumentum, the largest to 1 by 0.06 m. Inflorescences to 2.5 m long, without terminal flagellum, male and female superficially similar, the male branched to 3 orders, the female to 2 orders; primary bracts splitting and tattering at their tips; partial inflorescences up to 15, to 60 cm long; male rachillae 12–19 by 0.3 cm, female to 18 by 0.4 cm. Fruits obovoid to ellipsoid, to 2.2 by 0.5 cm, shortly beaked and covered in 12 vertical rows of reddish-brown deeply channelled scales. Seed 1.2 by 0.6 cm, irregularly pitted; endosperm homogeneous. Seedling leaf not recorded.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000754099,Forest Herbarium,All rights reserved,"Calamus arborescens . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 349. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05109,11,3
wfo-0000754207,general,EN,"Clustering moderate high-climbing rattan. Stems to 40 m or more long, without sheaths to 1.3 cm diam., with sheaths to 2.5 cm diam., internodes to 15 cm long at maturity, longer in juvenile stems. Leaf cirrate; sheaths dull green, armed with scattered, green, basally pale, black-tipped spines to 2.5 by 0.5 cm, with much smaller spines scattered in between; knee conspicuous; ocrea dark brown, tattering, to 0.6 cm high; leaf to 2 m long including the cirrus to 75 cm; petiole either absent or rather short, sparsely armed, channelled on the upper surface; leaflets c. 20 on each side of the rachis, subregularly arranged near the base, in pairs distally or in pairs throughout, the longest to c. 45 by 4 cm, sometimes much shorter and broader, very slightly bristly at the tip, concolorous. Male and female inflorescences superficially similar, the male branched to 3 orders, the female to two orders, 0.8–1.2 m long, with c. 6 partial inflorescences to 15 cm long; rachillae reflexed, male to 2.5 cm long, the female to c. 6 cm long. Mature fruit ovoid, c. 1.1 by 0.9 cm, shortly beaked, covered in up to 26 rows of dull straw-coloured overlapping scales. Seed to 0.8 by 0.5 by 0.4 cm; endosperm homogeneous. Seedling leaf not recorded.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000754207,Forest Herbarium,All rights reserved,"Calamus axillaris . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 349. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05110,11,3
wfo-0000754262,general,EN,"Solitary or clustering moderate rattan. Stem climbing to 15 m or more, without sheaths c. 1 cm diam., with sheaths to c. 2 cm diam., internodes to c. 10 cm long. Leaf ecirrate; sheaths rather densely armed with dark brown spines of varying length, reflexed or patent, the longest to 5 cm long, 0.5 cm wide at the base, spines around the leaf sheath mouth erect, to 10 cm long, brown indumentum abundant between spines; knee conspicuous; ocrea inconspicuous; flagellum to 2 m long; petiole to 15 cm long; rachis to 1.85 m long, it and the petiole rather densely covered with pale to mid-brown indumentum and scattered spines, particularly along margins; leaflets to c. 50–90 on each side of the rachis, regularly arranged, close, linear, the largest to 28 by 1.6 cm, adaxially with 3 veins, bristly, abaxially very densely armed with minute bristles. Inflorescences flagellate, male and female superficially similar, to c. 3.5 m long, with 5–9 partial inflorescences, the male branched to 3 orders, the female to 2; male rachillae c. 1.5 by 0.3 cm; female rachillae to 7.5 by 0.15 cm. Mature fruit unknown; immature fruit green with 22 vertical rows of scales.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000754262,Forest Herbarium,All rights reserved,"Calamus balingensis . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 350. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05111,11,3
