WFOID,countryCode,locationID,locality,establishmentMeans,source,bibliographicCitation,URI
wfo-0000199575,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia pulla. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 33. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00662
wfo-0000213155,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia purpurea. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 7. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00626
wfo-0000213166,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia racemosa. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 14. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00637
wfo-0000199579,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia ridleyi. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 34. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00663
wfo-0000199581,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia saccocalyx. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 20. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00644
wfo-0000199582,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia saigonensis. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 35. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00665
wfo-0000197019,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia scandens. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 25. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00652
wfo-0000199592,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia similis. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 37. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00667
wfo-0000199594,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia strychnifolia. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 24. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00650
wfo-0000213258,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia tomentosa. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 14. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00636
wfo-0000199598,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia tubicalyx. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 27. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00654
wfo-0000213330,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia variegata. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 11. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00633
wfo-0000196990,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia viridescens. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 16. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00638
wfo-0001388119,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia viridescens hirsuta. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 17. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00640
wfo-0000196995,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia viridescens viridescens. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 16. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00639
wfo-0000199604,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia winitii. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 21. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00645
wfo-0000197050,TH,THA,Thailand,Managed,Flora of Thailand,"Bauhinia yunnanensis. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 22. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00646
wfo-0000321708,TH,THA,Thailand,Managed,Flora of Thailand,"Beaumontia grandiflora. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 101. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02232
wfo-0000321774,TH,THA,Thailand,Managed,Flora of Thailand,"Beaumontia macrantha. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 101. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02233
wfo-0000321794,TH,THA,Thailand,Managed,Flora of Thailand,"Beaumontia multiflora. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 103. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02234
wfo-0000321804,TH,THA,Thailand,Managed,Flora of Thailand,"Beaumontia murtonii. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 103. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02235
wfo-0001128375,TH,THA,Thailand,Managed,Flora of Thailand,"Belvisia annamensis. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 521. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0701
wfo-0001230270,TH,THA,Thailand,Managed,Flora of Thailand,"Belvisia henryi. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 520–521. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0700
wfo-0001115943,TH,THA,Thailand,Managed,Flora of Thailand,"Belvisia mucronata. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 520. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0699
wfo-0000147896,TH,THA,Thailand,Managed,Flora of Thailand,"Belvisia revoluta. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 521–522. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0702
wfo-0000508548,TH,THA,Thailand,Managed,Flora of Thailand,"Benincasa pruriens. Flora of Thailand. Vol. 9. Part 4, 2008. Pg. 421. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03983
wfo-0000508549,TH,THA,Thailand,Managed,Flora of Thailand,"Benincasa pruriens hispida. Flora of Thailand. Vol. 9. Part 4, 2008. Pg. 421. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03984
wfo-0000564422,TH,THA,Thailand,Managed,Flora of Thailand,"Berrya cordifolia. Flora of Thailand. Vol. 6. Part 1, 1993. Pg. 69. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01563
wfo-0000564428,TH,THA,Thailand,Managed,Flora of Thailand,"Berrya mollis. Flora of Thailand. Vol. 6. Part 1, 1993. Pg. 70. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01564
wfo-0000565432,TH,THA,Thailand,Managed,Flora of Thailand,"Biophytum adiantoides. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 20. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00037
wfo-0000565517,TH,THA,Thailand,Managed,Flora of Thailand,"Biophytum petersianum. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 18. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00033
wfo-0000565522,TH,THA,Thailand,Managed,Flora of Thailand,"Biophytum reinwardtii. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 19. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00035
wfo-0000565531,TH,THA,Thailand,Managed,Flora of Thailand,"Biophytum sensitivum. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 19. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00034
wfo-0000565549,TH,THA,Thailand,Managed,Flora of Thailand,"Biophytum thorelianum. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 20. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00036
wfo-0000342237,TH,THA,Thailand,Managed,Flora of Thailand,"Bischofia javanica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 124. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03227
wfo-0000342784,TH,THA,Thailand,Managed,Flora of Thailand,"Blachia andamanica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 127. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03229
wfo-0000342951,TH,THA,Thailand,Managed,Flora of Thailand,"Blachia siamensis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 127. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03230
wfo-0001280636,TH,THA,Thailand,Managed,Flora of Thailand,"Blastus borneensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 417. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02599
wfo-0001121797,TH,THA,Thailand,Managed,Flora of Thailand,"Blechnum indicum. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 300. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0419
wfo-0001107240,TH,THA,Thailand,Managed,Flora of Thailand,"Blechnum orientale. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 298. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0417
wfo-0000346903,TH,THA,Thailand,Managed,Flora of Thailand,"Blumeodendron kurzii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 130. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03232
wfo-0000346984,TH,THA,Thailand,Managed,Flora of Thailand,"Blumeodendron tokbrai. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 131. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03233
wfo-0000770592,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa aubertii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 366. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02531
wfo-0001066601,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa aubertii aubertii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 367. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02532
wfo-0000770593,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa aubertii echinosperma. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 367. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02533
wfo-0000770609,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa japonica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 368. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02534
wfo-0000773026,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa japonica japonica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 368. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02534
wfo-0000770622,TH,THA,Thailand,Managed,Flora of Thailand,"Blyxa quadricostata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 368. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02536
wfo-0000567916,TH,THA,Thailand,Managed,Flora of Thailand,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502
wfo-0000567944,TH,THA,Thailand,Managed,Flora of Thailand,"Boerhavia erecta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01503
wfo-0001125337,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis angustipinna. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 311. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0435
wfo-0001114885,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis appendiculata. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 316–317. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0443
wfo-0000146743,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis copelandii. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 312. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0437
wfo-0001125338,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis costata. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 311–312. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0436
wfo-0001117296,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis heteroclita. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 320–321. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0449
wfo-0001043580,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis hookeriana. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 317–318. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0444
wfo-0001257601,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis scalpturata. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 312–313. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0438
wfo-0000146793,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis sinensis. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 318–319. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0445
wfo-0000146794,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis sinuata. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 321. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0450
wfo-0001127909,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis tonkinensis. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 319–320. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0448
wfo-0001115227,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis virens. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 314–315. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0440
wfo-0001381624,TH,THA,Thailand,Managed,Flora of Thailand,"Bolbitis virens compacta. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 316. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=F0442
wfo-0000341695,TH,THA,Thailand,Managed,Flora of Thailand,"Bolboschoenus maritimus. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 271. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01830
wfo-0000341696,TH,THA,Thailand,Managed,Flora of Thailand,"Bolboschoenus maritimus affinis. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 271. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01831
wfo-0000568339,TH,THA,Thailand,Managed,Flora of Thailand,"Bombax anceps. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 11. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03680
wfo-0000568340,TH,THA,Thailand,Managed,Flora of Thailand,"Bombax anceps cambodiense. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 11. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03681
wfo-0000568369,TH,THA,Thailand,Managed,Flora of Thailand,"Bombax ceiba. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 13.. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03682
wfo-0000568432,TH,THA,Thailand,Managed,Flora of Thailand,"Bombax insigne. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 15. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03683
wfo-0001115231,TH,THA,Thailand,Managed,Flora of Thailand,"Botrychium lanuginosum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 39–40. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0063
wfo-0000364477,TH,THA,Thailand,Managed,Flora of Thailand,"Botryophora geniculata. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 132. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03235
wfo-0000367704,TH,THA,Thailand,Managed,Flora of Thailand,"Bousigonia angustifolia. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 22. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02141
wfo-0000570356,TH,THA,Thailand,Managed,Flora of Thailand,"Brachylophon anastomosans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 297. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01413
wfo-0000570357,TH,THA,Thailand,Managed,Flora of Thailand,"Brachylophon curtisii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 297. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01414
wfo-0000570662,TH,THA,Thailand,Managed,Flora of Thailand,"Brachystemma calycinum. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 419. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01276
wfo-0000570704,TH,THA,Thailand,Managed,Flora of Thailand,"Brackenridgea hookeri. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 27. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00045
wfo-0000570710,TH,THA,Thailand,Managed,Flora of Thailand,"Brackenridgea palustris. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 27. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00046
wfo-0001122823,TH,THA,Thailand,Managed,Flora of Thailand,"Brainea insignis. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 302. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0423
wfo-0000570797,TH,THA,Thailand,Managed,Flora of Thailand,"Brandisia discolor. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 143. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01076
wfo-0000410969,TH,THA,Thailand,Managed,Flora of Thailand,"Bretschneidera sinensis. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 239. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01345
wfo-0000412023,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia coronata. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 134. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03237
wfo-0000412068,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia discigera. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 134. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03238
wfo-0000412593,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia fruticosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 136. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03239
wfo-0000412635,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia glauca. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 136. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03240
wfo-0000413990,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia racemosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 138. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03241
wfo-0000414213,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia retusa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 139. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03242
wfo-0000415036,TH,THA,Thailand,Managed,Flora of Thailand,"Breynia vitis-idaea. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03243
wfo-0000415424,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia affinis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 142. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03245
wfo-0000417578,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia cinnamomea. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 142. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03246
wfo-0000417921,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia curtisii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 143. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03247
wfo-0000418760,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia glauca. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 145. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03248
wfo-0000419825,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia harmandii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 146. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03249
wfo-0000420159,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia insulana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 146. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03250
wfo-0000423275,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia ovata. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 147. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03251
wfo-0000424897,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia retusa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 148. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03252
wfo-0000427631,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia stipularis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 149. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03253
wfo-0000428079,TH,THA,Thailand,Managed,Flora of Thailand,"Bridelia tomentosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03254
wfo-0000572659,TH,THA,Thailand,Managed,Flora of Thailand,"Brownlowia emarginata. Flora of Thailand. Vol. 6. Part 1, 1993. Pg. 13. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01515
wfo-0000572679,TH,THA,Thailand,Managed,Flora of Thailand,"Brownlowia peltata. Flora of Thailand. Vol. 6. Part 1, 1993. Pg. 14. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01516
wfo-0000572690,TH,THA,Thailand,Managed,Flora of Thailand,"Brownlowia tersa. Flora of Thailand. Vol. 6. Part 1, 1993. Pg. 12. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01514
wfo-0000572705,TH,THA,Thailand,Managed,Flora of Thailand,"Brucea javanica. Flora of Thailand. Vol. 2. Part 4, 1981. Pg. 442. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00587
wfo-0000572711,TH,THA,Thailand,Managed,Flora of Thailand,"Brucea mollis. Flora of Thailand. Vol. 2. Part 4, 1981. Pg. 442. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00588
wfo-0000572742,TH,THA,Thailand,Managed,Flora of Thailand,"Bruguiera cylindrica. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 9. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00015
wfo-0000572750,TH,THA,Thailand,Managed,Flora of Thailand,"Bruguiera hainesii. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 10. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00016
wfo-0000572758,TH,THA,Thailand,Managed,Flora of Thailand,"Bruguiera parviflora. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 9. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00014
wfo-0000572763,TH,THA,Thailand,Managed,Flora of Thailand,"Bruguiera sexangula. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 8. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00013
wfo-0000573560,TH,THA,Thailand,Managed,Flora of Thailand,"Buchnera cambodiana. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 230. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01202
wfo-0000573579,TH,THA,Thailand,Managed,Flora of Thailand,"Buchnera cruciata. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 230. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01203
wfo-0000573786,TH,THA,Thailand,Managed,Flora of Thailand,"Buchnera tetrasticha. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 229. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01201
wfo-0000573923,TH,THA,Thailand,Managed,Flora of Thailand,"Buddleja asiatica. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 656. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02820
wfo-0000574133,TH,THA,Thailand,Managed,Flora of Thailand,"Buddleja macrostachya. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 659. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02821
wfo-0000574137,TH,THA,Thailand,Managed,Flora of Thailand,"Buddleja madagascariensis. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 659. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02822
wfo-0000574187,TH,THA,Thailand,Managed,Flora of Thailand,"Buddleja paniculata. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 660. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02823
wfo-0000342079,TH,THA,Thailand,Managed,Flora of Thailand,"Bulbostylis barbata. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 345. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01934
wfo-0000342153,TH,THA,Thailand,Managed,Flora of Thailand,"Bulbostylis densa. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 343. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01932
