wfo_id,description,type,contributor,source,bibliographicCitation,url,rights
wfo-1000052031,"It has been collected growing next to a small river in a steep-sided valley in tall, broadleaved montane rainforest at an elevation of 1305 m (Fig. 3). The upper slopes of the Sierra del Merendón have a bedrock of metamorphic rocks (schist and gneiss; Martin et al., 2021).",Ecology,Moonlight P.W. & Kelly D.L.,6160,"Moonlight P.W. & Kelly D.L. 2024, Two New Critically Endangered Species of Begonia sect. Gireoudia (Begoniaceae) from Mesoamerica, Novon. Vol.32.",https://doi.org/10.3417/2024844,CC0 1.0 Universal (CC0 1.0)
wfo-1000052032,Montane forest.,Ecology,Moonlight P.W. & Kelly D.L.,6166,"Moonlight P.W. & Kelly D.L. 2024, Two New Critically Endangered Species of Begonia sect. Gireoudia (Begoniaceae) from Mesoamerica, Novon. Vol.32.",https://doi.org/10.3417/2024844,CC0 1.0 Universal (CC0 1.0)
wfo-0000824410,"We documented B. jagori from Mt. Malinao (Map 1), where populations were observed to be restricted in the upper elevations from 800–1100 masl. The plant grows in a semi-shaded environment on moist loam soil.The plant grows in a semi-shaded environment on moist loam soil.",Ecology,"Dela Cruz C.J.P., Collantes J.P.R., Bustamante R.A.A. & Ang Y.P.",6175,"Dela Cruz C.J.P., Collantes J.P.R., Bustamante R.A.A. & Ang Y.P. 637, Insights on Begonia jagori (Begoniaceae), a cryptic species of Albay Province, Luzon Island, Philippines, Phytotaxa. Vol.3(2024) , pp.291-295.",https://doi.org/10.11646/phytotaxa.637.3.8,CC0 1.0 Universal (CC0 1.0)
wfo-1000062270,"The plants bloom from June to October, the fruits ripen from July to November. This new species grows on the rock surface usually with moss or in the rock crevices of Danxia landscape under the secondary forests at altitude of 280–600 m. ",Ecology,"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X.",6179,"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X. 2024, Two new species of Begoniaceae from China mainland , Taiwania. Vol.69(1) , pp.89-98.",https://doi.org/10.2139/ssrn.6512705,CC0 1.0 Universal (CC0 1.0)
wfo-1000062271,"The plants bloom January to March, the fruits ripen March to May in the wild, and the cultivated plants in greenhouse start to bloom as early as middle December. The species grows on soil land or rock surface of shady place under forest near the waterfalls.",Ecology,"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X.",6185,"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X. 2024, Two new species of Begoniaceae from China mainland , Taiwania. Vol.69(1) , pp.89-98.",https://doi.org/10.2139/ssrn.6512705,CC0 1.0 Universal (CC0 1.0)
wfo-1000062272,"Begonia floriprolifera grows on the rocky surface or in the rock crevices of the cave mouth or inside and the places under the forest near the waterfalls, at an altitude of 100–500 m",Ecology,"Zhou J., Song Q., Zhao F., Hoang T.S., Tao D., Guan S., Yan H., Tian D.",6189,"Zhou J., Song Q., Zhao F., Hoang T.S., Tao D., Guan S., Yan H., Tian D. 2024, Begonia floriprolifera, a new Species of Begonia（Begoniaceae）from Southwestern Guangxi of China and Northern Vietnam, Taiwania. Vol.69(1) , pp.83-88.",https://doi.org/10.3897/phytokeys.256.145725,CC0 1.0 Universal (CC0 1.0)
wfo-1000056838,"Observed f lowering and fruiting from March to June. It grows on rocks and verti-cal cliffs in shady areas at elevations of 200–500 meters above sea level. In the type locality, the plant associated with B. sebodensis includes Homalomena philippinensis Engl. (Araceae), Monophyllaea merrilliana Kraenzl. (Gesneriaceae), and species of Ficus L. (Moraceae), Elatostema J.R.Forst. &amp; G.Forst. (Urticaceae), and Calamus L. (Arecaceae).",Ecology,"Mazo K.R.F., Salatan N.L. & Rubite R.",6202,"Mazo K.R.F., Salatan N.L. & Rubite R. 2023, A new species of Begonia section Baryandra from Zamboanga Peninsula, Southwestern Philippines, Webbia. Vol.78(2) , pp.87-92.",https://doi.org/10.36253/jopt-15028,CC0 1.0 Universal (CC0 1.0)
wfo-1000062274,Observed flowering and fruiting in April to June.,Ecology,"Blasco F.A., Alejandro G.J.D., Tandang D.N. & Rubite R.R.",6208,"Blasco F.A., Alejandro G.J.D., Tandang D.N. & Rubite R.R. 2024, Begonia abhak (section Petermannia, Begoniaceae) a new species from Lanuza, Surigao del Sur, Philippines, Webbia. Vol.79(1) , pp.47-50.",https://doi.org/10.36253/jopt-15356,CC0 1.0 Universal (CC0 1.0)
wfo-1000070969,"The new species usually grows in moist shady places near waterfalls, along streams and occasionally on the sandstone slopes covered by evergreen broad-leaved forests at elevations of 400600 m a.s.l. Common plants in habitats of Begonia nahauensis are Alocasia sp., Asplenium normale D.Don, Arisaema claviforme P.Bruggeman, Begonia longifolia Blume, Caryodaphnopsis tonkinensis (Lecomte) Airy Shaw, Cyathea contaminans (Wall. ex Hook.) Copel., Epipremnum pinatum (L.) Schott., Lasianthus sp., Leptomischus multiflorus Nuraliev, K.S.Nguyen &amp; L.Wu, Myrioneuron tonkinense Pit., Musa lutea R.V.Valmayor, D.D.Lê &amp; Häkkinen.",Ecology,"Bui, D.T. et al.",6214,"Bui, D.T. et al. 2024, Begonia nahauensis (sect. Platycentrum, Begoniaceae), a new species from northern Vietnam, Phytotaxa. Vol.662(1) , pp.115-120.",https://doi.org/10.11646/phytotaxa.662.1.10,CC0 1.0 Universal (CC0 1.0)
wfo-1000075589,It has been collected at an elevation of 63 –126 m in the Atlantic Rainforest and grows primarily on the top and side of large boulders surrounding small watercourses.,Ecology,"Jacques E.d.L., Moonlight P.W. & dos Santos Junior, A.",6221,"Jacques E.d.L., Moonlight P.W. & dos Santos Junior, A. 2024, Begonia tamoiana (Begoniaceae), a new species from Atlantic Forest of Rio de Janeiro State, Brazil, Phytotaxa. Vol.669(2) , pp.159-164.",https://doi.org/10.11646/phytotaxa.669.2.8,CC0 1.0 Universal (CC0 1.0)
