wfo_id,description,data_type,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1200002469,"The subspecies typically occurs in moist locations, often growing on rocky damp cliffs in wet gullies in the shade of Polylepis Ruiz& Pav., Alnus Mill. or Eucalyptus L’Hér., at an altitude of 1210–3362 m. Because this subspecies inhabits moist shady streamside microhabitats, it is remarkable in occurring in this microhabitat in an otherwise semiarid landscape.",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,4,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824813,Rocky humid slopes in montane grassland from 2000 to 3500 m.,Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,9,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824816,"Begonia micranthera subsp. rhacophylla var. rhacophylla occurs in and on the margins of Tucumano–Boliviano forest, where it is commonly found on wet seeps on and at the base of cliffs, at an altitude of 1400–2700 m. This taxon often occupies sites that are both wetter and less likely to dry up during the growing season than those of all other infraspecific taxa of Begonia micranthera. However, it does occasionally occur in relatively dry situations on open montane pasture, but in these situations the plants are often somewhat stunted. Begonia micranthera subsp.rhacophylla grows in both shade and full sun but is typically found in open sunny areas, unlike subsp. micranthera and subsp. albonervia, which usually prefer shaded localities.",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,13,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824814,"Growing on open earth slopes, usually near streams.",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,23,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200002470,Growing on earth banks among herbaceous vegetation on the Yungas forest edge.,Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,18,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200023981,"Typically found in semideciduous tropical forest or Tucumano–Boliviano forest and neighbouring montane grassland, often on rocky slopes or ravines near streams, in semi- to deep shade. Usually growing at altitudes of 1000–3400 m but down to 440 m in some Argentinian populations (e.g. Bailetti 475).",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,32,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1000039768,"Begonia speculum grows as a lithophytic herb on limestone in subtropical to montane forest at an altitude of 1335–1800 m. It typically grows on vertical rocks under a dense canopy, with its tuber covered in either moss or alkaline soil. Associated species include two undescribed and distantly related Begonia species.",Habitat,Moonlight P.W. & Tebbitt M.C.,,39,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039768,"Found in lower montane forest at an elevation of 1300–1800 m a.s.l. where it grows directly on limestone in the shade of montane forest and with its tuber buried in alkaline soil. Begonia speculum Moonlight& Tebbitt has been collected from two populations in Bosque de Protección Alto Mayo and identified from photographs taken by Wenbo Chen of a third population ca 7.5 km ESE of Nuevo Cajamarca (5°58′17″ S, 77°21′57″ W; [1300 m a.s.l.]). As a tuberous herb, B. speculum presumably has a dormant period but it has been collected in flower and fruit in February and July, so it remains unclear when this is.",Habitat,Moonlight P.W. et al.,,5226,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001146119,"Typically found in semideciduous tropical forest or Tucumano–Boliviano forest and neighbouring montane grassland, often on rocky slopes or ravines near streams, in semi- to deep shade. Usually growing at altitudes of 1000–3400 m but down to 440 m in some Argentinian populations (e.g. Bailetti 475).",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,36,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1000039598,Grows on steep cliff faces in cloud forest at an altitude of 1750–2445 m.,Habitat,Moonlight P.W. & Tebbitt M.C.,,45,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039598,Found in middle and possibly lower montane Forest at an elevation of ca 1150–2445 m a.s.l. Begonia erythrothrix is rhizomatous and may die back to its rhizome at some point of the year. The species has been collected in flower and fruit in June and July.,Habitat,Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,"Begonia thyrsoidea typically grows in shady, humid situations, on vertical surfaces of large moss-covered rocks, within subtropical forest, at altitudes between 1240 and 1950 m.",Habitat,Moonlight P.W. & Tebbitt M.C.,,50,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000825740,"Found in lower montane forests at 1400–1555 m a.s.l. on moist, shaded cliffs. As a tuberous herb, B. thyrsoidea presumably dies back to its tuber in the dry season and flowers in the wet season (January to March).",Habitat,Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823546,Found within Amazonian and lower montane forest at an elevation of 250–1350 m a.s.l. Begonia buddleiifolia is scarce in Peru where it is typically collected on rock or soil banks adjacent to streams and rivers. We suspect that it may have a broader distribution within Peru than detailed here.,Habitat,Moonlight P.W. et al.,,5158,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001347788,"Found in Amazonian forest at an altitude of ca 430 m a.s.l., where it has been collected on a small, limestone outcrop and the surrounding rocks. Begonia elachista is tuberous and may be dormant during the dry season.",Habitat,Moonlight P.W. et al.,,5151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
