wfo_id,description,data_type,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000823323,"Ervas a subarbustos terrestres, 0,5 -2m, glabriúsculos; caule cilíndrico, ereto a escandente, entrenós (1,4-) 2-5(-7)cm.&nbsp;Folhas com estípulas persistentes, oblongas a obovais, ápice mucronulado, eretas, com crista de tricomas no dorso, 1,2 -1,7(-1,9)x0,5-0,8cm; pecíolo esparsamente piloso, cilíndrico, (1-)1,5-3,5(-4)cm; lâmina basifixa, inteira, oblíqua, oval-lanceolada, assimétrica, 6,5-10,5(-12,5)x1,5 -2,5cm, palmatinérvea, 5 -7 nervuras, lobo basal arredondado a quadrangular, 1,5 -2,5(-3,5) x 1,5 -2,5cm, margem denteado -serrilhada, ápice acuminado, face adaxial verde, pubérula, abaxial levemente avermelhada, pubérula.&nbsp;Cimeira 3 -5-ramificada; pedúnculo (7-)10 -16(-18)cm, pubérulo a glabrescente; brácteas caducas, oblongas, ápice mucronulado, róseas, dorso com crista de tricomas, 6 -11x&nbsp;1-4mm. Flores masculinas com 4 tépalas, alvas, glabras, as externas ovais, (7-)10 -13x&nbsp;5 -8mm, as internas obovais a&nbsp;elípticas, 6-8(-10)x&nbsp;2-3mm; estames (17-)20-35(-38),&nbsp;anteras rimosas, filetes livres, conectivos proeminentes;&nbsp;flores femininas com 2 profilos, tardiamente caducos,&nbsp;lanceolados, inconspícuos; tépalas 5, alvas, glabras, 4&nbsp;ovais, 7 -10x&nbsp;3-6mm, 1 elíptica, 6-8x&nbsp;2-4mm; placentas&nbsp;inteiras, ramos do estilete espiralados, papilas dispostas em faixa distinta.&nbsp;Cápsula oblonga a elíptica, glabra,&nbsp;8-13x&nbsp;5 -7mm, alas desenvolvidas, diferentes entre si, a&nbsp;maior aguda, 7 -10x&nbsp;6-8mm; sementes cilíndricas.",Management,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",,779,CC0 1.0 Universal (CC0 1.0),"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf
wfo-1000029532,"Monoecious terrestrial perennial herbs, ca. 9 cm tall. Underground rhizome is brown to green with a shade of light brown, prostrate, terete, short, stout, about 8 cm long, 6.7–7.2 mm thick, glabrous, associated few lenticels, internode 8.3–11.1 mm long. Stipules persistent, membranous, red or light pink to light brown, ovatetriangular, asymmetric, cucullate, 11.45–14.14 mm long, broadside 7.2–8.2 mm wide, narrow side 4.0–4.5 mm wide, prominently keeled at base to apex, keel with long red hairs on the abaxial part, 11.3–13.2 mm long, extending up to the apex, margin entire, conduplicate at the upper part, apex acute to acuminate. Leaves alternate, petioles are light brown, terete, erect, 4.7–5.1 mm thick at base, becoming narrow 3.5–3.8 mm at the middle, and 2.4–3.1 mm at tip, entirely glabrous. Leaf blades pale to dark green, glossy above, whitish-green below, minutely puncticulate, coriaceus, surface glabrous, broadly asymmetric broadly ovate, 7.8–9.5 cm from point of attachment towards the tip, up to 10.4–13 cm from the longest basal lobe to the apex by 6.5–7 cm at widest point, base inequilateral cordate, margin repand or repand-lobed to sharply toothed, apex acuminate. Young foliage light-brown to light pink on adaxial and abaxial side, glossy, suborbicular with prominent venation below, margin strongly curved forming deeply-crenate lobes with light-pink outline, succulent and glabrous. Venation basally, 5–8 nerves, divided into 2 secondary veins, with reticulate tertiary veins arrangement, all veins prominent above, only primary veins below raised near the petioles becoming sunken towards the margin. Bracts caducous. Inflorescence axillary, erect, dichotomously branched 3 or 4 times; pedicel white; peduncle light brown to green towards the tip, terete, ca. 8–11 cm long, glabrous; bracteoles caducous on old branches, present on young ones, ovate, 3–5 nerved, margin entire, apex subobtuse, glabrous. Staminate flower: pedicel 9.1–9.2 × 0.8–0.9 mm, terete, erect to slightly curve at top, glabrous, outer 2 broadly ovate or orbicular-ovate, 8.2–9(–10) × 8.0–8.3(–8.8) mm, margin entire, rounded at apex, inner 2 oblanceolate to narrowly obovate, 7.1–7.5(–8.4) × 2.5–4.4(–4.5) mm, margin entire, apex rounded to slightly retuse; androecium actinomorphic, 3.0–3.6 mm wide, stamens 47–53, filaments 0.8–1.0 × 0.07–0.1 mm, joined at base; anthers yellow, obovoid, 0.8–0.9 × 0.6–0.8 mm, retuse at apex. Pistillate flower: pedicel white, erect, 7.5–7.7 × 0.7–1.1 mm; tepals 4, white, glabrous, outer 2, broadly ovate or orbicular-ovate, 10.3–11.3 × 9.2–9.9 mm, margin entire, apex rounded, inner 2, oblanceolate to narrowly obovate, 8.9–9.2 × 2.6–2.7 mm, margin entire, apex rounded; ovary pinkish-white, trigonose-obovate, 6.4–7.1 × 4.1–4.6 mm (excluding wings), glabrous, base and apex somewhat acute; 3-winged, greenish-white, wings unequal, crescent-shaped with entire margin, 9.4–10.6 mm long, abaxial wings much wider, 2.8–5.5 mm than lateral wings, 2.8–3.9 mm wide; 3-locules, placentae axile; styles 3, united at base, light green, stigmas 2-cleft, twisted, papillose and yellow green. Capsules brown, pedicel 15.6 mm long, curved downward; body trigonous-oblong, green, 7.4–9.9 × 3.5–4.0 mm (wings excluded), slightly curved, base and apex acute, glabrous, wings unequal 8.6–9.7 mm long, crescent-shaped, abaxial wing broader, 3.3–5.5 mm wide, lateral wings 2.8–3.9 mm wide.",Management,Angeles M.D. et al.,,1498,CC0 1.0 Universal (CC0 1.0),"Angeles M.D. et al. 2022, Begonia normaaguilariae (section Baryandra, Begoniaceae), a new species from the limestone forests of Samar Island, Philippines, Phytotaxa. Vol.541(1) , pp.049-056 (https://doi.org/10.11646/phytotaxa.541.1.4)",https://doi.org/10.11646/phytotaxa.541.1.4
