wfo_id,description,data_type,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000824078,"mata atlântica de altitude, crescendo sobre árvores ou rochas. Coletada com flores em maio e entre agosto e&nbsp;novembro, com frutos de setembro a dezembro.",Habit,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",,825,CC0 1.0 Universal (CC0 1.0),"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf
wfo-0000824768,"Floresta ombrófila submontana. A espécie cresce sobre afloramentos rochosos, sendo também encontrada em áreas de plantação de cacau. Foi encontrada com flores e frutos em outubro.",Habit,"Gregório B.d.S., Costa J.A.S. & Rapini A.",,481,CC0 1.0 Universal (CC0 1.0),"Gregório B.d.S., Costa J.A.S. & Rapini A. 2016, Flora da Bahia: Begoniaceae, Sitientibus série Ciências Biológicas. (16) , pp.16-52.",
wfo-0000823724,"mata de encosta. Coletada com flores de outubro a novembro, com frutos até março.",Habit,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",,810,CC0 1.0 Universal (CC0 1.0),"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf
wfo-0000824311,"floresta ombrófila densa. Coletada com flores de dezembro a fevereiro, com frutos até abril.",Habit,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",,844,CC0 1.0 Universal (CC0 1.0),"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf
wfo-0000823365,No data available.,Habit,Tebbitt M.C.,,1124,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2005, THREE NEW SPECIES AND A NEW SUBSPECIES OF BEGONIA (BEGONIACEAE) FROM ASIA, Edinburgh J. Bot. Vol.61(2-3) , pp.91-107 (https://journals.rbge.org.uk/ejb/article/view/1830)",https://journals.rbge.org.uk/ejb/article/view/1830
wfo-1000020570,The species grows on shaded moist boulders and cliffs along the stream in a secondary forest between 150–250 m elevation.,Habit,Pranada M.A.K. et al.,,4702,CC0 1.0 Universal (CC0 1.0),"Pranada M.A.K. et al. 2019, Begonia depressinerva (sect. Baryandra, Begoniaceae), a new species from Luzon Island, the Philippines, Phytotaxa. Vol.425(3) , pp.154-162 (https://doi.org/10.11646/phytotaxa.425.3.5)",https://doi.org/10.11646/phytotaxa.425.3.5
