wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000956241,240968055,31658,Eugenia acunae,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Eugenia,acunae,,,,Alain,Critically Endangered,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2025-1.rlts.t31658a240968055.es,"(2022). Eugenia acunae: Gómez Hechavarría, J.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2025-1.rlts.t31658a240968055.es"
wfo-0000957381,240968173,240960625,Eugenia galeata,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Eugenia,galeata,,,,Urb.,Critically Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t240960625a240968173.es,"(2023). Eugenia galeata: Acosta, Z. &amp; Testé, E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t240960625a240968173.es"
wfo-0000956501,240968272,31660,Eugenia bayatensis,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Eugenia,bayatensis,,,,Urb.,Critically Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v); D",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2025-1.rlts.t31660a240968272.es,"(2023). Eugenia bayatensis: Gómez Hechavarría, J.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2025-1.rlts.t31660a240968272.es"
wfo-0000458827,241155123,241153009,Thouinia hypoleuca,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Thouinia,hypoleuca,,,,Borhidi,Critically Endangered,"B2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t241153009a241155123.es,"(2022). Thouinia hypoleuca: Hérnandez-Rodríguez, S. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t241153009a241155123.es"
wfo-0000653211,241155503,32972,Doerpfeldia cubensis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,RHAMNACEAE,Doerpfeldia,cubensis,,,,(Britton) Urb.,Critically Endangered,C2a(i),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t32972a241155503.es,"(2022). Doerpfeldia cubensis: González Gutiérrez, P., Bonet, W. &amp; Hérnandez-Rodríguez, S. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t32972a241155503.es"
wfo-0001252977,241173895,31684,Ximenia roigii,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,XIMENIACEAE,Ximenia,roigii,,,,León,Critically Endangered,D,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t31684a241173895.es,"(2022). Ximenia roigii: Gómez Hechavarría, J.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t31684a241173895.es"
wfo-0000476197,241174049,31630,Pisonia ekmanii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,NYCTAGINACEAE,Pisonia,ekmanii,,,,Heimerl,Critically Endangered,"B1ab(ii,iii,v); D",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t31630a241174049.es,"(2022). Pisonia ekmanii: Gómez Hechavarría, J.L., González Gutiérrez, P., Leyva, O. &amp; Carmenate, W. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t31630a241174049.es"
wfo-0000532664,241174611,241163574,Amyris lineata,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,RUTACEAE,Amyris,lineata,,,,C.Wright ex Griseb.,Critically Endangered,C2a(i),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2025-1.rlts.t241163574a241174611.es,"(2022). Amyris lineata: González-Oliva, L., Gómez Hechavarría, J.L., Bécquer, E.R., Oviedo, R., León, J. &amp; Díaz-Hernández, I.D. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2025-1.rlts.t241163574a241174611.es"
wfo-0000613351,241175026,38837,Coccoloba retirensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Coccoloba,retirensis,,,,R.A.Howard,Critically Endangered,"B2ab(ii,iii); D",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t38837a241175026.es,"(2022). Coccoloba retirensis: González-Oliva, L., Gómez Hechavarría, J.L. &amp; Acosta, Z. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t38837a241175026.es"
wfo-0000830034,241175535,241168255,Chionanthus bakeri,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,OLEACEAE,Chionanthus,bakeri,,,,(Urb.) Stearn,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2025-1.rlts.t241168255a241175535.es,"(2022). Chionanthus bakeri: Díaz-Hernández, I.D. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2025-1.rlts.t241168255a241175535.es"
