wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000609388,558142,151756,Cleistocactus winteri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,winteri,,,,D.R.Hunt,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151756a558142.en,"(2010). Cleistocactus winteri: Lowry, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151756a558142.en"
wfo-0000661163,558601,151760,Echinocereus barthelowanus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinocereus,barthelowanus,,,,Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151760a558601.en,"(2012). Echinocereus barthelowanus: Gómez-Hinostrosa, C., Hernández, H.M. &amp; León de la Luz, J.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151760a558601.en"
wfo-0000712597,561045,151783,Gymnocalycium oenanthemum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,oenanthemum,,,,Backeb.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151783a561045.en,"(2010). Gymnocalycium oenanthemum: Demaio, P., Perea, M. &amp; Trevisson, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151783a561045.en"
wfo-0000662240,564164,151811,Echinopsis pampana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinopsis,pampana,,,,(Britton & Rose) D.R.Hunt,Endangered,A2acd,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151811a564164.en,"(2011). Echinopsis pampana: Cáceres, F., Roque, J. &amp; Ostalaza, C. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151811a564164.en"
wfo-0000676028,564478,151813,Eriosyce calderana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,calderana,,,,(F.Ritter) Ferryman,Endangered,C2a(i),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151813a564478.en,"(2011). Eriosyce calderana: Faundez, L., Guerrero, P., Saldivia, P. &amp; Walter, H.E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151813a564478.en"
wfo-0000399824,564735,151816,Rebutia krugerae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rebutia,krugerae,,,,(Cárdenas) Backeb.,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151816a564735.en,"(2011). Rebutia krugerae: Lowry, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151816a564735.en"
wfo-0000570827,566581,151834,Brasilicereus phaeacanthus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Brasilicereus,phaeacanthus,,,,(Gürke) Backeb.,Endangered,A2ac,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151834a566581.en,"(2010). Brasilicereus phaeacanthus: Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151834a566581.en"
wfo-0001288159,568005,151846,Rebutia glomeriseta,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rebutia,glomeriseta,,,,Cárdenas,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151846a568005.en,"(2010). Rebutia glomeriseta: Lowry, M. &amp; Carr, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151846a568005.en"
wfo-0000686253,569326,151857,Ferocactus chrysacanthus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Ferocactus,chrysacanthus,,,,(Orcutt) Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151857a569326.en,"(2012). Ferocactus chrysacanthus: León de la Luz, J.L., Gómez-Hinostrosa, C. &amp; Hernández, H.M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151857a569326.en"
wfo-0000652228,569762,151860,Disocactus macdougallii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Disocactus,macdougallii,,,,(Alexander) Barthlott,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151860a569762.en,"(2009). Disocactus macdougallii: Arias, S. &amp; Ishiki, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151860a569762.en"
wfo-0000609371,569955,151862,Cleistocactus sulcifer,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,sulcifer,,,,(Rauh & Backeb.) Leuenb.,Endangered,B1ab(iii),3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151862a569955.en,"(2011). Cleistocactus sulcifer: Ostalaza, C., Cáceres, F. &amp; Roque, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151862a569955.en"
wfo-0000619509,571255,151874,Consolea spinosissima,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Consolea,spinosissima,,,,(Mill.) Lem.,Endangered,B1ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151874a571255.en,"(2011). Consolea spinosissima: Negrón-Ortiz, V. &amp; Griffith, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151874a571255.en"
wfo-0001256050,571378,151875,Parodia muricata,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,muricata,,,,(Otto ex Pfeiff.) Hofacker ,Endangered,A4ac,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151875a571378.en,"(2010). Parodia muricata: Larocca, J. &amp; Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151875a571378.en"
wfo-0000652220,571763,151878,Disocactus eichlamii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Disocactus,eichlamii,,,,(Weing.) Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151878a571763.en,"(2009). Disocactus eichlamii: Véliz, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151878a571763.en"
wfo-0001288671,572095,151881,Mammillaria schumannii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,schumannii,,,,Hildm.,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151881a572095.en,"(2012). Mammillaria schumannii: León de la Luz, J.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151881a572095.en"
wfo-0001287012,576736,151923,Pediocactus paradinei,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pediocactus,paradinei,,,,B.W.Benson,Endangered,B1ab(iv)c(iv),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151923a576736.en,"(2010). Pediocactus paradinei: Butterworth, C. &amp; Porter, J.M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151923a576736.en"
wfo-0000614661,577267,151928,Coleocephalocereus goebelianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coleocephalocereus,goebelianus,,,,(Vaupel) Buining,Endangered,A2c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151928a577267.en,"(2010). Coleocephalocereus goebelianus: Braun, P., Machado, M. &amp; Taylor, N.P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151928a577267.en"
wfo-0000651956,578020,151934,Discocactus ferricola,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Discocactus,ferricola,,,,Buining & Brederoo,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151934a578020.en,"(2010). Discocactus ferricola: Braun, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151934a578020.en"
wfo-0000439202,578806,151940,Schlumbergera orssichiana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Schlumbergera,orssichiana,,,,Barthlott & McMillan,Endangered,"B1ab(iii,v)",3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151940a578806.en,"(2010). Schlumbergera orssichiana: Taylor, N.P. &amp; Zappi, D. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151940a578806.en"
wfo-0001284283,580168,151951,Yavia cryptocarpa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Yavia,cryptocarpa,,,,R.Kiesling & Piltz,Endangered,B1ab(v),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151951a580168.en,"(2010). Yavia cryptocarpa: Kiesling, R. &amp; Ortega-Baes, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151951a580168.en"
wfo-0001288326,580432,151953,Rebutia albipectinata,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rebutia,albipectinata,,,,Rausch,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151953a580432.en,"(2010). Rebutia albipectinata: Lowry, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151953a580432.en"
wfo-0000397806,584224,151987,Pfeiffera micrantha,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pfeiffera,micrantha,,,,(Vaupel) P.V.Heath,Endangered,"B1ab(i,iii)",3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151987a584224.en,"(2011). Pfeiffera micrantha: Cáceres, F. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151987a584224.en"
wfo-0000712350,586668,152008,Gymnocalycium amerhauseri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,amerhauseri,,,,H.Till,Endangered,D,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152008a586668.en,"(2010). Gymnocalycium amerhauseri: Demaio, P. &amp; Trevisson, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152008a586668.en"
