wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000133627,5994236,165235,Centaurea pseudoleucolepis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Centaurea,pseudoleucolepis,,,,Kleopow,Extinct,,3.1,,Global & Europe,https://doi.org/10.2305/iucn.uk.2011-1.rlts.t165235a5994236.en,"(2010). Centaurea pseudoleucolepis: Melnyk, V. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2011-1.rlts.t165235a5994236.en"
wfo-0000061375,8844089,191546,Vernonia sechellensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Vernonia,sechellensis,,,,Baker,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2011-2.rlts.t191546a8844089.en,"(2007). Vernonia sechellensis: Ismail, S., Huber, M.J. &amp; Mougal, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2011-2.rlts.t191546a8844089.en"
wfo-0000254524,8860728,193438,Oeceoclades seychellarum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Oeceoclades,seychellarum,,,,(Rolfe ex Summerh.) Garay & P.Taylor,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2011-2.rlts.t193438a8860728.en,"(2007). Oeceoclades seychellarum: Gerlach, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2011-2.rlts.t193438a8860728.en"
wfo-0000722234,9536660,30397,Hibiscadelphus wilderianus,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Hibiscadelphus,wilderianus,,,,Rock,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30397a9536660.en,"(1998). Hibiscadelphus wilderianus: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30397a9536660.en"
wfo-0000493004,9544750,30406,Santalum fernandezianum,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,SANTALACEAE,Santalum,fernandezianum,,,,F.Phil.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30406a9544750.en,"(1998). Santalum fernandezianum: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30406a9544750.en"
wfo-0000924272,9560184,30527,Casearia tinifolia,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Casearia,tinifolia,,,,Vent.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30527a9560184.en,"(1998). Casearia tinifolia: Strahm, W. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30527a9560184.en"
wfo-0000722230,9577547,30774,Hibiscadelphus bombycinus,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Hibiscadelphus,bombycinus,,,,C.N.Forbes,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30774a9577547.en,"(1998). Hibiscadelphus bombycinus: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30774a9577547.en"
wfo-0000356227,9577749,30777,Kokia lanceolata,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Kokia,lanceolata,,,,Lewton,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30777a9577749.en,"(1998). Kokia lanceolata: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30777a9577749.en"
wfo-0000830892,9590372,30919,Cyanea giffardii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Cyanea,giffardii,,,,Rock,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2003.rlts.t30919a9590372.en,"(2003). Cyanea giffardii: Bruegmann, M.M. &amp; Caraway, V. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2003.rlts.t30919a9590372.en"
wfo-0000830986,9591046,30921,Cyanea pycnocarpa,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Cyanea,pycnocarpa,,,,(Hillebr.) E.Wimm.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t30921a9591046.en,"(1998). Cyanea pycnocarpa: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t30921a9591046.en"
