wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000929043,211734832,83826285,Salix ionica,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Salix,ionica,,,,"Brullo, F.Scelsi & G.Spamp.",Near Threatened,B1ab(ii)+2ab(ii),3.1,Unknown,"Global, Europe & Mediterranean",https://doi.org/10.2305/iucn.uk.2022-1.rlts.t83826285a211734832.en,"(2016). Salix ionica: Beech, E. &amp; Rivers, M.C. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t83826285a211734832.en"
wfo-0000929091,211735369,83827246,Salix tyrrhenica,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Salix,tyrrhenica,,,,"Brullo, Scelsi & Spamp.",Near Threatened,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Unknown,"Global, Europe & Mediterranean",https://doi.org/10.2305/iucn.uk.2022-1.rlts.t83827246a211735369.en,"(2016). Salix tyrrhenica: Rivers, M.C. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t83827246a211735369.en"
wfo-0001336918,211783862,211782275,Pleioluma sebertii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Pleioluma,sebertii,,,,(Pancher) Swenson & Munzinger,Near Threatened,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211782275a211783862.en,"(2019). Pleioluma sebertii: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211782275a211783862.en"
wfo-0001336893,211785056,211780851,Pleioluma balansana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Pleioluma,balansana,,,,(Pierre ex Baill.) Swenson & Munzinger,Near Threatened,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780851a211785056.en,"(2019). Pleioluma balansana: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780851a211785056.en"
wfo-0000274280,211785724,211780210,Planchonella thiensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,thiensis,,,,Aubrév.,Near Threatened,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780210a211785724.en,"(2019). Planchonella thiensis: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780210a211785724.en"
wfo-0000809709,211786256,211780295,Planchonella rufocostata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,rufocostata,,,,Munzinger & Swenson,Near Threatened,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780295a211786256.en,"(2019). Planchonella rufocostata: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780295a211786256.en"
wfo-0000274236,211786382,211780533,Planchonella reticulata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,reticulata,,,,(Baill.) Pierre ex Dubard,Near Threatened,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780533a211786382.en,"(2019). Planchonella reticulata: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780533a211786382.en"
wfo-0000274228,211786519,211780188,Planchonella pronyensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,pronyensis,,,,Guillaumin,Near Threatened,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780188a211786519.en,"(2019). Planchonella pronyensis: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780188a211786519.en"
wfo-0000809703,211786920,211780068,Planchonella mandjeliana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,mandjeliana,,,,Munzinger & Swenson,Near Threatened,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780068a211786920.en,"(2019). Planchonella mandjeliana: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780068a211786920.en"
wfo-0000809702,211787050,211780038,Planchonella luteocostata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,luteocostata,,,,Munzinger & Swenson,Near Threatened,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780038a211787050.en,"(2019). Planchonella luteocostata: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780038a211787050.en"
wfo-0000809699,211787955,211780510,Planchonella dothioensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,dothioensis,,,,"(Aubrév.) Swenson, Bartish & Munzinger",Near Threatened,"B1b(i,ii,iii,iv,v)+2b(i,ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780510a211787955.en,"(2019). Planchonella dothioensis: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780510a211787955.en"
wfo-0000809708,211789115,211780291,Planchonella roseoloba,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,roseoloba,,,,Munzinger & Swenson,Near Threatened,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780291a211789115.en,"(2019). Planchonella roseoloba: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780291a211789115.en"
wfo-0000274193,211789247,211780093,Planchonella microphylla,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Planchonella,microphylla,,,,Pierre ex Dubard,Near Threatened,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780093a211789247.en,"(2019). Planchonella microphylla: Barrault, J., Bruy, D., Butin, J.-P., Cazé, H., Fleurot, D., Garnier, D., Gâteblé, G., Laudereau, C., Mandaoué, L., Munzinger, J. &amp; Vandrot, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t211780093a211789247.en"
