taxonID,scientificName,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,url
wfo-0000726631,Hydrocotyle vulgaris,morphology,en,"Stem slender and creeping, rooting at the nodes. Leaves round, long-stalked, slightly crenate, hairless, 15–25 mm across, peltate. Peduncles shorter than leaf-stalks. Flowers very small, greenish-white, in compact clusters, or occasionally in 2 or 3 whorls on each peduncle. Fruit broad and flattened.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000435191,Sanicula europaea,ecology,en,Woods and shady places; frequent.,,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000435191,Sanicula europaea,morphology,en,"A hairless, slender perennial, 30–60 cm high. Leaves mostly basal, long-stalked, 35–50 mm across, palmatifid, with usually five wedge-shaped, toothed lobes, often themselves divided. Flowers pink or white, in small globular clusters, arranged in an irregular umbel. Bracts and bracteoles present. Calyx-teeth as long as the petals. Fruit round, covered with hooked bristles.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000726631,Hydrocotyle vulgaris,ecology,en,"Marshes, fens, bog-margins and damp grassland; frequent.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000678057,Eryngium maritimum,ecology,en,Sandy shores; frequent although rather local.,,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000678057,Eryngium maritimum,morphology,en,"A rigid, bushy perennial, 30–50 cm high, hairless and bluish-green. Leaves broad, very prickly, with conspicuous veins. Flowers pale blue, in very dense umbels interspersed with prickly bracts. Fruit covered with short spines, topped by the stiff, persistent calyx-teeth.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000599113,Chaerophyllum temulum,ecology,en,"Hedges and road sides, mostly in the east and south-east; very rare and declining.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000599113,Chaerophyllum temulum,morphology,en,"purple or purple-spotted, 50–100 cm high. Leaves twice- or thrice-pinnate; leaflets rather blunt. Umbels drooping in bud, with 5–10 unequal rays, the terminal umbels overtopped by the axillary ones. Bracts 0 or 1; bracteoles 5–8, drooping, shorter than the pedicels. Flowers white. Fruit 5–6 mm, 2–3 times as long as broad, slightly ridged.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538692,Anthriscus sylvestris,ecology,en,Hedges and shady places; abundant except in parts of the west.,,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538692,Anthriscus sylvestris,morphology,en,"Erect perennial, 70–120 cm, hairy, especially in the lower part; stem stout, hollow, grooved. Leaves large, triangular, thrice-pinnate; segments pointed. Umbels terminal, long-stalked, with 8–12 rays. Bracts absent; bracteoles broad, deflexed, often pinkish. Fruit 6–8 mm, very smooth and shining, 3 times as long as broad.",,,,2024-03-27,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
