wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000515942,Árbol,Achatocarpaceae,Achatocarpus praecox, Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 24: 32, 1879.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/achatocarpus-praecox
wfo-0001049622,Árbol,Anacardiaceae,Lithraea brasiliensis, Marchand,"Rév. Anacardiac. 185, 1869.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lithraea-brasiliensis
wfo-0000361370,Árbol,Anacardiaceae,Lithraea molleoides, (Vell.) Engl.,"Fl. Bras. [Martius] 12(2): 394, t. 83, 1876.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lithraea-molleoides
wfo-0000435129,Árbol,Anacardiaceae,Schinus lentiscifolia, Marchand,"Rév. Anacardiac. 164, 1869.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-lentiscifolia
wfo-0001049945,Árbol,Anacardiaceae,Schinus longifolia, (Lindl.) Speg.,"Cat. Descr. Maderas 413, 1910.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-longifolia
wfo-0000435157,Árbol,Anacardiaceae,Schinus molle, L.,"Sp. Pl. [Linnaeus] 1: 388, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-molle
wfo-0000435152,Árbol,Anacardiaceae,Schinus terebinthifolia, Raddi,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18(2): 399, 1820.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-terebinthifolia
wfo-0000506334,Árbol,Annonaceae,Annona emarginata, (Schltdl.) H.Rainer,"Ann. Naturhist. Mus. Wien, B 108: 194, 2007.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/annona-emarginata
wfo-0000291496,Árbol,Apocynaceae,Aspidosperma quebracho-blanco, Schltdl.,"Bot. Zeitung (Berlin) 19: 137, 1861.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/aspidosperma-quebracho-blanco
wfo-0000319766,Árbol,Apocynaceae,Tabernaemontana catharinensis, A.DC.,"Prodr. [A. P. de Candolle] 8: 365, 1844.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tabernaemontana-catharinensis
wfo-0000729719,Árbol,Aquifoliaceae,Ilex paraguariensis, A.St.-Hil.,"Mém. Mus. Hist. Nat. 9: 351, 1822.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ilex-paraguariensis
wfo-0000260143,Árbol,Araucariaceae,Araucaria angustifolia, (Bertol.) Kuntze,"Revis. Gen. Pl. 3(3): 375, 1898.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/araucaria-angustifolia
wfo-0000778594,Árbol,Bignoniaceae,Handroanthus heptaphyllus, (Vell.) Mattos,"Loefgrenia 50: 2, 1970.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/handroanthus-heptaphyllus
wfo-0000778761,Árbol,Bignoniaceae,Jacaranda mimosifolia, D.Don,"Bot. Reg. 8: t. 631, 1822.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/jacaranda-mimosifolia
