wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000015991,Compositae,Baccharis palustris Heering,Baccharis palustris, Heering,"Jahrb. Hamburg. Wiss. Anst. 21, Beiheft 3: 38, 1904.",Arbusto,"Bosques higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-palustris
wfo-0000062536,Compositae,Baccharis patens Baker in Mart.,Baccharis patens, Baker in Mart.,"Fl. Bras. [Martius] 6(3): 52, 1882.",Arbusto,"Matorrales xerófilos, Pastizales xerófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-patens
wfo-0000114473,Compositae,Baccharis pedersenii Cabrera,Baccharis pedersenii, Cabrera,"Darwiniana 16: 410, 1970.",Arbusto,Pastizales xerófilos,,https://florauruguaya.org/taxonomias/baccharis-pedersenii
wfo-0000032348,Compositae,Baccharis petraea Heering,Baccharis petraea, Heering,"Jahrb. Hamburg. Wiss. Anst. 21, Beiheft 3: 30, 1904.",Arbusto,"Matorrales xerófilos, Pastizales xerófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-petraea
wfo-0000020234,Compositae,Baccharis phyteumoides (Less.) DC.,Baccharis phyteumoides, (Less.) DC.,"Prodr. [A. P. de Candolle] 5: 425, 1836.",Sufrútice,"Bosques ribereños, Bosques higrófilos, Palmares, Pastizales higrófilos, Herbazales hidrófilos",Caméfita,https://florauruguaya.org/taxonomias/baccharis-phyteumoides
wfo-0000022412,Compositae,Baccharis psiadioides (Less.) Joch.Müll.,Baccharis psiadioides, (Less.) Joch.Müll.,"Syst. Bot. Monogr. 76: 306, 2006.",Arbusto,"Matorrales xerófilos, Matorrales mesófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-psiadioides
wfo-0000038940,Compositae,Baccharis punctulata DC.,Baccharis punctulata, DC.,"Prodr. [A. P. de Candolle] 5: 405, 1836.",Arbusto,"Ambientes ruderales, Bosques serranos, Ambientes urbanos, Bosques ribereños, Algarrobales, Palmares, Matorrales mesófilos, Pastizales higrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-punctulata
wfo-1000025680,Compositae,"Baccharis rectialata Valt., Bonif., G.Heiden & Marchesi",Baccharis rectialata," Valt., Bonif., G.Heiden & Marchesi","Phytotaxa 478(2): 257, 2021.",Sufrútice,Pastizales xerófilos,Caméfita,https://florauruguaya.org/taxonomias/baccharis-rectialata
wfo-0000119605,Compositae,Baccharis riograndensis Malag. & J.Vidal,Baccharis riograndensis, Malag. & J.Vidal,"Bol. Inform. Inst. Geobiol. La Salle 1: 13, 1949.",Sufrútice,Pastizales xerófilos,Caméfita,https://florauruguaya.org/taxonomias/baccharis-riograndensis
wfo-0000021197,Compositae,Baccharis sagittalis DC.,Baccharis sagittalis, DC.,"Prodr. [A. P. de Candolle] 5: 425, 1836.",Arbusto,"Pastizales higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-sagittalis
wfo-0000121758,Compositae,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia, (Ruiz & Pav.) Pers.,"Syn. Pl. [Persoon] 2(2): 425, 1807.",Arbusto,"Bosques ribereños, Matorrales mesófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-salicifolia
wfo-0000076182,Compositae,Baccharis sessiliflora Vahl,Baccharis sessiliflora, Vahl,"Symb. Bot. [Vahl] 3: 97, 1794.",Sufrútice,"Matorrales xerófilos, Pastizales xerófilos",Caméfita,https://florauruguaya.org/taxonomias/baccharis-sessiliflora
wfo-0000048360,Compositae,Baccharis spicata (Lam.) Baill.,Baccharis spicata, (Lam.) Baill.,"Bull. Mens. Soc. Linn. Paris 1(34): 268, 1880.",Arbusto,"Ambientes ruderales, Ambientes urbanos, Bosques ribereños, Algarrobales, Palmares, Matorrales xerófilos, Matorrales mesófilos, Matorrales psamófilos, Pastizales xerófilos, Pastizales mesófilos, Pastizales higrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-spicata
wfo-0000017238,Compositae,Baccharis tridentata Vahl,Baccharis tridentata, Vahl,"Symb. Bot. [Vahl] 3: 98, 1794.",Arbusto,"Matorrales xerófilos, Pastizales xerófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-tridentata
wfo-0000011819,Compositae,Baccharis trimera (Less.) DC.,Baccharis trimera, (Less.) DC.,"Prodr. [A. P. de Candolle] 5: 425, 1836.",Sufrútice,"Ambientes urbanos, Palmares, Matorrales mesófilos, Pastizales xerófilos, Pastizales mesófilos, Herbazales psamófilos",Caméfita,https://florauruguaya.org/taxonomias/baccharis-trimera
wfo-0000081525,Compositae,Baccharis ulicina Hook. & Arn.,Baccharis ulicina, Hook. & Arn.,"J. Bot. [Hooker] 3: 38, 1840.",Sufrútice,"Algarrobales, Herbazales halófilos",Caméfita,https://florauruguaya.org/taxonomias/baccharis-ulicina
wfo-0000068873,Compositae,Baccharis vernicosa Hook. & Arn.,Baccharis vernicosa, Hook. & Arn.,"J. Bot. [Hooker] 3: 28, 1840.",Arbusto,"Pastizales higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-vernicosa
wfo-0000062312,Compositae,Baccharis vulneraria Baker,Baccharis vulneraria, Baker,"Fl. Bras. [Martius] 6(3): 75, 1882.",Arbusto,"Bosques ribereños, Algarrobales, Palmares, Pastizales higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-vulneraria
wfo-0000024353,Compositae,Baccharis weirii Baker,Baccharis weirii, Baker,"Fl. Bras. [Martius] 6(3): 67, 1882.",Arbusto,"Bosques higrófilos, Pastizales higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/baccharis-weirii
wfo-1000040399,Compositae,Barrosoa betoniciformis (DC.) R.M.King & H.Rob.,Barrosoa betoniciformis, (DC.) R.M.King & H.Rob.,"Phytologia 21: 27, 1971.",Hierba perenne,"Bosques higrófilos, Algarrobales, Pastizales higrófilos",Caméfita,https://florauruguaya.org/taxonomias/barrosoa-betoniciformis
wfo-0000112527,Compositae,Barrosoa candolleana (Hook. & Arn.) R.M.King & H.Rob.,Barrosoa candolleana, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 21: 27, 1971.",Hierba perenne,"Bosques ribereños, Palmares, Pastizales higrófilos",,https://florauruguaya.org/taxonomias/barrosoa-candolleana
