wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0001287228,Arbusto,Cactaceae,Opuntia aurantiaca, Lindl.,"Edwards&#39;s Bot. Reg. 19: Pl 1606, 1833.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-aurantiaca
wfo-0001289329,Arbusto,Cactaceae,Opuntia bonaerensis, Speg.,Contr. Fl. Tandil 18: 1901.,"Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-bonaerensis
wfo-0000386497,Arbusto,Cactaceae,Opuntia canterae, Arechav.,"Anales Mus. Nac. Montevideo 5: 278, 1905.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-canterae
wfo-0001289105,Arbusto,Cactaceae,Opuntia elata, Salm-Dyck,"Hort. Dyck. 361, 1834.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-elata
wfo-0001256652,Arbusto,Cactaceae,Opuntia megapotamica, Arechav.,"Anales Mus. Nac. Montevideo 2(1): 42, 1905.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-megapotamica
wfo-0000386588,Arbusto,Cactaceae,Opuntia monacantha, Haw.,"Suppl. Pl. Succ. 81, 1819.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-monacantha
wfo-0001287950,Arbusto,Cactaceae,Opuntia retrorsa, Speg.,"Anales Mus. Nac. Buenos Aires ser. 3, 4: 517, 1905.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-retrorsa
wfo-0001433330,Arbusto,Cactaceae,Opuntia rioplatensis, Font,"Succ. Pl. Res. 8: 85, 2014.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-rioplatensis
wfo-0001289360,Arbusto,Cactaceae,Opuntia sulphurea, Gillies ex Salm-Dyck,"Hort. Dyck. 360, 1834.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/opuntia-sulphurea
wfo-0000398441,Arbusto,Cactaceae,Pereskia aculeata, Mill.,"Gard. Dict., ed. 8. 198, 1768.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pereskia-aculeata
wfo-0001287949,Arbusto,Cactaceae,Pereskia nemorosa, Rojas Acosta,"Cat. Hist. Nat. Corrientes 64, 1897.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pereskia-nemorosa
wfo-0000593678,Arbusto,Cannabaceae,Celtis pallida, Torr.,"Rep. U.S. Mex. Bound., Bot. [Emory] 203, 1858.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/celtis-pallida
wfo-0000593753,Arbusto,Cannabaceae,Celtis spinosa, Spreng.,"Syst. Veg., ed. 16 [Sprengel] 1: 931, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/celtis-spinosa
wfo-1000078452,Arbusto,Cannabaceae,Celtis tarijensis," (Wedd.) Zamengo, Chamorro & Oakley","Phytotaxa 689(1): 86, 2025.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/celtis-tarijensis
wfo-1000001531,Arbusto,Celastraceae,Monteverdia cassineformis, (Reissek) Biral,"Syst. Bot. 42(4): 688, 2017.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/monteverdia-cassineformis
wfo-1000001534,Arbusto,Celastraceae,Monteverdia dasyclados, (Mart.) Biral,"Syst. Bot. 42(4): 688, 2017.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/monteverdia-dasyclados
wfo-1000001548,Arbusto,Celastraceae,Monteverdia ilicifolia, (Mart. ex Reissek) Biral,"Syst. Bot. 42(4): 689, 2017.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/monteverdia-ilicifolia
wfo-0001292686,Arbusto,Celastraceae,Schaefferia argentinensis, Speg.,"Physis [Buenos Aires] 3: 345, 1917.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schaefferia-argentinensis
wfo-0001292721,Arbusto,Celastraceae,Tricerma vitis-idaeum, (Griseb.) Lundell,"Wrightia 4(5): 159, 1971.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tricerma-vitis-idaeum
wfo-0000001085,Arbusto,Compositae,Baccharis aliena, (Spreng.) Joch.Müll.,"Syst. Bot. Monogr. 76: 305, 2006.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-aliena
wfo-0000072190,Arbusto,Compositae,Baccharis articulata, (Lam.) Pers.,"Syn. Pl. [Persoon] 2(2): 425, 1807.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-articulata
wfo-0000031444,Arbusto,Compositae,Baccharis caprariifolia, DC.,"Prodr. [A. P. de Candolle] 5: 416, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-caprariifolia
wfo-0000123913,Arbusto,Compositae,Baccharis cognata, DC.,"Prodr. [A. P. de Candolle] 5: 413, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-cognata
wfo-0000128922,Arbusto,Compositae,Baccharis cultrata, Baker in Mart.,"Fl. Bras. [Martius] 6(3): 93, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-cultrata
wfo-0000127667,Arbusto,Compositae,Baccharis dracunculifolia, DC.,"Prodr. [A. P. de Candolle] 5: 421, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-dracunculifolia
wfo-1000021171,Arbusto,Compositae,Baccharis funkiae," Bonif., G.Heiden, Valt. & Marchesi","Syst. Bot. 45(4): 937, 2020.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-funkiae
