wfo_ID,Forma de vida,Familia,Nombre,Autor,Pub.,bibliogrpahicCitation,URL
wfo-0000337903,Epífita,Bromeliaceae,Aechmea recurvata, (Klotzsch) L.B.Sm.,"Contr. Gray Herb. 95: 5, 1932.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/aechmea-recurvata
wfo-0000573817,Epífita,Bromeliaceae,Tillandsia aëranthos, (Loisel.) L.B.Sm.,"Lilloa 9: 200, 1943.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-aeranthos
wfo-0000574723,Epífita,Bromeliaceae,Tillandsia bandensis , Baker,"J. Bot. 25: 234, 1887.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-bandensis
wfo-0000578751,Epífita,Bromeliaceae,Tillandsia geminiflora, Brongn.,"Voy. Monde, Phan. 186, 1829.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-geminiflora
wfo-0000583812,Epífita,Bromeliaceae,Tillandsia recurvata, (L.) L.,"Sp. Pl. [Linnaeus] 2(1): 410, 1762.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-recurvata
wfo-0000586340,Epífita,Bromeliaceae,Tillandsia usneoides, (L.) L.,"Sp. Pl., ed. 2. 1: 411, 1762.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-usneoides
wfo-1000075834,Epífita,Bromeliaceae,Tillandsia × marchesii, Rossado,"Phytotaxa 667(1): 47, 2024.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tillandsia-marchesii
wfo-0000602215,Epífita,Bromeliaceae,Vriesea gigantea, Gaudich.,"Voy. Bonite, Bot. 3(Atlas): t. 70, 1843.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/vriesea-gigantea
wfo-0001119879,Epífita,Hymenophyllaceae,Trichomanes anadromum, Rosenst.,"Repert. Spec. Nov. Regni Veg. 21: 344, 1925.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/trichomanes-anadromum
wfo-0000337172,Epífita,Orchidaceae,Acianthera hygrophila, (Barb.Rodr.) Pridgeon & M.W.Chase,"Lindleyana 16(4): 244, 2001.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/acianthera-hygrophila
wfo-0000337248,Epífita,Orchidaceae,Acianthera pubescens, (Lindl.) Pridgeon & M.W.Chase,"Lindleyana 16(4): 245, 2001.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/acianthera-pubescens
wfo-0000337279,Epífita,Orchidaceae,Acianthera sonderiana, (Rchb.f.) Pridgeon & M.W.Chase,"Lindleyana 16(4): 246, 2001.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/acianthera-sonderiana
wfo-0000794681,Epífita,Orchidaceae,Campylocentrum densiflorum, Cogn.,"Fl. Bras. [Martius] 3(6): 511, 1906.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/campylocentrum-densiflorum
wfo-0000801017,Epífita,Orchidaceae,Capanemia micromera, Barb.Rodr.,"Gen. Sp. Orchid. 1: 138, 1877.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/capanemia-micromera
wfo-0000801083,Epífita,Orchidaceae,Capanemia superflua, (Rchb.f.) Garay,"Bot. Mus. Leafl. 21: 261, 1967.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/capanemia-superflua
wfo-0000912727,Epífita,Orchidaceae,Gomesa bifolia , (Sims & M.W.ChaseN.H.Williams,"Ann. Bot. [Oxford] 104(3): 396, 2009.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gomesa-bifolia
