wfo_ID,Forma de vida,Familia,Column1,Nombre,Autor,Pub.,bibliogrpahicCitation,URL
wfo-0000770738,Hidrófita,Hydrocharitaceae,Elodea callitrichoides (Rich.) Casp.,Elodea callitrichoides, (Rich.) Casp.,"Monatsber. Königl. Preuss. Akad. Wiss. Berlin 47, 1857.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/elodea-callitrichoides
wfo-0000769444,Hidrófita,Hydrocharitaceae,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,Limnobium laevigatum, (Humb. & Bonpl. ex Willd.) Heine,"Adansonia n.s. 8(3): 315, 1968.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/limnobium-laevigatum
wfo-0000769498,Hidrófita,Hydrocharitaceae,Najas guadalupensis (Spreng.) Magnus,Najas guadalupensis, (Spreng.) Magnus,"Beitr. Kenntn. Najas viii, 1870.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/najas-guadalupensis
wfo-0000415571,Hidrófita,Lentibulariaceae,Utricularia gibba L.,Utricularia gibba, L.,"Sp. Pl. [Linnaeus] 1: 18, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/utricularia-gibba
wfo-0001072676,Hidrófita,Lentibulariaceae,Utricularia laxa A.St.-Hil. & Girard,Utricularia laxa, A.St.-Hil. & Girard,"Compt. Rend. Hebd. Séances Acad. Sci. 7(21): 870, 1838.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/utricularia-laxa
wfo-0001072812,Hidrófita,Lentibulariaceae,Utricularia platensis Speg.,Utricularia platensis, Speg.,"Comun. Mus. Nac. B. Aires 1: 81, 1899.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/utricularia-platensis
wfo-0000382474,Hidrófita,Menyanthaceae,Nymphoides humboldtiana (Kunth) Kuntze,Nymphoides humboldtiana, (Kunth) Kuntze,"Revis. Gen. Pl. 2: 429, 1891.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nymphoides-humboldtiana
wfo-1000028171,Hidrófita,Nymphaeaceae,Nymphaea pedersenii (Wiersema) C.T.Lima & Giul.,Nymphaea pedersenii, (Wiersema) C.T.Lima & Giul.,"Sitientibus Sér. Ci. Biol. 21: 45, 2021.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nymphaea-pedersenii
wfo-0000382126,Hidrófita,Nymphaeaceae,Nymphaea prolifera Wiersema,Nymphaea prolifera, Wiersema,"Brittonia 36(3): 219, 1984.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nymphaea-prolifera
wfo-0001087942,Hidrófita,Onagraceae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Ludwigia grandiflora, (Michx.) Greuter & Burdet,"Willdenowia 16(2): 448, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ludwigia-grandiflora
wfo-0000443277,Hidrófita,Onagraceae,Ludwigia peploides (Kunth) P.H.Raven,Ludwigia peploides, (Kunth) P.H.Raven,"Reinwardtia 6: 393, 1964.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ludwigia-peploides
wfo-0000484956,Hidrófita,Podostemaceae,Podostemum comatum Hicken,Podostemum comatum, Hicken,"Revista Chilena Hist. Nat. 21: 149, 1917.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/podostemum-comatum
wfo-0000484952,Hidrófita,Podostemaceae,Podostemum distichum (Cham.) Wedd.,Podostemum distichum, (Cham.) Wedd.,"Prodr. [A. P. de Candolle] 17: 73, 1873.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/podostemum-distichum
wfo-0000484905,Hidrófita,Podostemaceae,Podostemum muelleri Warm.,Podostemum muelleri, Warm.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 4: 445, 480, t. 16-17, 1888.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/podostemum-muelleri
wfo-0000484898,Hidrófita,Podostemaceae,Podostemum rutifolium Warm.,Podostemum rutifolium, Warm.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 9: 129, fig. 25, 1899.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/podostemum-rutifolium
wfo-0000455973,Hidrófita,Podostemaceae,Tristicha trifaria (Bory ex Willd.) Spreng.,Tristicha trifaria, (Bory ex Willd.) Spreng.,"Syst. Veg., ed. 16 [Sprengel] 1: 22, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tristicha-trifaria
wfo-0000441633,Hidrófita,Pontederiaceae,Heteranthera reniformis Ruiz & Pav.,Heteranthera reniformis, Ruiz & Pav.,"Fl. Peruv. [Ruiz & Pavon] 1: 43, t.71, 1798.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/heteranthera-reniformis
wfo-0000441657,Hidrófita,Pontederiaceae,Heteranthera rotundifolia (Kunth) Griseb.,Heteranthera rotundifolia, (Kunth) Griseb.,"Cat. Pl. Cub. [Grisebach] 252, 1866.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/heteranthera-rotundifolia
wfo-0000441672,Hidrófita,Pontederiaceae,Heteranthera zosterifolia Mart.,Heteranthera zosterifolia, Mart.,"Nov. Gen. Sp. Pl. [Martius] 1(1): 7, t.3, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/heteranthera-zosterifolia
