wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0001354429,Hierba perenne,Acanthaceae,Thyrsacanthus sulcatus, (Nees) C.Ezcurra & A.L.A.Côrtes,"Phytotaxa 395(2): 85, 2019.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/thyrsacanthus-sulcatus
wfo-0000588263,Hierba perenne,Aizoaceae,Carpobrotus edulis, (L.) N.E.Br.,"Gen. S. Afr. Fl. Pl. 249, 1926.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/carpobrotus-edulis
wfo-0001292821,Hierba perenne,Aizoaceae,Sesuvium sessile, Pers.,"Syn. Pl. [Persoon] 2(1): 39, 1806.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/sesuvium-sessile
wfo-0000414976,Hierba perenne,Aizoaceae,Tetragonia tetragonoides, (Pall.) Kuntze,"Revis. Gen. Pl. 1: 264, 1891.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tetragonia-tetragonoides
wfo-0000755470,Hierba perenne,Alismataceae,Alisma plantago-aquatica, L.,"Sp. Pl. [Linnaeus] 1: 342, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alisma-plantago-aquatica
wfo-0000766394,Hierba perenne,Alismataceae,Echinodorus floribundus, (Seub.) Seub. ex Warm.,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1872: 113, 1872.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-floribundus
wfo-0000766401,Hierba perenne,Alismataceae,Echinodorus grandiflorus, (Cham. & Schltdl.) Micheli,"Monogr. Phan. [A.DC. & C.DC.] 3: 57, 1881.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-grandiflorus
wfo-0000766423,Hierba perenne,Alismataceae,Echinodorus longiscapus, Arechav.,"Anales Mus. Nac. Montevideo 4(1): 67, pl. 2, 1903.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-longiscapus
wfo-0000766491,Hierba perenne,Alismataceae,Echinodorus uruguayensis, Arechav.,"Anales Mus. Nac. Montevideo 4(1): 66, pl. 2, 1903.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-uruguayensis
wfo-0000666030,Hierba perenne,Alismataceae,Hydrocleys nymphoides, (Humb. & Bonpl. ex Willd.) Buchenau,"Abh. Naturwiss. Vereins Bremen 2: 2, 1871.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocleys-nymphoides
wfo-0000666074,Hierba perenne,Alismataceae,Hydrocleys uruguayensis, (Buchenau) Pedersen,"Bot. Tidsskr. 57: 41, 1961.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocleys-uruguayensis
wfo-0000738022,Hierba perenne,Alismataceae,Sagittaria montevidensis, Cham. & Schltdl.,"Linnaea 2: 2, 156, 1827.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/sagittaria-montevidensis
wfo-0000759175,Hierba perenne,Alstroemeriaceae,Alstroemeria isabellana, Herb.,"Amaryllidaceae 88, t. 6, f. 4-6, 1837.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alstroemeria-isabellana
wfo-0000759283,Hierba perenne,Alstroemeriaceae,Alstroemeria psittacina, Lehm.,"Sem. Hort. Bot. Hamburg. 1826: 17, 1826.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alstroemeria-psittacina
wfo-0000528632,Hierba perenne,Amaranthaceae,Alternanthera kurtzii, Schinz ex Pedersen,"Darwiniana 14(2-3): 435, 1967.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-kurtzii
wfo-0000528686,Hierba perenne,Amaranthaceae,Alternanthera micrantha, R.E.Fr.,"Ark. Bot. 16(12): 14, 1920.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-micrantha
wfo-0000528723,Hierba perenne,Amaranthaceae,Alternanthera paronychioides, A.St.-Hil.,"Voy. Distr. Diam. 2: 439, 1833.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-paronychioides
