wfo_ID,Formaciones vegetales,Familia,Nombre,Autor,Pub.,biblographicCitation,url
wfo-0000646051,"Bosques ribereños, Algarrobales, Matorrales mesófilos, Matorrales psamófilos, Pastizales xerófilos",Acanthaceae,Dicliptera squarrosa, Nees,"Fl. Bras. [Martius] 9: 161, 1847.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dicliptera-squarrosa
wfo-1200030165,"Algarrobales, Matorrales xerófilos, Pastizales xerófilos",Acanthaceae,Dyschoriste humilis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 15, 1894.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dyschoriste-humilis
wfo-0000658315,"Pastizales xerófilos, Pastizales mesófilos",Acanthaceae,Dyschoriste hygrophiloides, (Nees) Kuntze,"Revis. Gen. Pl. 2: 486, 1891.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dyschoriste-hygrophiloides
wfo-0000726781,"Bosques ribereños, Bosques higrófilos, Algarrobales, Palmares, Herbazales hidrófilos",Acanthaceae,Hygrophila costata, Nees & T.Nees,"Pl. Hort. Bonn. Icon. 7, t. 3, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hygrophila-costata
wfo-0000726797,Bosques ribereños,Acanthaceae,Hygrophila guianensis, Nees,"London J. Bot. 4: 634, 1845.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hygrophila-guianensis
wfo-0001043972,"Matorrales xerófilos, Pastizales xerófilos",Acanthaceae,Justicia axillaris, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-axillaris
wfo-0000354192,"Bosques de quebradas, Bosques ribereños",Acanthaceae,Justicia brasiliana, Roth,"Nov. Pl. Sp. 17, 1821.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-brasiliana
wfo-0000354453,"Bosques ribereños, Herbazales hidrófilos",Acanthaceae,Justicia comata, (L.) Lam.,"Encycl. [J. Lamarck & al.] 1(2): 632, 1785.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-comata
wfo-0000355947,"Algarrobales, Pastizales higrófilos, Herbazales hidrófilos",Acanthaceae,Justicia laevilinguis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 20, 1894.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-laevilinguis
wfo-0001044021,Bosques ribereños,Acanthaceae,Justicia oblonga, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-oblonga
wfo-0001044033,Pastizales higrófilos,Acanthaceae,Justicia polygaloides, (S.Moore) Lindau,"Bull. Herb. Boissier 2(3): 633, 1933.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-polygaloides
wfo-0001045288,"Algarrobales, Pastizales xerófilos, Herbazales halófilos",Acanthaceae,Justicia tweedieana, (Nees) Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 19: 225, 1874.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-tweedieana
wfo-0000398720,"Bosques ribereños, Matorrales mesófilos",Acanthaceae,Poikilacanthus glandulosus, (Nees) Ariza,"Kurtziana 17: 159, 1984.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/poikilacanthus-glandulosus
wfo-0000737403,Bosques de quebradas,Acanthaceae,Ruellia angustiflora, (Nees) Lindau ex Rambo,"Iheringia, Bot. 12: 23, 1964.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-angustiflora
wfo-0001045381,"Matorrales xerófilos, Herbazales hidrófilos",Acanthaceae,Ruellia hygrophila, Mart.,"Flora 24(2): 65, 1841.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-hygrophila
wfo-0000401879,Pastizales xerófilos,Acanthaceae,Ruellia hypericoides, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 16, 1894.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-hypericoides
wfo-0001045173,"Pastizales xerófilos, Pastizales mesófilos",Acanthaceae,Ruellia morongii, Britton,"Ann. New York Acad. Sci. 7: 192, 1893.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-morongii
