wfo_ID,Formaciones vegetales,Familia,Nombre,Autor,Pub.,biblographicCitation,url
wfo-0000400995,"Bosques ribereños, Algarrobales, Pastizales higrófilos, Herbazales halófilos",Acanthaceae,Ruellia simplex, C.Wright,"Anales Acad. Ci. Méd. Habana 6(41): 321, 1870.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-simplex
wfo-0001045348,"Matorrales xerófilos, Pastizales xerófilos",Acanthaceae,Stenandrium diphyllum, Nees,"Fl. Bras. [Martius] 9: 75, 1847.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/stenandrium-diphyllum
wfo-0001044785,"Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos, Herbazales halófilos",Acanthaceae,Stenandrium dulce, (Cav.) Nees,"Prodr. [A. P. de Candolle] 11: 282, 1847.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/stenandrium-dulce
wfo-0001354429,"Algarrobales, Herbazales halófilos",Acanthaceae,Thyrsacanthus sulcatus, (Nees) C.Ezcurra & A.L.A.Côrtes,"Phytotaxa 395(2): 85, 2019.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/thyrsacanthus-sulcatus
wfo-0000515942,Algarrobales,Achatocarpaceae,Achatocarpus praecox, Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 24: 32, 1879.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/achatocarpus-praecox
wfo-0000588263,"Ambientes urbanos, Matorrales psamófilos, Pastizales xerófilos, Herbazales psamófilos",Aizoaceae,Carpobrotus edulis, (L.) N.E.Br.,"Gen. S. Afr. Fl. Pl. 249, 1926.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/carpobrotus-edulis
wfo-0000361350,Herbazales psamófilos,Aizoaceae,Lampranthus multiradiatus, (Jacq.) N.E.Br.,"Gard. Chron. 3(87): 71, 1830.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lampranthus-multiradiatus
wfo-0001292821,"Ambientes urbanos, Herbazales halófilos",Aizoaceae,Sesuvium sessile, Pers.,"Syn. Pl. [Persoon] 2(1): 39, 1806.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/sesuvium-sessile
wfo-0000414976,Herbazales hidrófilos,Aizoaceae,Tetragonia tetragonoides, (Pall.) Kuntze,"Revis. Gen. Pl. 1: 264, 1891.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/tetragonia-tetragonoides
wfo-0000755470,Dulce y salobre,Alismataceae,Alisma plantago-aquatica, L.,"Sp. Pl. [Linnaeus] 1: 342, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alisma-plantago-aquatica
wfo-0000766394,Herbazales hidrófilos,Alismataceae,Echinodorus floribundus, (Seub.) Seub. ex Warm.,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1872: 113, 1872.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-floribundus
wfo-0000766401,"Bosques higrófilos, Algarrobales, Palmares, Herbazales hidrófilos, Dulce y salobre",Alismataceae,Echinodorus grandiflorus, (Cham. & Schltdl.) Micheli,"Monogr. Phan. [A.DC. & C.DC.] 3: 57, 1881.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-grandiflorus
wfo-0000766423,"Pastizales higrófilos, Herbazales hidrófilos",Alismataceae,Echinodorus longiscapus, Arechav.,"Anales Mus. Nac. Montevideo 4(1): 67, pl. 2, 1903.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-longiscapus
wfo-0000766491,Dulce y salobre,Alismataceae,Echinodorus uruguayensis, Arechav.,"Anales Mus. Nac. Montevideo 4(1): 66, pl. 2, 1903.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinodorus-uruguayensis
wfo-0000834478,"Pastizales higrófilos, Herbazales hidrófilos, Dulce y salobre",Alismataceae,Helanthium tenellum, (Mart. ex Schult.f.) Britton,"Man. Fl. N. States [Britton], ed. 2. 54, 1905.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/helanthium-tenellum
wfo-0000666030,"Pastizales higrófilos, Herbazales hidrófilos, Dulce y salobre",Alismataceae,Hydrocleys nymphoides, (Humb. & Bonpl. ex Willd.) Buchenau,"Abh. Naturwiss. Vereins Bremen 2: 2, 1871.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocleys-nymphoides
wfo-0000666074,"Herbazales hidrófilos, Dulce y salobre",Alismataceae,Hydrocleys uruguayensis, (Buchenau) Pedersen,"Bot. Tidsskr. 57: 41, 1961.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocleys-uruguayensis
wfo-0000738022,"Algarrobales, Herbazales hidrófilos, Dulce y salobre",Alismataceae,Sagittaria montevidensis, Cham. & Schltdl.,"Linnaea 2: 2, 156, 1827.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/sagittaria-montevidensis
wfo-0000759175,"Bosques higrófilos, Pastizales higrófilos",Alstroemeriaceae,Alstroemeria isabellana, Herb.,"Amaryllidaceae 88, t. 6, f. 4-6, 1837.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alstroemeria-isabellana
wfo-0000759283,Bosques ribereños,Alstroemeriaceae,Alstroemeria psittacina, Lehm.,"Sem. Hort. Bot. Hamburg. 1826: 17, 1826.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alstroemeria-psittacina
wfo-0000528632,"Bosques ribereños, Algarrobales, Pastizales higrófilos",Amaranthaceae,Alternanthera kurtzii, Schinz ex Pedersen,"Darwiniana 14(2-3): 435, 1967.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-kurtzii
wfo-0000528686,Bosques ribereños,Amaranthaceae,Alternanthera micrantha, R.E.Fr.,"Ark. Bot. 16(12): 14, 1920.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-micrantha
wfo-0000528723,Pastizales higrófilos,Amaranthaceae,Alternanthera paronychioides, A.St.-Hil.,"Voy. Distr. Diam. 2: 439, 1833.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-paronychioides
wfo-0000528743,"Bosques ribereños, Bosques higrófilos, Palmares, Pastizales higrófilos, Herbazales hidrófilos, Dulce y salobre",Amaranthaceae,Alternanthera philoxeroides, (Mart.) Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 24: 36, 1879.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-philoxeroides
wfo-0000528787,Ambientes ruderales,Amaranthaceae,Alternanthera pungens, Kunth,"Nov. Gen. Sp. [H.B.K.] 2: 206, 1818.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-pungens
wfo-0000528801,"Bosques ribereños, Algarrobales",Amaranthaceae,Alternanthera reineckii, Briq.,"Annuaire Conserv. Jard. Bot. Genève 3: 151, 1899.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-reineckii
wfo-0000530018,Ambientes ruderales,Amaranthaceae,Amaranthus albus, L.,"Syst. Nat., ed. 10. 2: 1268, 1759.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-albus
wfo-0000530085,Herbazales psamófilos,Amaranthaceae,Amaranthus blitum, L.,"Sp. Pl. [Linnaeus] 2: 990, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-blitum
wfo-0000530163,"Pastizales mesófilos, Herbazales psamófilos",Amaranthaceae,Amaranthus crispus, (Lesp. & Thévenau) A.Braun ex S.Watson & J.M.Coult.,"Manual (Gray), ed. 6. 428, 1890.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-crispus
wfo-0000530173,"Ambientes ruderales, Ambientes urbanos, Palmares",Amaranthaceae,Amaranthus deflexus, L.,"Mant. Pl. Altera 295, 1771.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-deflexus
wfo-0000530251,Ambientes ruderales,Amaranthaceae,Amaranthus hybridus, L.,"Sp. Pl. [Linnaeus] 2: 990, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-hybridus
wfo-0000530332,Herbazales hidrófilos,Amaranthaceae,Amaranthus lombardoi, Hunz.,"Bol. Soc. Argent. Bot. 4: 141, fig. 4, 1951.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-lombardoi
wfo-0000530370,"Ambientes ruderales, Ambientes urbanos, Algarrobales",Amaranthaceae,Amaranthus muricatus, (Moq.) Hieron.,"Bol. Acad. Nac. Ci. 4(2): 421, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-muricatus
wfo-0000530390,Ambientes ruderales,Amaranthaceae,Amaranthus palmeri, S.Watson,"Proc. Amer. Acad. Arts 12: 274, 1877.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-palmeri
wfo-0000530447,Ambientes ruderales,Amaranthaceae,Amaranthus retroflexus, L.,"Sp. Pl. [Linnaeus] 2: 991, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-retroflexus
wfo-0000530460,Pastizales xerófilos,Amaranthaceae,Amaranthus rosengurttii, Hunz.,"Kurtziana 3: 201, fig. 1, 1966.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-rosengurttii
wfo-0000530499,"Ambientes urbanos, Algarrobales",Amaranthaceae,Amaranthus standleyanus, Parodi ex Covas,"Darwiniana 5: 339, 1941.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-standleyanus
wfo-0000530552,"Ambientes ruderales, Ambientes urbanos",Amaranthaceae,Amaranthus viridis, L.,"Sp. Pl., ed. 2. 2: 1405, 1763.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-viridis
wfo-0000530556,Algarrobales,Amaranthaceae,Amaranthus vulgatissimus, Speg.,"Anales Soc. Ci. Argent. 53(1): 281, 1902.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-vulgatissimus
wfo-0000556302,"Algarrobales, Herbazales halófilos",Amaranthaceae,Atriplex montevidensis, Spreng.,"Syst. Veg., ed. 16 [Sprengel] 3: 918, 1826.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/atriplex-montevidensis
wfo-0000556421,Herbazales halófilos,Amaranthaceae,Atriplex patula, L.,"Sp. Pl. [Linnaeus] 2: 1053, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/atriplex-patula
wfo-0000556490,Herbazales halófilos,Amaranthaceae,Atriplex prostrata, Boucher ex DC.,"Fl. Franç. [de Candolle & Lamarck], ed. 3. 3: 387, 1805.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/atriplex-prostrata
wfo-0000561206,Ambientes ruderales,Amaranthaceae,Bassia scoparia, (L.) A.J.Scott,"Feddes Repert. 89(2-3): 108, 1978.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/bassia-scoparia
wfo-0000564998,Ambientes urbanos,Amaranthaceae,Beta vulgaris, L.,"Sp. Pl. [Linnaeus] 1: 222, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/beta-vulgaris
wfo-0001440519,"Ambientes ruderales, Ambientes urbanos",Amaranthaceae,Chenopodiastrum murale," (L.) S.Fuentes, Uotila & Borsch","Willdenowia 42(1): 14, 2012.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/chenopodiastrum-murale
