WFO_ID,Distribution,Country_code,scientificName,Rank,ScientificAuthorship,Family,NamePublishedIn,Catalogue of the Plants of Madagascar record,Citation
wfo-0001085365,Endemic to Madagascar,MG,Monoporus spathulatus,species,Mez,Primulaceae,"Das Pflanzenreich 236(Heft 9): 160, f. 27. 1902. (Pflanzenr.) ",http://www.tropicos.org/Name/22000382?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001046457,Endemic to Madagascar,MG,Monotes madagascariensis,species,Humbert,Dipterocarpaceae,"Bulletin de la Société Botanique de France 91: 149–150, f. 1–3. 1944. (Bull. Soc. Bot. France) ",http://www.tropicos.org/Name/11300013?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001045524,Endemic to Madagascar,MG,Monothecium leucopterum,species,Benoist,Acanthaceae,Notulae Systematicae. Herbier du Museum de Paris 12: 145. 1946. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/104186?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001085050,Endemic to Madagascar,MG,Moringa drouhardii,species,Jum.,Moringaceae,"Annales du Musée Colonial de Marseille, sér. 4, 8: 15–19, f. 3–4. 1930. (Ann. Mus. Colon. Marseille, sér. 4,) ",http://www.tropicos.org/Name/21400002?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001085049,Endemic to Madagascar,MG,Moringa hildebrandtii,species,Engl.,Moringaceae,Annuario del Reale Istituto Botanico di Roma 9: 250. 1902. (Annuario Reale Ist. Bot. Roma) ,http://www.tropicos.org/Name/21400001?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196548,Endemic to Madagascar,MG,Mucuna humblotii,species,Drake,Fabaceae,"Histoire Physique, Naturelle et Politique de Madagascar 30: 112. 1902[1903]. (Hist. Phys. Madagascar) ",http://www.tropicos.org/Name/13044302?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196549,Endemic to Madagascar,MG,Mucuna manongarivensis,species,Du Puy & Labat,Fabaceae,"Bulletin du Muséum National d'Histoire Naturelle, Section B, Adansonia. sér. 4, Botanique Phytochimie 18: 232–234, f. 3. 1996. (Bull. Mus. Natl. Hist. Nat., B, Adansonia, sér. 4) ",http://www.tropicos.org/Name/50089684?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196551,Endemic to Madagascar,MG,Mucuna paniculata,species,Baker,Fabaceae,"Journal of the Linnean Society, Botany 20(126): 132. 1883. (J. Linn. Soc., Bot.) ",http://www.tropicos.org/Name/13036034?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001300957,Endemic to Madagascar,MG,Muellerargia jeffreyana,species,Keraudren,Cucurbitaceae,"Adansonia: recueil périodique d'observations botanique, n.s. 5(3): 423, pl. 1. 1965. (27 Oct 1965) (Adansonia, n.s.) ",http://www.tropicos.org/Name/9200396?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001060085,Endemic to Madagascar,MG,Mundulea anceps,species,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(1): 68–69. 1950. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/13063075?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196340,Endemic to Madagascar,MG,Mundulea ankazobeensis,species,Du Puy & Labat,Fabaceae,The Leguminosae of Madagascar 418. 2002. (Legum. Madagascar) ,http://www.tropicos.org/Name/50216486?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196341,Endemic to Madagascar,MG,Mundulea antanossarum,species,Baill.,Fabaceae,Bulletin Mensuel de la Société Linnéenne de Paris 1(49): 390. 1883. (Bull. Mens. Soc. Linn. Paris) ,http://www.tropicos.org/Name/13053377?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001061934,Endemic to Madagascar,MG,Mundulea barclayi,species,(Telf. ex Hook.) R. Vig. ex Du Puy & Labat,Fabaceae,The Leguminosae of Madagascar 419. 2002. (Legum. Madagascar) ,http://www.tropicos.org/Name/13074799?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196351,Endemic to Madagascar,MG,Mundulea chapelieri,species,(Baill.) R. Vig. ex Du Puy & Labat,Fabaceae,The Leguminosae of Madagascar 419. 2002. (Legum. Madagascar) ,http://www.tropicos.org/Name/13074804?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196354,Endemic to Madagascar,MG,Mundulea laxiflora,species,Baker,Fabaceae,"Journal of the Linnean Society, Botany 22: 464. 1886[1887]. (J. Linn. Soc., Bot.) ",http://www.tropicos.org/Name/13070857?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000193316,Endemic to Madagascar,MG,Mundulea menabeensis,species,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(1): 66. 1950. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/13063082?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196355,Endemic to Madagascar,MG,Mundulea micrantha,species,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(1): 67. 1950. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/13063083?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196356,Endemic to Madagascar,MG,Mundulea obovata,species,Du Puy & Labat,Fabaceae,The Leguminosae of Madagascar 422. 2002. (Legum. Madagascar) ,http://www.tropicos.org/Name/50216485?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000196369,Endemic to Madagascar,MG,Mundulea stenophylla,species,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(1): 68. 1950. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/13063088?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001060087,Endemic to Madagascar,MG,Mundulea viridis,species,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(1): 68. 1950. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/13063089?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001065204,Endemic to Madagascar,MG,Myriophyllum axilliflorum,species,Baker,Haloragaceae,"Journal of the Linnean Society, Botany 21: 340. 1884. (J. Linn. Soc., Bot.) ",http://www.tropicos.org/Name/15000032?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001065205,Endemic to Madagascar,MG,Myriophyllum mezianum,species,Schindl.,Haloragaceae,Das Pflanzenreich IV. 225 (Heft 23): 104. 1905. (Pflanzenr.) ,http://www.tropicos.org/Name/15000033?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001085285,Endemic to Madagascar,MG,Myrothamnus moschatus,species,(Baill.) Baill.,Myrothamnaceae,Adansonia 9: 330. 1870. (Adansonia) ,http://www.tropicos.org/Name/21900003?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001085472,Endemic to Madagascar,MG,Myrsine mocquerysii,species,Aug. DC.,Primulaceae,"Bulletin de l'Herbier Boissier, sér. 2 1(6): 576. 1901. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/22000526?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000769527,Endemic to Madagascar,MG,Najas madagascariensis,species,Rendle,Hydrocharitaceae,"Transactions of the Linnean Society of London, 2nd series: Botany 5: 402–403, t. 40: f. 55–63. 1889. (Trans. Linn. Soc. London, Bot.) ",http://www.tropicos.org/Name/22200008?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881306,Endemic to Madagascar,MG,Nastus ambrensis,species,A. Camus,Poaceae,Notulae Systematicae. Herbier du Museum de Paris 14: 214. 1951[1952]. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/25552462?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881307,Endemic to Madagascar,MG,Nastus aristatus,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 26–27. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/25518773?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881323,Endemic to Madagascar,MG,Nastus elongatus,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 23–24. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/25518772?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881324,Endemic to Madagascar,MG,Nastus emirnensis,species,(Baker) A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 24. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/50101492?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881329,Endemic to Madagascar,MG,Nastus humbertianus,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 84: 286. 1937. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/25557454?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881333,Endemic to Madagascar,MG,Nastus lokohoensis,species,A. Camus,Poaceae,"Bulletin du Muséum d'Histoire Naturelle, sér. 2 29: 274. 1957. (Bull. Mus. Natl. Hist. Nat., sér. 2) ",http://www.tropicos.org/Name/25518775?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881336,Endemic to Madagascar,MG,Nastus madagascariensis,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 24–25. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/50101493?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881337,Endemic to Madagascar,MG,Nastus manongarivensis,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 25. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/50085990?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
