"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Besleria_flavovirens","gado-oso-tiki","","Suriname",""
"taxon-1-Besleria_flavovirens","bergi-tiki","","Suriname",""
"taxon-3-Besleria_laxiflora","turuquaréochuru","","Guyana",""
"taxon-5-Besleria_patrisii","ampoukou koati","","French Guiana",""
"taxon-1-Columnea_calotricha","aloekoe wonoeloa","Car.","Suriname",""
"taxon-1-Columnea_calotricha","jaloealoea","Car.","Suriname",""
"taxon-1-Columnea_calotricha","yamul ka a","Wayampi","Suriname",""
"taxon-1-Columnea_calotricha","suisuika'a","Wayãpi","French Guiana",""
"taxon-1-Columnea_calotricha","suwisuwika'a","Wayãpi","French Guiana",""
"taxon-1-Columnea_calotricha","yamulepila","Wayãpi","French Guiana",""
"taxon-4-Columnea_sanguinea","suwisuwika'awa","Wayãpi","",""
"taxon-4-Columnea_sanguinea","kaleaku away","Wayãpi","",""
"taxon-4-Columnea_sanguinea","yamul ka a","Wayãpi","",""
"taxon-2-Drymonia_coccinea","crète poule","Créole","French Guiana",""
"taxon-2-Drymonia_coccinea","alalaka'a","Wayãpi","French Guiana",""
"taxon-2-Drymonia_coccinea","masakala kulumenay","Wayãpi","French Guiana",""
"taxon-2-Drymonia_coccinea","takaakabesu","Palikur","French Guiana",""
"taxon-2-Drymonia_coccinea","waku djemba","Sar.","French Guiana",""
"taxon-2-Drymonia_coccinea","opaïpanga","Boni","French Guiana",""
"taxon-4-Drymonia_serrulata","opoidjemba","Ndjuka","French Guiana",""
"taxon-3-Episcia_xantha","tapu","Wayana","French Guiana",""
"taxon-6-Nautilocalyx_kohlerioides","yamulepila","Wayãpi","French Guiana",""
"taxon-6-Nautilocalyx_kohlerioides","ka'iuwitoto","Wayãpi","French Guiana",""
"taxon-6-Nautilocalyx_kohlerioides","yamuleka'apilã","","French Guiana",""
"taxon-9-Nautilocalyx_pictus","mâle herbe serpent","Créole","French Guiana",""
"taxon-9-Nautilocalyx_pictus","yawayi lo","Wayãpi","French Guiana",""
"taxon-3-Paradrymonia_campostyla","yamuleka asili","Wayãpi","French Guiana",""
"taxon-3-Paradrymonia_campostyla","yamuleka'a sili","Wayãpi","French Guiana",""
"taxon-3-Paradrymonia_campostyla","ewoi asikaluwu","Wayãpi","French Guiana",""
"taxon-1-Sinningia_incarnata","yawalemo","Wayampi","French Guiana",""
