"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-2471317027271957367","taxon-155-GESNERIACEAE","GESNERIACEAE","Abraham, A.A.","340","guyana"
"occ--5451274873192127043","taxon-155-GESNERIACEAE","GESNERIACEAE","","345","guyana"
"occ-5487526272942704390","taxon-155-GESNERIACEAE","GESNERIACEAE","Altson, R.A.","311","guyana"
"occ--5722244037622932283","taxon-155-GESNERIACEAE","GESNERIACEAE","","321","guyana"
"occ-6926167054286262111","taxon-155-GESNERIACEAE","GESNERIACEAE","","357","guyana"
"occ-984066359568238181","taxon-155-GESNERIACEAE","GESNERIACEAE","","371","guyana"
"occ-2233534870975509612","taxon-155-GESNERIACEAE","GESNERIACEAE","","422","guyana"
"occ-6511201693398143635","taxon-155-GESNERIACEAE","GESNERIACEAE","Andel, T. van, et al.","1075","guyana"
"occ-1945225465939656399","taxon-155-GESNERIACEAE","GESNERIACEAE","","1739","guyana"
"occ--6888711488967116305","taxon-155-GESNERIACEAE","GESNERIACEAE","","1954","guyana"
"occ--8969810989534842251","taxon-155-GESNERIACEAE","GESNERIACEAE","Anonymous","s.n.","guyana"
"occ--8820266231801154695","taxon-155-GESNERIACEAE","GESNERIACEAE","Appun, C.F.","s.n.","guyana"
"occ--4109577626781800478","taxon-155-GESNERIACEAE","GESNERIACEAE","","66","guyana"
"occ-4288724321138343028","taxon-155-GESNERIACEAE","GESNERIACEAE","","2125","guyana"
"occ-732900100773790045","taxon-155-GESNERIACEAE","GESNERIACEAE","","5181","guyana"
"occ--3055569074047854968","taxon-155-GESNERIACEAE","GESNERIACEAE","Archer, W.A.","2321","guyana"
"occ-4304012001868512186","taxon-155-GESNERIACEAE","GESNERIACEAE","","2432","guyana"
"occ--7978484893168753250","taxon-155-GESNERIACEAE","GESNERIACEAE","Atkinson, D.J.","33","guyana"
"occ-4188975458745057017","taxon-155-GESNERIACEAE","GESNERIACEAE","","77","guyana"
"occ--1295334248426257116","taxon-155-GESNERIACEAE","GESNERIACEAE","Bailey, I.W.","110","guyana"
"occ--8132832002176458030","taxon-155-GESNERIACEAE","GESNERIACEAE","","162","guyana"
"occ-499103867624970152","taxon-155-GESNERIACEAE","GESNERIACEAE","","181","guyana"
"occ-9205315489388672013","taxon-155-GESNERIACEAE","GESNERIACEAE","Bartlett, A.W.","8562","guyana"
"occ-4768185145033039268","taxon-155-GESNERIACEAE","GESNERIACEAE","","8743","guyana"
"occ-124789257179319665","taxon-155-GESNERIACEAE","GESNERIACEAE","Beckett, J.E.","s.n.","guyana"
"occ-4510359842034783748","taxon-155-GESNERIACEAE","GESNERIACEAE","Beddington, H.","33","guyana"
"occ--7845655588586858299","taxon-155-GESNERIACEAE","GESNERIACEAE","Boom, B.M., et al.","7484","guyana"
"occ-7887392476252210391","taxon-155-GESNERIACEAE","GESNERIACEAE","","7734","guyana"
"occ--7727197849344708464","taxon-155-GESNERIACEAE","GESNERIACEAE","","7746","guyana"
"occ--945951680561127955","taxon-155-GESNERIACEAE","GESNERIACEAE","","8838","guyana"
"occ--7979139155619690890","taxon-155-GESNERIACEAE","GESNERIACEAE","","8843","guyana"
"occ-75842912669976272","taxon-155-GESNERIACEAE","GESNERIACEAE","","8909","guyana"
"occ-7079472099149445280","taxon-155-GESNERIACEAE","GESNERIACEAE","","8910","guyana"
"occ--4032613302857615532","taxon-155-GESNERIACEAE","GESNERIACEAE","","8990","guyana"
"occ--4013177774224042562","taxon-155-GESNERIACEAE","GESNERIACEAE","","9150","guyana"
"occ-1404016389217245986","taxon-155-GESNERIACEAE","GESNERIACEAE","","9156","guyana"
"occ--4549895887677232523","taxon-155-GESNERIACEAE","GESNERIACEAE","","9186","guyana"
"occ--6536078056177669450","taxon-155-GESNERIACEAE","GESNERIACEAE","","9187","guyana"
"occ-3221285477267497950","taxon-155-GESNERIACEAE","GESNERIACEAE","","9197","guyana"
"occ--5836030766234285298","taxon-155-GESNERIACEAE","GESNERIACEAE","","9202","guyana"
"occ--7939289503474040069","taxon-155-GESNERIACEAE","GESNERIACEAE","Boyan, R.","RB135","guyana"
"occ-8965360170309964038","taxon-155-GESNERIACEAE","GESNERIACEAE","BW (Boschwezen)","6897","guyana"
"occ-5428183977254424067","taxon-155-GESNERIACEAE","GESNERIACEAE","Chanderbali, A. & D. Gopaul","81","guyana"
"occ-3510773596315856742","taxon-155-GESNERIACEAE","GESNERIACEAE","Christenson, E.A., et al.","1917","guyana"
"occ-9216782058785846749","taxon-155-GESNERIACEAE","GESNERIACEAE","Clarke, H.D. [D.], et al.","250","guyana"
"occ--547302620648997616","taxon-155-GESNERIACEAE","GESNERIACEAE","","319","guyana"
"occ--76862567746646359","taxon-155-GESNERIACEAE","GESNERIACEAE","","443","guyana"
"occ-1704476496518424833","taxon-155-GESNERIACEAE","GESNERIACEAE","","444","guyana"
"occ--3071142468679743142","taxon-155-GESNERIACEAE","GESNERIACEAE","","599","guyana"
"occ-6305668799315907554","taxon-155-GESNERIACEAE","GESNERIACEAE","","615","guyana"
"occ-6167103325078995359","taxon-155-GESNERIACEAE","GESNERIACEAE","","638","guyana"
"occ-1542360921307144288","taxon-155-GESNERIACEAE","GESNERIACEAE","","645","guyana"
"occ-6486567313878152047","taxon-155-GESNERIACEAE","GESNERIACEAE","","725","guyana"
"occ--6388860466624004116","taxon-155-GESNERIACEAE","GESNERIACEAE","","750","guyana"
"occ-7754886431513856709","taxon-155-GESNERIACEAE","GESNERIACEAE","","856","guyana"
